"name","request_language","request","result"
"Nombre de bons de commande",0,"SELECT
		COUNT(*)
FROM
		purchase_purchase_order",9
"Nombre de bons de livraison",0,"SELECT
		COUNT(*)
FROM
		stock_stock_move
WHERE
		type_select=2",7
"Nombre de biens réception",0,"SELECT
		COUNT(*)
FROM
	 stock_stock_move
WHERE
	type_select=3",5
"Nombre de factures clients",0,"SELECT
		COUNT(*)
FROM
		account_invoice
WHERE
		operation_type_select=3",7
"Nombre de remboursements de clients",0,"SELECT
		COUNT(*)
FROM
		account_invoice
WHERE
		operation_type_select=4",0
"Nombre d'utilisateurs",0,"SELECT
		count(*)
FROM
		auth_user",22
"Nombre de partenaires",0,"SELECT
		COUNT(*)
FROM 
	    base_partner;",68
"Nombre de adresses",0,"SELECT
		COUNT(*)
FROM
	 base_address;",252
"Nombre de pistes",0,"SELECT 
		COUNT(*)
FROM
		crm_lead;",30
"Nombre d'événements",0,"SELECT
		COUNT(*)
FROM
		ical_event;",51
"Nombre de factures fournisseurs",0,"SELECT
		COUNT(*)
FROM
		account_invoice
WHERE
		operation_type_select=1",6
"Nombre de fournisseur rembourse",0,"SELECT
		COUNT(*)
FROM
		account_invoice
WHERE
		operation_type_select=2",0
"Nombre d'appels",0,"SELECT
		COUNT(*)
FROM
		ical_event
WHERE
		type_select = 1",14
"Nombre de réunions",0,"SELECT
		COUNT(*)
FROM
		ical_event
WHERE
		type_select = 2",25
"Nombre de tâches",0,"SELECT
		COUNT(*)
FROM
		ical_event
WHERE
		type_select = 3",6
"Nombre de billets",0,"SELECT
		COUNT(*)
FROM
		ical_event
WHERE
		type_select = 6",0
"Nombre d'ordres de fabrication",0,"SELECT
		COUNT(*)
FROM
		production_manuf_order;",0
"Nombre d'ordres d'opération",0,"SELECT
		COUNT(*)
FROM
		production_operation_order;",0
"Nombre de produits",0,"SELECT
		COUNT(*)
FROM
		base_product
where
		is_model=false;",48
"Nombre de nomenclature",0,"SELECT
		COUNT(*)
FROM
		production_bill_of_material",45
"Nombre de Commande",0,"SELECT
		COUNT(*)
FROM
		sale_sale_order",11
"Nombre de paiements",0,"SELECT
		COUNT(*)
FROM
		account_payment_voucher;",10
"Nombre de mouvements",0,"SELECT
		COUNT(*)
FROM
		account_move;",12
"Nombre de lignes de mouvement",0,"SELECT
		COUNT(*)
FROM
	 	account_move_line",59
"Nombre de demandes de congé",0,"SELECT
		COUNT(*)
FROM
		organisation_leave_request;",0
"Nombre de dépenses",0,"SELECT
		COUNT(*)
FROM
		organisation_expense",0
"Nombre de partenaires",1,"SELECT COUNT(*) FROM Partner",68
"Numéro de l'adresse",1,"SELECT COUNT(*) FROM Address",252
"Nombre d'utilisateurs",1,"SELECT COUNT(*) FROM User",22
