"importId";"name";"daily";"dayDaily";"weekly";"weekWeekly";"monday";"tuesday";"wednesday";"thursday";"friday";"saturday";"sunday";"monthly";"monthMonthly";"dayMonthly";"annually";"yearAnnually";"monthAnnuallySelect";"dayAnnually"
1;"Tous les jours";"true";1;"false";;"false";"false";"false";"false";"false";"false";"false";"false";;;"false";;;
2;"Tous les lundis";"false";;"true";1;"true";"false";"false";"false";"false";"false";"false";"false";;;"false";;;
3;"Tous les mardis";"false";;"true";1;"false";"true";"false";"false";"false";"false";"false";"false";;;"false";;;
4;"Tous les mercredis";"false";;"true";1;"false";"false";"true";"false";"false";"false";"false";"false";;;"false";;;
5;"Tous les jeudis";"false";;"true";1;"false";"false";"false";"true";"false";"false";"false";"false";;;"false";;;
6;"Tous les vendredis";"false";;"true";1;"false";"false";"false";"false";"true";"false";"false";"false";;;"false";;;
7;"Tous les samedis";"false";;"true";1;"false";"false";"false";"false";"false";"true";"false";"false";;;"false";;;
8;"Tous les dimanches";"false";;"true";1;"false";"false";"false";"false";"false";"false";"true";"false";;;"false";;;
9;"Tous les 1er de chaque mois";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";1;1;"false";;;
10;"Tous les 15 de chaque mois";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";1;15;"false";;;
11;"Tous les 1er de chaque trimestre";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";3;1;"false";;;
12;"Tous les 15 de chaque trimestre";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";3;15;"false";;;
13;"Tous les 1er de chaque semestre";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"true";6;1;"false";;;
14;"Tous les 31 de chaque année";"false";;"false";;"false";"false";"false";"false";"false";"false";"false";"false";;;"true";1;12;31
