"name";"groups"
"admin-root-conf-account-config";"admins|ERP|CPT|MGT"
"menu-account-invoice-dashboard-sample";"admins|ERP|CPT|MGT"
"account-root";"admins|ERP|CPT|MGT"
"admin-root-batch-accounting";"admins|ERP|CPT|MGT|ACH|VTE"
"account-root-accounting-accounting-exports";"admins|ERP|CPT"
"account-root-accounting";"admins|ERP|CPT|MGT"
"account-root-accounting-accounting-reports";"admins|ERP|CPT"
"top-relations-partners";"admins|ERP|CRM|VTE|ACH|HRM|OPS|MGT"
"contact-root-partner";"admins|ERP|CRM|VTE|ACH|HRM|OPS|MGT|CPT"
"account-conf-financial-account-type";"admins|ERP|CPT|MGT"
"menu-view-action-menus";"admins"
"menu-wkf-nodes-root-NodeTask";"admins|ERP|BPM"
"menu-wkf-NodeTask";"admins|ERP|BPM"
"top-menu-crm-activities";"admins|ERP|MGT|CRM"
"contact-conf-address";"admins|ERP|MGT|BPM"
"menu-admin";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"alarm-conf-alarm-engine-batch";"admins"
"alarm-conf-alarm-engine";"admins"
"alarm-root";"admins"
"menu-view-actions";"admins"
"alarm-root-alarm-other";"admins"
"mail-root-email";"admins"
"mail-root-mail";"admins"
"menu-view-charts";"admins"
"mail-root-email-all";"admins"
"mail-root-mail-all";"admins"
"menu-view-menus";"admins"
"alarm-conf-message";"admins"
"menu-meta-model";"admins"
"menu-meta-module";"admins"
"menu-job-all";"admins"
"menu-view-selects";"admins"
"admin-conf-general-status";"admins"
"menu-view-translations";"admins"
"menu-view-all";"admins"
"account-conf-analytic";"admins|ERP|CPT|MGT"
"account-conf-analytic-account";"admins|ERP|CPT|MGT"
"account-conf-analytic-axis";"admins|ERP|CPT|MGT"
"account-conf-analytic-journal";"admins|ERP|CPT|MGT"
"contact-conf-invoice-rib";"admins|ERP|CPT|MGT"
"mail-root-mail-reject-import";"admins"
"admin-root-batch-base";"admins"
"admin-root-batch";"admins"
"manufacturing-root-bill-of-material";"admins|ERP|OPS|MGT"
"business-root-project";"admins|ERP|VTE|ACH|OPS|MGT"
"business-root-project-all-business";"admins|ERP|VTE|ACH|OPS|MGT"
"business-root";"admins|ERP|VTE|ACH|OPS|MGT"
"crm-conf-calendar-configuration";"admins"
"crm-conf-calendar";"admins"
"crm-root-create-call";"admins|ERP|MGT|CRM|VTE"
"crm-root-call";"admins|ERP|MGT|CRM|VTE"
"hr-root-recruitment-candidate";"admins|ERP|HRM|MGT"
"admin-root-organisation-territory-canton";"admins|ERP"
"account-root-periodic-processing-cash-register-closure";"admins|ERP|CPT"
"mail-root-email-cash-register";"admins"
"mail-root-mail-cash-register";"admins"
"account-conf-cash-register";"admins|ERP|CPT"
"manufacturing-root-charge-by-machine-dashboard";"admins|ERP|OPS|MGT"
"account-conf-financial-accounting-plan";"admins|ERP|CPT|MGT"
"admin-root-organisation-territory-commune";"admins|ERP"
"admin-root-user-company";"admins"
"contact-root";"admins|ERP|CRM|VTE|ACH"
"admin-conf-general";"admins|ERP"
"crm-conf";"admins|ERP|CRM|VTE"
"alarm-conf";"admins"
"debt-recovery-root-conf";"admins|ERP|CPT"
"contact-conf";"admins|ERP"
"mail-root-email-conf";"admins"
"hr-root-conf";"admins|ERP|HRM"
"product-conf";"admins|ERP|MGT|CRM|VTE|ACH"
"mail-conf";"admins"
"account-conf";"admins|ERP|CPT|MGT"
"stock-root-conf";"admins|ERP|OPS|MGT"
"manufacturing-conf";"admins|ERP|OPS|MGT"
"menu-wkf-configurations";"admins|ERP|BPM"
"contact-root-contact";"admins|ERP|CRM|VTE|ACH"
"top-relations-contacts";"admins|ERP|CRM|VTE|ACH"
"admin-root-organisation-country";"admins|ERP"
"crm-root-create";"admins|ERP|MGT|CRM|VTE|ACH"
"top-menu-utility";"admins|ERP|MGT|CRM|VTE|ACH"
"top-menu-activity-create-call";"admins|ERP|MGT|CRM|VTE|ACH"
"top-menu-create-contact";"admins|ERP|MGT|CRM|VTE|ACH"
"account-root-payments-new-cust-payment";"admins|ERP|MGT|CPT|VTE"
"account-root-payments-new-cust-refund";"admins|ERP|MGT|CPT|VTE"
"menu-consultant-create-expense";"CST"
"top-new-partner-individual";"admins|ERP|MGT|CRM|VTE"
"top-menu-create-lead";"admins|ERP|MGT|CRM|VTE"
"menu-consultant-create-leave-request";"CST"
"top-menu-activity-create-meeting";"admins|ERP|CRM|VTE|ACH|OPS|MGT|HRM|CST"
"top-menu-create-opportunity";"admins|ERP|CRM|VTE|MGT"
"top-menu-create-partner";"admins|ERP|CRM|VTE|MGT"
"top-menu-create-so";"admins|ERP|CRM|VTE|MGT"
"account-root-payments-new-suppl-payment";"admins|ERP|CPT|ACH|MGT"
"account-root-payments-new-suppl-refund";"admins|ERP|CPT|ACH|MGT"
"top-menu-activity-create-task";"admins|ERP|CRM|VTE|ACH|OPS|MGT|HRM|CST"
"menu-consultant-create-timesheet";"CST"
