"key","message","comment","context"
"Anomaly","Anomalie",,
"Batch","Batch",,
"Category","Categorie",,
"Cause","Oorzaak",,
"Configuration problem","Configuratie probleem",,
"Date","Datum",,
"Default",,,
"Error","Fout",,
"Functional anomaly","Functionele anomalie",,
"ID","ID",,
"Inconsistency","Inconsistentie",,
"Message","Bericht",,
"Missing field","Ontbrekend veld",,
"Name","Naam",,
"No Return Value","Geen retourwaarde",,
"Non-unique key","Niet-unieke sleutel",,
"Origin","Oorsprong",,
"Reference","Referentie",,
"Reference ID","Referentie-ID",,
"Show the batch","Toon de batch",,
"Show the reference","Toon de referentie",,
"Technical anomaly","Technische anomalie",,
"Trace","Sporen",,
"TraceBack","TraceBack",,
"Type","Type",,
"User","Gebruiker",,
