"key","message","comment","context"
"Anomaly","Anomalia",,
"Batch","Partia",,
"Category","Kategoria",,
"Cause","Przyczyna",,
"Configuration problem","Problem konfiguracji",,
"Date","Data",,
"Default",,,
"Error","Błąd",,
"Functional anomaly","Anomalia funkcjonalna",,
"ID","IDENTYFIKATOR",,
"Inconsistency","Niespójność",,
"Message","Wiadomość",,
"Missing field","Brakujące pole",,
"Name","Nazwa",,
"No Return Value","Nr Wartość zwrotu",,
"Non-unique key","Klucz niejednoznaczny",,
"Origin","Pochodzenie",,
"Reference","Odniesienie",,
"Reference ID","Identyfikator referencyjny",,
"Show the batch","Pokaż partię.",,
"Show the reference","Pokaż odniesienie",,
"Technical anomaly","Anomalia techniczna",,
"Trace","Ścieżka",,
"TraceBack","TraceBack",,
"Type","Typ",,
"User","Użytkownik",,
