"key","message","comment","context"
"Anomaly","Anomalia",,
"Batch","Lote",,
"Category","Categoria: Categoria",,
"Cause","Causa",,
"Configuration problem","Problema de configuração",,
"Date","Data",,
"Default",,,
"Error","Erro",,
"Functional anomaly","Anomalia funcional",,
"ID","ID",,
"Inconsistency","Inconsistência",,
"Message","Mensagem",,
"Missing field","Campo em falta",,
"Name","Nome e Sobrenome",,
"No Return Value","Sem valor de retorno",,
"Non-unique key","Chave não exclusiva",,
"Origin","Origem",,
"Reference","Referência",,
"Reference ID","ID de referência",,
"Show the batch","Mostrar o lote",,
"Show the reference","Mostrar a referência",,
"Technical anomaly","Anomalia técnica",,
"Trace","Rastrear",,
"TraceBack","TraceBack",,
"Type","Tipo de",,
"User","Usuário",,
