"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.fleet.all";"com.axelor.apps.fleet.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.fleet.VehicleFuelLog.r";"com.axelor.apps.fleet.db.VehicleFuelLog";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleServiceType.r";"com.axelor.apps.fleet.db.VehicleServiceType";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleContract.r";"com.axelor.apps.fleet.db.VehicleContract";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleMake.r";"com.axelor.apps.fleet.db.VehicleMake";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleState.r";"com.axelor.apps.fleet.db.VehicleState";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleOdometer.r";"com.axelor.apps.fleet.db.VehicleOdometer";"x";;;;;;;"role.fleet.r"
"perm.fleet.RecurringCost.r";"com.axelor.apps.fleet.db.RecurringCost";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleService.r";"com.axelor.apps.fleet.db.VehicleService";"x";;;;;;;"role.fleet.r"
"perm.fleet.Vehicle.r";"com.axelor.apps.fleet.db.Vehicle";"x";;;;;"self.company in (?)";"__user__.companySet";"role.fleet.r"
"perm.fleet.VehicleModel.r";"com.axelor.apps.fleet.db.VehicleModel";"x";;;;;;;"role.fleet.r"
"perm.fleet.Booking.r";"com.axelor.apps.fleet.db.Booking";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleCost.r";"com.axelor.apps.fleet.db.VehicleCost";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleTag.r";"com.axelor.apps.fleet.db.VehicleTag";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleServiceLog.r";"com.axelor.apps.fleet.db.VehicleServiceLog";"x";;;;;;;"role.fleet.r"
"perm.fleet.VehicleFuelLog.rwc";"com.axelor.apps.fleet.db.VehicleFuelLog";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleServiceType.rwc";"com.axelor.apps.fleet.db.VehicleServiceType";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleContract.rwc";"com.axelor.apps.fleet.db.VehicleContract";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleMake.rwc";"com.axelor.apps.fleet.db.VehicleMake";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleState.rwc";"com.axelor.apps.fleet.db.VehicleState";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleOdometer.rwc";"com.axelor.apps.fleet.db.VehicleOdometer";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.RecurringCost.rwc";"com.axelor.apps.fleet.db.RecurringCost";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleService.rwc";"com.axelor.apps.fleet.db.VehicleService";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.Vehicle.rwc";"com.axelor.apps.fleet.db.Vehicle";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.fleet.rwc"
"perm.fleet.VehicleModel.rwc";"com.axelor.apps.fleet.db.VehicleModel";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.Booking.rwc";"com.axelor.apps.fleet.db.Booking";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleCost.rwc";"com.axelor.apps.fleet.db.VehicleCost";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleTag.rwc";"com.axelor.apps.fleet.db.VehicleTag";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleServiceLog.rwc";"com.axelor.apps.fleet.db.VehicleServiceLog";"x";"x";"x";;;;;"role.fleet.rwc"
"perm.fleet.VehicleFuelLog.rwcde";"com.axelor.apps.fleet.db.VehicleFuelLog";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleServiceType.rwcde";"com.axelor.apps.fleet.db.VehicleServiceType";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleContract.rwcde";"com.axelor.apps.fleet.db.VehicleContract";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleMake.rwcde";"com.axelor.apps.fleet.db.VehicleMake";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleState.rwcde";"com.axelor.apps.fleet.db.VehicleState";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleOdometer.rwcde";"com.axelor.apps.fleet.db.VehicleOdometer";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.RecurringCost.rwcde";"com.axelor.apps.fleet.db.RecurringCost";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleService.rwcde";"com.axelor.apps.fleet.db.VehicleService";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.Vehicle.rwcde";"com.axelor.apps.fleet.db.Vehicle";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.fleet.rwcde"
"perm.fleet.VehicleModel.rwcde";"com.axelor.apps.fleet.db.VehicleModel";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.Booking.rwcde";"com.axelor.apps.fleet.db.Booking";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleCost.rwcde";"com.axelor.apps.fleet.db.VehicleCost";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleTag.rwcde";"com.axelor.apps.fleet.db.VehicleTag";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
"perm.fleet.VehicleServiceLog.rwcde";"com.axelor.apps.fleet.db.VehicleServiceLog";"x";"x";"x";"x";"x";;;"role.fleet.rwcde"
