"key","message","comment","context"
"Acquisition Date",,,"resources/domains/Vehicle.xml:18"
"Activation Cost",,,"resources/domains/VehicleContract.xml:23"
"Active",,,"resources/domains/VehicleContract.xml:9"
"Additional Properties",,,"resources/views/Vehicle.xml:45"
"Amount",,,"resources/domains/RecurringCost.xml:9"
"Archived",,,"resources/domains/Vehicle.xml:34"
"Automatic",,,"resources/views/Selects.xml:8"
"Booking",,,"resources/views/Booking.xml:11
resources/views/Booking.xml:6"
"BookingDate",,,"resources/domains/Booking.xml:8"
"CO2 Emissions",,,"resources/domains/Vehicle.xml:31"
"Car value",,,"resources/domains/Vehicle.xml:33"
"Category",,,"resources/domains/Booking.xml:12"
"Chassis Number",,,"resources/domains/Vehicle.xml:11"
"Color",,,"resources/domains/Vehicle.xml:19"
"Company",,,"resources/domains/Vehicle.xml:10"
"Configuration",,,"resources/views/Menu.xml:59"
"Confirmed",,,"resources/domains/Booking.xml:11"
"Contact",,,"resources/domains/Booking.xml:9"
"Contract Expiration Date",,,"resources/domains/VehicleContract.xml:11"
"Contract Reference",,,"resources/domains/VehicleContract.xml:16"
"Contract Start date",,,"resources/domains/VehicleContract.xml:10"
"Contract details",,,"resources/views/VehicleContract.xml:26"
"Contractor",,,"resources/domains/VehicleContract.xml:14"
"Cost",,,"resources/domains/VehicleService.xml:9"
"Daily",,,"resources/views/Selects.xml:25"
"Date",,,"resources/domains/RecurringCost.xml:8
resources/domains/VehicleCost.xml:11
resources/domains/VehicleFuelLog.xml:16
resources/domains/VehicleOdometer.xml:9
resources/domains/VehicleServiceLog.xml:9"
"Diesel",,,"resources/views/Selects.xml:33"
"Doors",,,"resources/domains/Vehicle.xml:23"
"Draft",,,"resources/views/Selects.xml:18"
"Driver",,,"resources/domains/Vehicle.xml:12"
"Electric",,,"resources/views/Selects.xml:34"
"Engine Options",,,"resources/views/Vehicle.xml:51"
"Fleet",,,"resources/views/Menu.xml:7"
"Fuel log",,,"resources/domains/Vehicle.xml:14"
"Fuel type",,,"resources/domains/Vehicle.xml:27"
"Gasoline",,,"resources/views/Selects.xml:32"
"General Properties",,,"resources/views/Vehicle.xml:31"
"Horse Power",,,"resources/domains/Vehicle.xml:28"
"Horse Power Tax",,,"resources/domains/Vehicle.xml:29"
"Hybrid",,,"resources/views/Selects.xml:35"
"Image",,,"resources/domains/Vehicle.xml:32
resources/domains/VehicleMake.xml:9"
"In Progress",,,"resources/views/Selects.xml:19"
"Included Services",,,"resources/views/VehicleContract.xml:43"
"Information",,,"resources/views/VehicleFuelLog.xml:22
resources/views/VehicleServiceLog.xml:10"
"Invoice Date",,,"resources/domains/VehicleContract.xml:25"
"Invoice Reference",,,"resources/domains/VehicleFuelLog.xml:13
resources/domains/VehicleServiceLog.xml:11"
"Leasing",,,"resources/views/Selects.xml:13"
"Liter",,,"resources/domains/VehicleFuelLog.xml:9"
"Location",,,"resources/domains/Vehicle.xml:21"
"Make",,,"resources/domains/VehicleModel.xml:8
resources/views/VehicleMake.xml:10
resources/views/VehicleMake.xml:6"
"Manual",,,"resources/views/Selects.xml:7"
