"key","message","comment","context"
"Access","Accès",,
"Activate","Activer",,
"Active","Actif",,
"App",,,
"App GDPR","Application RGPD",,
"App gdpr","Application RGPD",,
"Archive","Archiver",,
"Are you sure to cancel the request ?","Etes-vous sûr de vouloir annuler la demande ?",,
"Are you sure to confirm the request ?","Etes-vous sûr de vouloir confirmer la demande ?",,
"Can not find object.","Impossible de trouver l'objet.",,
"Cancel","Annuler",,
"Canceled","Annulée",,
"Code",,,
"Comment","Commentaire",,
"Configurations",,,
"Confirm","Confirmer",,
"Confirmed","Confirmée",,
"Data file","Fichier de données",,
"Data processed","Données traitées",,
"Description","Description",,
"Draft","Brouillon",,
"Due sending date","Date limite d'envoi",,
"Email","Email",,
"Erasure","Effacement",,
"Error occurred","Une erreur est survenue.",,
"Field of the meta model to bind to the query","Champ du modèle à lier à la requête",,
"Filter to add to the query","Filtre à ajouter à la requête",,
"First name","Prénom",,
"GDPR","RGPD",,
"GDPR Processing Register Log","Journal registre de traitement",,
"GDPR Request","Demande RGPD",,
"GDPR app","Application RGPD",,
"GDPR erasure log","Journal d'effacement RGPD",,
"GDPR erasure logs","Journaux d'effacement RGPD",,
"GDPR processing register log","Journal du registre de traitement",,
"GDPR processing register logs","Journaux du registre de traitement",,
"GDPR processing registers","Registres de traitement",,
"GDPR search configuration","Configuration pour la recherche RGPD",,
"GDPR search configuration lines","Lignes de configuration pour la recherche RGPD",,
"Gdpr processing register log list","Journaux du registre de traitement",,
"Gdpr processing register rule list","Liste de règles du registre de traitement",,
"Indicate which date should be verified. If one of the date is after the retention date, the data will not be archived.","Indiquer quelle date devrait être vérifiée. Si une des dates est supérieure à la date de rétention, la donnée ne sera pas archivée.",,
"Key","Clé",,
"Label","Etiquette",,
"Last name","Nom",,
"Lead","Piste",,
"Mapping",,,
"Maximum days to respond","Jours maximum pour répondre",,
"Meta model",,,
"Missing mail template","Absence de modèle de mail",,
"Missing response email address","Absence d'adresse email pour la réponse.",,
"Model","Modèle",,
"Model id","Identifiant du modèle",,
"Model log","Log du modèle",,
"Models",,,
"Name","Nom",,
"Name of the key for the search engine","Nom de la clé pour le moteur de recherche",,
"Number of records","Nombre d'enregistrements",,
"Partner","Tiers",,
"Phone","Téléphone",,
"Please enter at least one field.","Veuillez saisir au moins un champ.",,
"Please select a line","Veuillez sélectionner une ligne",,
"Please select only one line","Veuillez sélectionner une seule ligne",,
"Processed finished","Traitement terminé.",,
"Processing date","Date de traitement",,
"Processing register","Registre de traitement",,
"Processing register - Archiving","Registre de traitement - Archivage",,
"Processing register rule","Règle du registre de traitement",,
"Processing register rules","Règles de registre de traitement",,
"Pseudonymizer","Pseudonymiseur",,
"Query","Requête",,
"Received","Reçue",,
"Reference","Référence",,
"Register created","Registre créé",,
"Request","Requête",,
"Request date","Date de la demande",,
"Request origin","Origine de la demande",,
"Requests","Requêtes",,
"Requests origin","Origine des demandes",,
"Requests origins","Origines des demandes",,
"Response","Réponse",,
"Response email address","Adresse email de réponse",,
"Response message","Message de réponse",,
"Restore","Restaurer",,
"Results","Résultats",,
"Retention period (in months)","Durée de rétention (en mois)",,
"Rule","Règle",,
"Search","Rechercher",,
"Search configuration","Configuration pour la recherche",,
"Search configuration line","Ligne de configuration pour la recherche",,
"Search configuration lines","Lignes de configuration pour la recherche",,
"Search configurations","Configurations pour la recherche",,
"Send Response","Envoyer la réponse",,
"Sending date","Date d'envoi",,
"Sent","Envoyé",,
"Status","État",,
"This field doesn't exist.","Ce champ n'existe pas.",,
"Type",,,
"com.axelor.apps.gdpr.job.ProcessingRegisterJob",,,
"result","résultat",,
