key,message,comment,context
Address,Address,,
CGST,CGST,,
Company,Company,,
Contact,Contact,,
Contact Type,Contact Type,,
Default,Default,,
GST Rate,GST Rate,,
GSTIN,GSTIN,,
Gsts,Gsts,,
HSBN,HSBN,,
IGST,IGST,,
Invoice,Invoice,,
Invoice line,Invoice line,,
Name,Name,,
Net CGST,Net CGST,,
Net IGST,Net IGST,,
Net SGST,Net SGST,,
Others,Others,,
Primary,Primary,,
Priority,Priority,,
Product,Product,,
Product categories,Product categories,,
Product category,Product category,,
SGST,SGST,,
Secondary,Secondary,,
State,State,,
States,States,,
Type,Type,,
Use invoice address as shipping,Use invoice address as shipping,,
shipping,shipping,,
