key,message,comment,context
Address,Adresse,,
CGST,CGST,,
Company,Société,,
Contact,Contact,,
Contact Type,type de contact,,
Default,Défaut,,
GST Rate,Taux de TPS,,
GSTIN,GSTIN,,
Gsts,TPS,,
HSBN,HSBN,,
IGST,IGST,,
Invoice,Facture d'achat,,
Invoice line,Ligne de facture,,
Name,Nom,,
Net CGST,CGST nette,,
Net IGST,IGST net,,
Net SGST,SGST nette,,
Others,Autres,,
Primary,Primaire,,
Priority,Priorité,,
Product,Produit,,
Product categories,Catégories de produits,,
Product category,Catégorie de produit,,
SGST,SGST,,
Secondary,Secondaire,,
State,État,,
States,États,,
Type,Taper,,
Use invoice address as shipping,Utiliser l'adresse de facturation comme expédition,,
shipping,expédition,,
