"key","message","comment","context"
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"All SLA","Alle SLA",,
"All ticket types","Alle Tickettypen",,
"All tickets","Alle Tickets",,
"App helpdesk","App Helpdesk",,
"Apply on","Bewerben auf",,
"Assign to me","Mir zuweisen",,
"Assigned to","Zugeordnet zu",,
"Cancel","Abbrechen",,
"Characteristics","Merkmale",,
"Close","Schließen",,
"Closed","Geschlossen",,
"Code","Code",,
"Configuration","Konfiguration",,
"Current tickets","Aktuelle Tickets",,
"Customer","Kunde",,
"Customer contact","Kundenkontakt",,
"Dates","Daten",,
"Deadline","Deadline",,
"Description","Beschreibung",,
"Duration","Dauer",,
"End date","Enddatum",,
"Follow-up","Nachbereitung",,
"From Date","Von-Datum",,
"Helpdesk","Helpdesk",,
"High","Hoch",,
"In progress","In Bearbeitung",,
"Late tickets","Verspätete Tickets",,
"Low","Niedrig",,
"Mail subject","Betreff der E-Mail",,
"Manage Timer","Timer verwalten",,
"Minimum priority","Minimale Priorität",,
"My team tickets","Meine Teamtickets",,
"My tickets","Meine Tickets",,
"Name","Name",,
"New","Neu",,
"Normal","Normal",,
"Not assigned tickets","Nicht zugeordnete Tickets",,
"Number of tickets per SLA & per team","Anzahl der Tickets pro SLA & pro Team",,
"Number of tickets per SLA & per user","Anzahl der Tickets pro SLA & pro Benutzer",,
"Overview","Übersicht",,
"Percentage","Prozentsatz",,
"Percentage of repartition tickets per state","Prozentsatz der Repartitionstickets pro Status",,
"Percentage of tickets per SLA & per team","Prozentsatz der Tickets pro SLA & pro Team",,
"Percentage of tickets per SLA & per user","Prozentsatz der Tickets pro SLA & pro Benutzer",,
"Please select tickets","Bitte wählen Sie Tickets aus",,
"Priority","Priorität",,
"Progress","Fortschritte",,
"Progress (%)","Fortschritt (%)",,
"Project","Projekt",,
"Projects","Projekte",,
"Reach in","Reichweite in",,
"Reach stage","Erreichbarkeitsstufe",,
"Real total duration (Hours)","Reale Gesamtdauer (Stunden)",,
"Reportings","Berichte",,
"Resolve","Lösen",,
"Resolved","Gelöst",,
"SLA","SLA",,
"SLA Details","SLA-Details",,
"SLA Policy","SLA-Richtlinie",,
"SLA completed","SLA abgeschlossen",,
"SLA dashboard","SLA Dashboard",,
"SLA policies","SLA-Richtlinien",,
"SLA policy name","Name der SLA-Richtlinie",,
"Start","Start",,
"Start date","Startdatum",,
"Status","Status",,
"Stop","Stopp",,
"Subject","Betreff",,
"Take charge","Übernehmen Sie die Verantwortung",,
"Target","Ziel",,
"Team","Team",,
"Ticket","Ticket",,
"Ticket Closed","Ticket geschlossen",,
"Ticket Details","Ticket-Details",,
"Ticket In Progress","Ticket in Bearbeitung",,
"Ticket In Resolved","Ticket in gelöst",,
"Ticket Number","Ticketnummer",,
"Ticket N°","Ticket-Nr.",,
"Ticket Type","Tickettyp",,
"Ticket created","Ticket erstellt",,
"Ticket dashboard","Ticket-Dashboard",,
"Ticket filters",,,
"Ticket type","Tickettyp",,
"Ticket types","Tickettypen",,
"Tickets","Tickets",,
"Tickets by ticket type","Tickets nach Tickettyp",,
"Timer","Timer",,
"Timer list","Timerliste",,
"Timer state","Timer-Status",,
"To Date","Bis heute",,
"Total duration (Hours)","Gesamtdauer (Stunden)",,
"Total tickets","Gesamtzahl der Tickets",,
"Urgent","Dringend",,
"User","Benutzer",,
"User in charge of the issue","Verantwortlicher Benutzer für das Problem",,
"Working Days","Arbeitstage",,
"days","Tage",,
"hours","Stunden",,
"info","Info",,
"success","Erfolg",,
"value:Helpdesk","Wert:Helpdesk",,
