"key","message","comment","context"
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"All SLA",,,
"All ticket types",,,
"All tickets",,,
"All ticktes",,,
"App helpdesk",,,
"Apply on","S'applique sur",,
"Assigned to",,,
"Attributes",,,
"Closed",,,
"Configuration",,,
"Context",,,
"Current tickets","Tickets en cours",,
"Customer",,,
"Customer contact",,,
"Deadline",,,
"Description",,,
"Duration",,,
"End date",,,
"From Date",,,
"Helpdesk","Support client",,
"High",,,
"In progress",,,
"Late tickets","Tickets en retard",,
"Lead",,,
"Low",,,
"Minimum priority","Priorité minimum",,
"My team tickets","Les tickets de mon équipe",,
"My tickets","Mes tickets",,
"Name",,,
"New",,,
"Normal",,,
"Not assigned tickets","Tickets non assignés",,
"Priority",,,
"Progress (%)",,,
"Project","Projet",,
"Reach in","Atteint en",,
"Reach stage","Etape atteinte",,
"Reportings",,,
"Resolved","Résolu",,
"SLA",,,
"SLA Policy","Charte SLA",,
"SLA completed",,,
"SLA policies","Chartes SLA",,
"SLA policy name","Nom de la charte SLA",,
"Start date",,,
"Status",,,
"Subject",,,
"Target",,,
"Team",,,
"Ticket",,,
"Ticket Closed",,,
"Ticket Details",,,
"Ticket In Progress",,,
"Ticket In Resolved",,,
"Ticket Number","Ticket N°",,
"Ticket created",,,
"Ticket dashboard",,,
"Ticket type","Type de tickets",,
"Ticket types","Types de tickets",,
"Tickets",,,
"To Date",,,
"Urgent",,,
"User in charge of the issue",,,
"Working Days","Jours ouvrés",,
"days",,,
"hours",,,
"info",,,
"success",,,
