"key","message","comment","context"
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"All SLA","Tutti gli SLA",,
"All ticket types","Tutti i tipi di biglietti",,
"All tickets","Tutti i biglietti",,
"App helpdesk","Helpdesk per le applicazioni",,
"Apply on","Applicare su",,
"Assign to me","Assegnare a me",,
"Assigned to","Assegnato a",,
"Cancel","Annulla",,
"Characteristics","Caratteristiche",,
"Close","Chiudere",,
"Closed","Chiuso",,
"Code","Codice",,
"Configuration","Configurazione",,
"Current tickets","Biglietti attuali",,
"Customer","Cliente",,
"Customer contact","Contatto con il cliente",,
"Dates","Le date",,
"Deadline","Scadenza",,
"Description","Descrizione",,
"Duration","Durata",,
"End date","Data di fine",,
"Follow-up","Seguito",,
"From Date","Da Data",,
"Helpdesk","Helpdesk",,
"High","Alto",,
"In progress","In corso",,
"Late tickets","Biglietti in ritardo",,
"Low","Basso",,
"Mail subject","Oggetto della posta",,
"Manage Timer","Gestire il timer",,
"Minimum priority","Priorità minima",,
"My team tickets","Biglietti della mia squadra",,
"My tickets","I miei biglietti",,
"Name","Nome",,
"New","Nuovo",,
"Normal","Normale",,
"Not assigned tickets","Biglietti non assegnati",,
"Number of tickets per SLA & per team","Numero di biglietti per SLA e per squadra",,
"Number of tickets per SLA & per user","Numero di biglietti per SLA e per utente",,
"Overview","Panoramica",,
"Percentage","Percentuale",,
"Percentage of repartition tickets per state","Percentuale di biglietti di ripartizione per Stato",,
"Percentage of tickets per SLA & per team","Percentuale di biglietti per SLA e per squadra",,
"Percentage of tickets per SLA & per user","Percentuale di biglietti per SLA e per utente",,
"Please select tickets","Selezionare i biglietti",,
"Priority","Priorità",,
"Progress","Progressi",,
"Progress (%)","Progressi (%)",,
"Project","Il progetto",,
"Projects","Progetti",,
"Reach in","Raggiungere in",,
"Reach stage","Raggiungere la fase",,
"Real total duration (Hours)","Durata totale reale (ore)",,
"Reportings","Rapporti",,
"Resolve","Risolvere",,
"Resolved","Risolto",,
"SLA","SLA",,
"SLA Details","Dettagli SLA",,
"SLA Policy","Politica SLA",,
"SLA completed","SLA completato",,
"SLA dashboard","Cruscotto SLA",,
"SLA policies","Politiche SLA",,
"SLA policy name","Nome della polizza SLA",,
"Start","Inizio",,
"Start date","Data d'inizio",,
"Status","Stato",,
"Stop","Fermo",,
"Subject","Oggetto",,
"Take charge","Prendere in carico",,
"Target","Obiettivo",,
"Team","Squadra",,
"Ticket","Biglietto",,
"Ticket Closed","Biglietto Chiuso",,
"Ticket Details","Dettagli del biglietto",,
"Ticket In Progress","Biglietto in corso",,
"Ticket In Resolved","Biglietto In Risolto",,
"Ticket Number","Numero del biglietto",,
"Ticket N°","Numero del biglietto",,
"Ticket Type","Tipo di biglietto",,
"Ticket created","Biglietto creato",,
"Ticket dashboard","Biglietto dashboard",,
"Ticket type","Tipo di biglietto",,
"Ticket types","Tipi di biglietti",,
"Tickets","Biglietti",,
"Tickets by ticket type","Biglietti per tipo di biglietto",,
"Timer","Timer",,
"Timer list","Elenco dei timer",,
"Timer state","Stato del timer",,
"To Date","Fino ad oggi",,
"Total duration (Hours)","Durata totale (ore)",,
"Total tickets","Totale biglietti",,
"Urgent","Urgente",,
"User","Utente",,
"User in charge of the issue","Utente responsabile dell'emissione",,
"Working Days","Giorni lavorativi",,
"days","giornate",,
"hours","orario",,
"info","Info",,
"success","riuscita",,
"value:Helpdesk","valore:Helpdesk",,
