"key","message","comment","context"
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"All SLA","Все SLA",,
"All ticket types","Все типы билетов",,
"All tickets","Все билеты",,
"App helpdesk","Служба поддержки приложений",,
"Apply on","Применить на",,
"Assign to me","Назначить мне",,
"Assigned to","Назначенный",,
"Cancel","Отмена",,
"Characteristics","Характеристики",,
"Close","Близко",,
"Closed","Закрытый",,
"Code","Код",,
"Configuration","Конфигурация",,
"Current tickets","Текущие билеты",,
"Customer","Клиент",,
"Customer contact","Контакт с клиентом",,
"Dates","Даты",,
"Deadline","Крайний срок",,
"Description","Описание",,
"Duration","Продолжительность",,
"End date","Дата окончания",,
"Follow-up","Последующая деятельность",,
"From Date","С даты",,
"Helpdesk","Служба поддержки",,
"High","Высоко",,
"In progress","В процессе выполнения",,
"Late tickets","Поздние билеты",,
"Low","Низкий",,
"Mail subject","Тема письма",,
"Manage Timer","Управление таймером",,
"Minimum priority","Минимальный приоритет",,
"My team tickets","Мои командные билеты",,
"My tickets","Мои билеты",,
"Name","Имя",,
"New","Новый",,
"Normal","Нормальный",,
"Not assigned tickets","Назначенные билеты не предоставляются",,
"Number of tickets per SLA & per team","Количество билетов на SLA и на команду",,
"Number of tickets per SLA & per user","Количество билетов на SLA & на одного пользователя",,
"Overview","Обзор",,
"Percentage","Процент",,
"Percentage of repartition tickets per state","Процентная доля передельных билетов в расчете на штат",,
"Percentage of tickets per SLA & per team","Процентная доля билетов на SLA и на команду",,
"Percentage of tickets per SLA & per user","Процентная доля билетов на SLA и на одного пользователя",,
"Please select tickets","Пожалуйста, выберите билеты",,
"Priority","Приоритет",,
"Progress","Прогресс",,
"Progress (%)","Прогресс (%)",,
"Project","Проект",,
"Projects","Проекты",,
"Reach in","Дотянуться",,
"Reach stage","Достичь стадии",,
"Real total duration (Hours)","Общая реальная продолжительность (в часах)",,
"Reportings","Отчеты",,
"Resolve","Решить",,
"Resolved","Решил",,
"SLA","СОГЛАШЕНИЕ ОБ УРОВНЕ ОБСЛУЖИВАНИЯ",,
"SLA Details","Детали SLA",,
"SLA Policy","Политика SLA",,
"SLA completed","SLA выполнено",,
"SLA dashboard","приборная панель SLA",,
"SLA policies","политики SLA",,
"SLA policy name","Название политики SLA",,
"Start","Начать",,
"Start date","Дата начала",,
"Status","Статус",,
"Stop","Остановись",,
"Subject","Предмет",,
"Take charge","Возьмите на себя ответственность",,
"Target","Цель",,
"Team","Команда",,
"Ticket","Билет",,
"Ticket Closed","Билет закрыт",,
"Ticket Details","Детали билетов",,
"Ticket In Progress","Билет в процессе оформления",,
"Ticket In Resolved","Билет в разрешенном состоянии",,
"Ticket Number","Номер билета",,
"Ticket N°","Билет N°",,
"Ticket Type","Тип билета",,
"Ticket created","Созданный билет",,
"Ticket dashboard","Приборная панель билетов",,
"Ticket type","Тип билета",,
"Ticket types","Типы билетов",,
"Tickets","Билеты",,
"Tickets by ticket type","Билеты по типам билетов",,
"Timer","Таймер",,
"Timer list","Список таймеров",,
"Timer state","Состояние таймера",,
"To Date","На свидание",,
"Total duration (Hours)","Общая продолжительность (в часах)",,
"Total tickets","Всего билетов",,
"Urgent","Срочно",,
"User","Пользователь",,
"User in charge of the issue","Пользователь, ответственный за выпуск",,
"Working Days","Рабочие дни",,
"days","дни",,
"hours","часы",,
"info","данные",,
"success","преуспевание",,
"value:Helpdesk","значение:Служба поддержки",,
