"key","message","comment","context"
"0 %","0%",,
"10 %","10%",,
"100 %","100%",,
"20 %","20%",,
"30 %","30%",,
"40 %","40%",,
"50 %","50%",,
"60 %","60%",,
"70 %","70%",,
"80 %","80%",,
"90 %","90%",,
"ALL","全部",,
"All SLA","所有SLA",,
"All ticket types","所有票证类型",,
"All tickets","所有票证",,
"App","应用",,
"App helpdesk","客户支持应用",,
"Apply on","应用于",,
"Assign to me","由我处理",,
"Assigned to","分配给",,
"Cancel","取消",,
"Characteristics","特征",,
"Close","关闭",,
"Closed","已关闭",,
"Closed status","关闭状态",,
"Closed ticket status does not exist. Please configure at least one.","关闭的票证状态不存在。请至少配置一个。",,
"Code","代码",,
"Configuration","配置",,
"Current tickets","当前票证",,
"Customer","客户",,
"Customer contact","客户联系人",,
"Dates","日期",,
"Deadline","截止日期",,
"Default status","默认状态",,
"Default ticket status does not exist. Please configure at least one.","默认的票证状态不存在。请至少配置一个。",,
"Description","描述",,
"Duration","持续时间",,
"End date","结束日期",,
"Follow-up","跟进",,
"From Date","从日期",,
"Full name","全名",,
"Helpdesk","客户支持",,
"High","高",,
"In progress","进行中",,
"Late tickets","逾期票证",,
"Low","低",,
"Manage Timer","管理计时器",,
"Minimum priority","最低优先级",,
"My team tickets","我的团队票证",,
"My tickets","我的票证",,
"Name","名称",,
"New","新建",,
"Normal","正常",,
"Not assigned tickets","未分配票证",,
"Number of tickets per SLA & per team","每个SLA和每个团队的票证数量",,
"Number of tickets per SLA & per user","每个SLA和每个用户的票证数量",,
"On going status","进行中状态",,
"On going ticket status does not exist. Please configure at least one.","进行中的票证状态不存在。请至少配置一个。",,
"Overview","概述",,
"Partner","合作伙伴",,
"Percentage","百分比",,
"Percentage of repartition tickets per state","按状态的票证分布百分比",,
"Percentage of tickets per SLA & per team","每个SLA和每个团队的票证百分比",,
"Percentage of tickets per SLA & per user","每个SLA和每个用户的票证百分比",,
"Please select tickets","请选择票证",,
"Priority","优先级",,
"Progress","进度",,
"Progress (%)","进度(%)",,
"Project","项目",,
"Projects","项目",,
"Reach in","达到",,
"Reach stage","达到阶段",,
"Real total duration (Hours)","实际总持续时间 (小时)",,
"Reportings","报告",,
"Resolve","解决",,
"Resolved","已解决",,
"Resolved status","解决状态",,
"Resolved ticket status does not exist. Please configure at least one.","解决的票证状态不存在。请至少配置一个。",,
"SLA","SLA",,
"SLA Policy","SLA政策",,
"SLA completed","SLA完成",,
"SLA dashboard","SLA仪表板",,
"SLA policies","SLA政策",,
"SLA policy name","SLA政策名称",,
"Sequence","序列",,
"Solved","已解决",,
"Stage to reach","要达到的阶段",,
"Start","开始",,
"Start date","开始日期",,
"Status","状态",,
"Stop","停止",,
"Subject","主题",,
"Take charge","负责",,
"Target","目标",,
"Team","团队",,
"Ticket","票证",,
"Ticket Number","票证编号",,
"Ticket N°","票证编号",,
"Ticket Type","票证类型",,
"Ticket created","票证已创建",,
"Ticket dashboard","票证仪表板",,
"Ticket filters","票证过滤器",,
"Ticket status","票证状态",,
"Ticket statuses","票证状态",,
"Ticket type","票证类型",,
"Ticket types","票证类型",,
"Ticket updated.","票证已更新",,
"Tickets","票证",,
"Tickets by ticket type","按票证类型分类的票证",,
"Timer","计时器",,
"Timer list","计时器列表",,
"Timer state","计时器状态",,
"To Date","到日期",,
"Total duration (Hours)","总持续时间 (小时)",,
"Total tickets","总票证",,
"Unsolved","未解决",,
"Urgent","紧急",,
"User","用户",,
"User in charge of the issue","负责问题的用户",,
"Workflow to update status to value provided is not supported by ticket.","更新状态到提供的值的流程不被票证支持。",,
"Working Days","工作日",,
"chart.resolved","已解决",,
"days","天",,
"hours","小时",,
"value:Helpdesk","客户支持",,
