"importId";"metaModel";"metaField";"anonymizer_importId";"useFakeData"
"44";"Employment";"fullName";"3";"false"
"45";"Employment";"name";"3";"false"
"46";"Employee";"companyCbDetails";"3";"false"
"47";"Employee";"leavingDate";"3";"false"
"48";"Employee";"phoneAtCustomer";"3";"false"
"49";"Employee";"emergencyContact";"3";"false"
"50";"Employee";"maritalName";"3";"false"
"51";"Employee";"fixedProPhone";"3";"false"
"52";"Employee";"mobileProPhone";"3";"false"
"53";"Employee";"name";"3";"false"
"54";"Employee";"seniorityDate";"3";"false"
"55";"Employee";"maidenName";"3";"false"
"56";"Employee";"birthDate";"3";"false"
"57";"Employee";"socialSecurityNumber";"3";"false"
"58";"Employee";"hireDate";"3";"false"
"59";"Employee";"emergencyNumber";"3";"false"
"60";"Employee";"emergencyContactRelationship";"3";"false"
"61";"DPAE";"healthService";"3";"false"
"62";"DPAE";"emergencyContactRelationship";"3";"false"
"63";"DPAE";"lastName";"3";"false"
"64";"DPAE";"socialSecurityNumber";"3";"false"
"65";"DPAE";"hireTime";"3";"false"
"66";"DPAE";"companyFixedPhone";"3";"false"
"67";"DPAE";"registrationCode";"3";"false"
"68";"DPAE";"firstName";"3";"false"
"69";"DPAE";"hireDate";"3";"false"
"70";"DPAE";"birthDate";"3";"false"
"71";"DPAE";"contractEndDate";"3";"false"
"72";"DPAE";"mainActivityCode";"3";"false"
