"comments";"leaveLine.importId";"value";"date";"fromDate";"toDate"
"Congés";1;12;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";2;52;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";3;45;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";4;5;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";5;4;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";6;23;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";7;75;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";8;11;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";9;14;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";10;10;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";11;1;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";12;31;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";13;27;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";14;16;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";15;21;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";16;9;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";17;13;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";18;8;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
"Congés";37;5;"TODAY[-2M1d]";"TODAY[-3M1d]";"TODAY[-2M1d]"
