"name";"roles"
"hr-root";"Employee Manager|Employee User|Employee Read"
"hr-root-emp-mgt";"Employee Manager|Employee User|Employee Read"
"employee-all";"Employee Manager|Employee User|Employee Read"
"all-employment-contract";"Employee Manager|Employee User|Employee Read"
"all-payroll-preparation";"Employee Manager|Employee User|Employee Read"
"all-lunch-voucher-mgt";"Employee Manager|Employee User|Employee Read"
"hr-employee-bonus-mgt";"Employee Manager|Employee User|Employee Read"
"hr-employee-dpae";"Employee Manager|Employee User|Employee Read"
"hr-root-emp-mgt-conf";"Employee Manager"
"hr-conf-product-activity";"Employee Manager"
"end-of-contract-reason-all";"Employee Manager"
"employment-contract-template-all";"Employee Manager"
"hr-employee-bonus-type";"Employee Manager"
"hr-employment-contract-type";"Employee Manager"
"hr-conf-payroll-year";"Employee Manager"
"hr-conf-payroll-period";"Employee Manager"
"hr-conf-fiscal-period";"Employee Manager"
"plannings-all";"Employee Manager"
"event-planning-all";"Employee Manager"
"weekly-planning-all";"Employee Manager"
"hr-root-emp-mgt-conf-file-type";"Employee Manager"
"hr-root-configuration-employments";"Employee Manager"
"hr-root-configuration-collective-agreement";"Employee Manager"
"hr-root-configuration-qualification";"Employee Manager"
"hr-root-configuration-qualification-level";"Employee Manager"
"hr-root-configuration-pay-grid";"Employee Manager"
"hr-root-configuration-employments-all";"Employee Manager"
"hr-root-configuration-smic-value";"Employee Manager"
"hr-root-configuration-employment-contract-amendment";"Employee Manager"
"hr-root-configuration-contract-type";"Employee Manager"
"hr-employment-amendment-type";"Employee Manager"
"hr-root-emp-mgt-probation-period";"Employee Manager"
"hr-root-configuration-health-mutual";"Employee Manager"
"hr-root-configuration-health-mutual-rejection-reason";"Employee Manager"
"admin-root-batch-hr";"Employee Manager"
"hr-report-root";"Employee Manager|Employee User|Employee Read"
"menu-hr-manager-dashboard";"Employee Manager|Employee User|Employee Read"
"menu-hr-user-dashboard";"Employee Manager|Employee User|Employee Read"
"top-menu-hr";"Employee Manager|Employee User|Employee Read"
"hr-root";"Timesheet Manager|Timesheet User|Timesheet Read"
"timesheet-root";"Timesheet Manager|Timesheet User|Timesheet Read"
"edit-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"all-my-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"validate-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"historic-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"time-sheet-timer";"Timesheet Manager|Timesheet User|Timesheet Read"
"time-sheet-report";"Timesheet Manager|Timesheet User|Timesheet Read"
"time-sheet-reminder";"Timesheet Manager|Timesheet User|Timesheet Read"
"all-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"top-menu-hr-my-timesheet";"Timesheet Manager|Timesheet User|Timesheet Read"
"project-spent-time";"Timesheet Manager|Timesheet User|Timesheet Read"
"hr-root";"Expense Manager|Expense User|Expense Read"
"expense-root";"Expense Manager|Expense User|Expense Read"
"edit-expense";"Expense Manager|Expense User|Expense Read"
"all-expense";"Expense Manager|Expense User|Expense Read"
"validate-expense";"Expense Manager|Expense User|Expense Read"
"ventilate-expense";"Expense Manager|Expense User|Expense Read"
"multiple-users-expense";"Expense Manager|Expense User|Expense Read"
"historic-expense";"Expense Manager|Expense User|Expense Read"
"expense-root-conf";"Expense Manager"
"conf-expense-type";"Expense Manager"
"kilometric-allow-param-all";"Employee Manager"
"top-menu-hr-my-expense";"Expense Manager|Expense User|Expense Read"
"hr-root";"Leave Manager|Leave User|Leave Read"
"leave-request-root";"Leave Manager|Leave User|Leave Read"
"edit-leave-request";"Leave Manager|Leave User|Leave Read"
"all-leave-request";"Leave Manager|Leave User|Leave Read"
"validate-leave-request";"Leave Manager|Leave User|Leave Read"
"historic-leave-request";"Leave Manager|Leave User|Leave Read"
"leave-request-root-leave-calendar";"Leave Manager|Leave User|Leave Read"
"leave-request-to-justify";"Leave Manager|Leave User|Leave Read"
"leave-request-conf";"Leave Manager"
"leave-reason-all";"Leave Manager"
"leave-line-all-employee";"Leave Manager"
"top-menu-hr-my-leave-request";"Leave Manager|Leave User|Leave Read"
"hr-root";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"extra-hours-root";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"edit-extra-hours";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"all-extra-hours";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"validate-extra-hours";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"historic-extra-hours";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"extra-hours-type";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
"top-menu-hr-my-extra-hours";"Extra Hours Manager|Extra Hours User|Extra Hours Read"
