"importId";"leaveReason.leaveReason";"employee.importId";"quantity";"daysToValidate";"daysValidated";"totalQuantity"
1;"Leave";1;12;0;0;12
2;"Leave";2;52;0;0;52
3;"Leave";3;45;0;0;45
4;"Leave";4;5;0;0;5
5;"Leave";5;4;0;0;4
6;"Leave";6;23;0;0;23
7;"Leave";7;75;0;0;75
8;"Leave";8;11;0;0;11
9;"Leave";9;14;0;0;14
10;"Leave";10;10;0;0;10
11;"Leave";11;1;0;0;1
12;"Leave";12;31;0;0;31
13;"Leave";13;27;0;0;27
14;"Leave";14;16;0;0;16
15;"Leave";15;21;0;0;21
16;"Leave";16;9;0;0;9
17;"Leave";17;13;0;0;13
18;"Leave";18;8;0;0;8
