"key","message","comment","context"
"%d expense treated successfully,","%d Aufwand erfolgreich behandelt,",,
"%d expenses treated successfully,","%d Ausgaben erfolgreich behandelt,",,
"+33000000000",,,
"+33100000000",,,
"+33600000000",,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"Account information","Kontoinformationen",,
"Accounting","Buchhaltung",,
"Acquired","Erworben",,
"Action","Aktion",,
"Actions","Aktionen",,
"Active","Aktiv",,
"Activity","Aktivität",,
"Add a line","Eine Zeile hinzufügen",,
"Add an advance","Einen Vorschuss hinzufügen",,
"Add lines","Zeilen hinzufügen",,
"Advance","Fortschritt",,
"Advance management","Vorabmanagement",,
"Afternoon","Nachmittag",,
"All my Expenses","Alle meine Ausgaben",,
"All my Leave Requests","Alle meine Abwesenheitsanträge",,
"All my Timesheets","Alle meine Stundenzettel",,
"All my extra hours","Alle meine Überstunden",,
"All timesheets","Alle Stundenzettel",,
"Allow Injection","Einspritzung zulassen",,
"Allow expense creation","Spesenerstellung zulassen",,
"Allow negative value for leaves",,,
"Allow negative values for employee leaves","Negative Werte für Mitarbeiterurlaub erlauben",,
"Also export already exported payroll preparations","Exportieren Sie auch bereits exportierte Lohnvorbereitungen.",,
"Amendment","Änderung",,
"Amendment Date","Änderungsdatum",,
"Amendment type","Änderungsart",,
"Amount","Betrag",,
"Analytic distribution","Analytische Verteilung",,
"Analytic distribution lines","Analytische Verteilungsleitungen",,
"Analytic distribution template","Analytische Verteilungsvorlage",,
"Annual expenses report","Jährlicher Kostenbericht",,
"Annual gross salary","Jährliches Bruttogehalt",,
"Annual report","Jahresbericht",,
"Anomaly","Anomalie",,
"App Expense","App Kosten",,
"App Leave","App Urlaub",,
"App Timesheet","App Stundenzettel",,
"Application condition","Anwendungsbedingung",,
"Are you sure wants to remove selected lines?","Sind Sie sicher, dass Sie ausgewählte Zeilen entfernen möchten?",,
"Arriving city","Ankunftsstadt",,
"Attach to",,,
"Automatic generation dates must be included in the timesheet period",,,
"Available Stock of Lunch Vouchers","Verfügbarer Bestand an Essensgutscheinen",,
"Available quantity (acquired)","Verfügbare Menge (erworben)",,
"Available quantity (before validation)","Verfügbare Menge (vor der Validierung)",,
"Bank","Bank",,
"Bank Order","Banküberweisung",,
"Base amount per employee","Basisbetrag pro Mitarbeiter",,
"Basic information",,,
"Batches","Chargen",,
"Batchs","Chargen",,
"Birth date","Geburtsdatum",,
"Block expense tax modification","Sperren der Änderung der Aufwandssteuer",,
"Bonus coefficient",,,
"Bonus type","Bonustyp",,
"Bonuses","Boni",,
"CDD",,,
"COMPLEMENT",,,
