"key","message","comment","context"
"Activity",,,"resources/domains/TimesheetLine.xml:12"
"Afternoon",,,"resources/views/Selects.xml:30"
"Canceled",,,"resources/views/Selects.xml:11
resources/views/Selects.xml:19"
"Comment",,,"resources/domains/TimesheetLine.xml:16"
"Comments",,,"resources/domains/ExpenseLine.xml:17
resources/domains/Leave.xml:19"
"Confirmed",,,"resources/views/Selects.xml:16"
"Contact",,,"resources/domains/Employee.xml:10
resources/views/Employee.xml:13"
"Daily work hours",,,"resources/domains/Employee.xml:14"
"Date",,,"resources/domains/TimesheetLine.xml:13"
"Date from",,,"resources/domains/Leave.xml:13"
"Date to (Included)",,,"resources/domains/Leave.xml:15"
"Days",,,"resources/views/Selects.xml:23"
"Department",,,"resources/domains/Employee.xml:16"
"Departments",,,"resources/views/Menu.xml:54
resources/views/Menu.xml:56"
"Draft",,,"resources/views/Selects.xml:15
resources/views/Selects.xml:7"
"Duration",,,"resources/domains/Leave.xml:17
resources/domains/TimesheetLine.xml:14
resources/domains/TimesheetLine.xml:15"
"Employee",,,"resources/domains/Leave.xml:10
resources/domains/User.xml:10
resources/views/Employee.xml:12
resources/views/Employee.xml:37
resources/views/Employee.xml:5
resources/views/Menu.xml:27
resources/views/Menu.xml:29"
"End On",,,"resources/domains/Leave.xml:16"
"Expense",,,"resources/domains/Product.xml:8
resources/views/Expense.xml:13"
"Expense Type",,,"resources/domains/ExpenseLine.xml:12"
"Expense date",,,"resources/domains/ExpenseLine.xml:13"
"Expense line",,,"resources/views/ExpenseLine.xml:13"
"Expense lines",,,"resources/domains/Expense.xml:14
resources/views/ExpenseLine.xml:5"
"Expenses",,,"resources/views/Expense.xml:5
resources/views/Menu.xml:11
resources/views/Menu.xml:9"
"External",,,"resources/domains/Employee.xml:18"
"Get time from Tasks",,,"resources/views/Timesheet.xml:17"
"Hourly price",,,"resources/domains/TimeActivity.xml:11"
"Hourly rate",,,"resources/domains/Employee.xml:11"
"Hours",,,"resources/views/Selects.xml:24
resources/views/TimesheetLine.xml:23"
"Human resources",,,"resources/views/Menu.xml:5"
"Leave",,,"resources/views/Leave.xml:16
resources/views/Leave.xml:5"
"Leave reason",,,"resources/domains/LeaveReason.xml:10
resources/views/LeaveReason.xml:5
resources/views/LeaveReason.xml:9
resources/views/Menu.xml:45
resources/views/Menu.xml:47"
"Leaves",,,"resources/views/Menu.xml:36
resources/views/Menu.xml:38"
"Log time",,,"resources/domains/Timesheet.xml:13
resources/views/TimesheetLine.xml:17
resources/views/TimesheetLine.xml:5"
"Manager",,,"resources/domains/Employee.xml:15"
"Minutes",,,"resources/views/Selects.xml:25"
"Morning",,,"resources/views/Selects.xml:29"
"Name",,,"resources/domains/Employee.xml:20
resources/domains/TimeActivity.xml:10"
"Period",,,"resources/domains/Expense.xml:11"
"Project",,,"resources/domains/ExpenseLine.xml:11
resources/domains/TimesheetLine.xml:11"
"Reason",,,"resources/domains/Leave.xml:18"
"Refused",,,"resources/views/Selects.xml:10
resources/views/Selects.xml:18"
"Request date",,,"resources/domains/Leave.xml:12"
"Send Expenses",,,"resources/views/Expense.xml:19"
"Sent Date",,,"resources/domains/Expense.xml:10
resources/domains/Timesheet.xml:10"
"Start On",,,"resources/domains/Leave.xml:14"
"Status",,,"resources/domains/Expense.xml:12
resources/domains/Leave.xml:11
resources/domains/Timesheet.xml:11"
"Time Activity",,,"resources/views/TimeActivity.xml:10
resources/views/TimeActivity.xml:5"
"Time logging preference",,,"resources/domains/Employee.xml:12"
"Timesheet",,,"resources/views/Timesheet.xml:12
resources/views/Timesheet.xml:5"
"Timesheet reminder",,,"resources/domains/Employee.xml:17"
"Timesheets",,,"resources/views/Menu.xml:18
resources/views/Menu.xml:20"
"Total amount with tax",,,"resources/domains/ExpenseLine.xml:16"
"Total tax",,,"resources/domains/ExpenseLine.xml:15"
"Untaxed amount",,,"resources/domains/ExpenseLine.xml:14"
"User",,,"resources/domains/Expense.xml:13
resources/domains/ExpenseLine.xml:10
resources/domains/Timesheet.xml:12
resources/domains/TimesheetLine.xml:10"
"Validated",,,"resources/views/Selects.xml:17
resources/views/Selects.xml:9"
"Waiting validation",,,"resources/views/Selects.xml:8"
"Weekly work hours",,,"resources/domains/Employee.xml:13"
