"key","message","comment","context"
"%d expense treated successfully,","%d gasto tratado con éxito,",,
"%d expenses treated successfully,","%d gastos tratados con éxito,",,
"+33000000000",,,
"+33100000000",,,
"+33600000000",,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />","<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"Account information","Información de la cuenta",,
"Accounting","Contabilidad",,
"Acquired","Adquirido",,
"Action","Acción",,
"Actions","Acciones",,
"Active","Activo",,
"Activity","Actividad",,
"Add a line","Añadir una línea",,
"Add an advance","Añadir un anticipo",,
"Add lines","Añadir líneas",,
"Advance","Avanzar",,
"Advance management","Gestión por adelantado",,
"Afternoon","Tarde",,
"All my Expenses","Todos mis gastos",,
"All my Leave Requests","Todas mis solicitudes de licencia",,
"All my Timesheets","Todas mis hojas de horas",,
"All my extra hours","Todas mis horas extras",,
"All timesheets","Todas las hojas de horas",,
"Allow Injection","Permitir inyección",,
"Allow Negative Value for Leaves","Permitir un valor negativo para las hojas",,
"Allow Negative Value for leaves","Permitir Valor Negativo para las hojas",,
"Allow expense creation","Permitir la creación de gastos",,
"Allow negative values for employee leaves","Permitir valores negativos para las vacaciones de los empleados",,
"Also export already exported payroll preparations","También exportar las preparaciones de nómina ya exportadas",,
"Amendment","Enmienda",,
"Amendment Date","Fecha de modificación",,
"Amendment type","Tipo de enmienda",,
"Amount","Importe",,
