"key","message","comment","context"
"%d expense treated successfully,","%d note de frais traitée avec succès.",,
"%d expenses treated successfully,","%d notes de frais traitées avec succès.",,
"+33000000000",,,
"+33100000000",,,
"+33600000000",,,
"6 days week","6 jours par semaine",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","Une demande de congés est déjà acceptée sur cette période ou une partie de celle-ci. Merci d'annuler la précédente pour accepter cette demande.",,
"ADD A LINE","Ajouter la ligne",,
"Account information","Informations comptable",,
"Accounting","Comptabilité",,
"Acquired","Acquis",,
"Action",,,
"Actions",,,
"Active","Actif",,
"Active employee","Employé actif",,
"Active employees","Employés actifs",,
"Activity","Activité",,
"Add a line","Ajouter une ligne",,
"Add an advance","Ajouter une avance",,
"Add lines","Ajouter lignes",,
"Advance","Avance",,
"Advance management","Gestion des avances",,
"Afternoon","L'après-midi",,
"Alert if the manuf. order is finish","Alerter quand l'OF sélectionné est terminé",,
"All","Tous",,
"All companies",,,
"All my Expenses","Toutes mes notes de frais",,
"All my Leave Requests","Toutes mes demandes de congés",,
"All my Timesheets","Toutes mes feuilles de temps",,
"All my extra hours","Toutes mes heures sup.",,
"All timesheets","Toutes les feuilles de temps",,
"Allow Injection","Autoriser Injection",,
"Allow expense creation","Autoriser la saisie des frais",,
"Allow negative value for leaves","Autoriser valeurs négatives pour congés",,
"Allow negative values for employee leaves","Autoriser valeurs négatives pour Congés employés",,
"Also export already exported payroll preparations","Exporter également les préparations de paie déjà exportées",,
"Amendment","Avenant",,
"Amendment Date","Date d'avenant",,
"Amendment type","Type d'avenant",,
"Amendment types","Type d'avenants",,
"Amount","Montant",,
"Analytic distribution","Répartition analytique",,
"Analytic distribution lines","Ligne de répartition analytique",,
"Analytic distribution template","Modèle de répartition analytique",,
"Annual expenses report","Rapport annuel des frais",,
"Annual gross salary","Salaire brut annuel",,
"Annual report","Rapport annuel",,
"Anomaly","Anomalie",,
"App",,,
"App Expense","Note de frais",,
"App Leave","Demandes de congés",,
"App Timesheet","Feuilles de temps",,
"App employee",,,
"App expense",,,
"App exthrs",,,
"App leave",,,
"App timesheet",,,
"Application condition","Condition d'application",,
"Are you sure wants to remove selected lines?","Etes-vous sur de vouloir retirer les lignes sélectionnées?",,
"Arriving city","Ville d'arrivée",,
"Attach to","Attacher à",,
"Automatic generation dates must be included in the timesheet period","Les dates de la génération automatique doivent être comprises dans la période de la feuille de temps",,
"Available Stock of Lunch Vouchers","Stock de Tickets Restaurant disponible",,
"Available quantity (acquired)","Quantité disponible (acquise)",,
"Available quantity (before validation)","Quantité disponible (avant validation)",,
"Bank","Banque",,
"Bank Order","Ordre bancaire",,
"Base amount per employee","Base de la prime par employé",,
"Basic information","Informations de base",,
