"key","message","comment","context"
"%d expense treated successfully,","%d расходы обработаны успешно.",,
"%d expenses treated successfully,","% и расходы обработаны успешно.",,
"+33000000000",,,
"+33100000000",,,
"+33600000000",,,
"6 days week",,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"Account information","Информация об учетной записи",,
"Accounting","Бухгалтерский учет",,
"Acquired","Приобретенный",,
"Action","Действие",,
"Actions","Действия",,
"Active","Активный",,
"Activity","Деятельность",,
"Add a line","Добавить строку",,
"Add an advance","Добавить аванс",,
"Add lines","Добавить строки",,
"Advance","Продвижение",,
"Advance management","Предварительное управление",,
"Afternoon","Добрый день",,
"Alert if the manuf. order is finish",,,
"All",,,
"All employees's leave lines",,,
"All my Expenses","Все мои расходы",,
"All my Leave Requests","Все мои запросы на отпуск",,
"All my Timesheets","Все мои табели учета рабочего времени",,
"All my extra hours","Все мои дополнительные часы",,
"All timesheets","Все табели учета рабочего времени",,
"Allow Injection","Разрешить впрыск",,
"Allow expense creation","Разрешить создание расходов",,
"Allow negative value for leaves",,,
"Allow negative values for employee leaves","Допускать отрицательные значения для отпусков сотрудников",,
"Also export already exported payroll preparations","Также экспортируются уже экспортированные зарплатные препараты",,
"Amendment","Поправка",,
"Amendment Date","Дата изменения",,
"Amendment type","Тип поправки",,
"Amount","Сумма",,
"Analytic distribution","Аналитическое распределение",,
"Analytic distribution lines","Аналитические распределительные линии",,
"Analytic distribution template","Шаблон аналитического распределения",,
"Annual expenses report","Годовой отчет о расходах",,
"Annual gross salary","Годовая брутто-зарплата",,
"Annual report","Годовой отчет",,
"Anomaly","Аномалия",,
"App Expense","Приложения Расходы",,
"App Leave","App Leave",,
"App Timesheet","Приложение Табель рабочего времени",,
"Application condition","Условие применения",,
"Are you sure wants to remove selected lines?","Вы уверены, что хотите удалить выделенные линии?",,
"Arriving city","Прибывающий город",,
"Attach to",,,
"Automatic generation dates must be included in the timesheet period",,,
"Available Stock of Lunch Vouchers","Доступный запас ваучеров на обед",,
"Available quantity (acquired)","Доступное количество (приобретенное)",,
"Available quantity (before validation)",,,
"Bank","Банк",,
"Bank Order","Банковское поручение",,
"Base amount per employee","Базовая сумма на одного работника",,
"Basic information",,,
"Batches","Пакеты",,
"Batchs","Пакеты",,
"Birth date","Дата рождения",,
"Block expense tax modification","Блокировка изменения налога на прибыль",,
"Bonus coefficient",,,
