"name";"roles"
"expense-root";"Expense Manager|Expense User|Expense Reade"
"edit-expense";"Expense Manager|Expense User|Expense Reade"
"all-expense";"Expense Manager|Expense User|Expense Reade"
"validate-expense";"Expense Manager|Expense User|Expense Reade"
"ventilate-expense";"Expense Manager|Expense User|Expense Reade"
"multiple-users-expense";"Expense Manager|Expense User|Expense Reade"
"historic-expense";"Expense Manager|Expense User|Expense Reade"
"expense-root-conf";"Expense Manager"
"conf-expense-type";"Expense Manager"
"kilometric-allow-param-all";"Employee Manager"
"top-menu-hr-my-expense";"Expense Manager|Expense User|Expense Reade"
