"key","message","comment","context"
"Action",,,
"Actions",,,
"All reached","Si toutes les conditions sont atteintes",,
"Allocate all",,,
"Alternative Bill of materials",,,
"App",,,
"App maintenance",,,
"Assigned to","Assigné à",,
"BOM.machine",,,
"Bill of materials",,,
"Bills of material",,,
"Bills of materials","Nomenclatures",,
"Cancel",,,
"Cancel Reason",,,
"Cancel reservation",,,
"Canceled",,,
"Complete",,,
"Completed","Terminée",,
"Compute cost price",,,
"Configuration",,,
"Consumed products",,,
"Corrective",,,
"Cost",,,
"Create maintenance request","Créer demande de maintenance",,
"Current requests","Demandes à réaliser",,
"Cycles","Cycles",,
"Dates",,,
"Days","Jours",,
"Deallocate all",,,
"Default Bill of materials",,,
"Done on","Réalisé le ",,
"Duration (Hours)","Durée (Heures)",,
"End date",,,
"Equipement maintenance","Maintenance equipement",,
"Equipement maintenances","Maintenances équipement",,
"Event end date",,,
"Event start date",,,
"Expected date","Echéance",,
"Finish",,,
"First reached","Si la première condition atteinte",,
"General BoM",,,
"Generate new version",,,
"Generate request each","Générer demande chaque",,
"Hours of production","Heures de production",,
"In progress","En cours",,
"MO's comment from sale order",,,
"MO's comment from sale order line",,,
"Machine",,,
"Machine type","Type de machine",,
"Machines",,,
"Machines unavailable","Indisponibilité des machines",,
"Maintenance","Maintenance",,
"Maintenance Category","Catégorie de maintenance",,
"Maintenance File","Fichier maintenance",,
"Maintenance Procedure","Procedure de maintenance",,
"Maintenance Request","Demande de maintenance",,
"Maintenance Requests","Demande de maintenance",,
"Maintenance comments","Commentaires maintenance",,
"Maintenance order","Ordre de maintenance",,
"Maintenance orders","Ordres de maintenance",,
"Maintenance periods","Périodes de maintenance",,
"Maintenance task","Maintenance à réaliser",,
"ManufOrder.machine","Machine",,
"ManufOrder.machineType","Machine Type",,
"Manufacturing Order","Ordre de Fabrication",,
"Merged MO",,,
"Missing equipement maintenance sequence.","Une séquence pour la maintenance de l'équipement est manquante.",,
"My Maintenance requests","Mes demandes de maintenance",,
"Name",,,
"Next maintenance date","Prochaine date de maintenance",,
"Note",,,
"Number of phases",,,
"Options",,,
"Outsourced",,,
"Partial Finish",,,
"Pause",,,
"Permanent",,,
"Phases",,,
"Plan",,,
"Planned dates",,,
"Pre-fill operations",,,
"Preventive","Préventive",,
"Print",,,
"Print Production Process",,,
"ProdProcess.machine",,,
"Product",,,
"Production process",,,
"Production processes","Gammes",,
"Real dates",,,
"Replan","Replanifier",,
"Reports",,,
"Request By","Demandé par",,
"Request date","Date de la demande",,
"Request history","Historique des actions",,
"Reserve all",,,
"Residual products",,,
"Resume",,,
"Sequence",,,
"Start","Débuter",,
"Start date",,,
"State",,,
"Total Planned Duration",,,
"Total Real Duration",,,
"Type",,,
"Update planned quantities (Components and FP)",,,
"Update product cost price",,,
"Update real quantities (Components and FP)",,,
"Version management",,,
"equipement.maintenance.code","Référence",,
"equipement.maintenance.image","Image",,
"equipement.maintenance.name","Description",,
"maintenance.request.planned","Prévue",,
