"key","message","comment","context"
"%d messages has been regenerated successfully and %d errors append.","%d messages regénérés avec succès et %d erreurs.",,
"Add Signature","Ajouter une signature",,
"Address","Adresse email",,
"Address Block","Bloc d'adresse",,
"All messages","Tous les messages",,
"Bcc","Cci",,
"Cannot regenerate message without related model.","Vous ne pouvez pas regénérer un message qui n'a pas d'objet en relation.",,
"Cannot regenerate message without template associated to message.","Vous ne pouvez pas regénérer un message sans modèle associé.",,
"Cc","Cc",,
"Chat","Messagerie interne",,
"Check Duplicate","Vérifier doublons",,
"Code","Code",,
"Configurations","Configurations",,
"Connection successful","Connexion réussie",,
"Content","Contenu",,
"Context","Contexte",,
"Create message","Créer message",,
"Default","Par défaut",,
"Default account","Compte par défaut",,
"Delete","Supprimer",,
"Deleted","Supprimée",,
"Draft","Brouillon",,
"Email","Email",,
"Email Accounts","Comptes SMTP",,
"Email address","Adresse Email",,
"Email addresses","Adresses email",,
"Email sending is in progress","Envoi d'email en cours",,
"Email sending is in progress for %d messages.","L’envoi d’email est en cours pour les %d messages.",,
"Emails","Emails",,
"Error when sending email: %s","Erreur lors de l'envoi d'email : %s",,
"Expr. value","Valeur Expr.",,
"Fetch emails","Récupérer les emails",,
"Forecasted Sent Date","Date prévue d'envoi",,
"From","De",,
"From email address","Adresse email utilisée pour l'envoi",,
"From email name","Nom utilisé pour l'envoi",,
"Generate message","Générer message",,
"Groovy Template","Modèle groovy",,
"Group","Groupe",,
"Host","Hôte",,
"IMAP",,,
"If you leave this field empty or fill it with an incorrect formula, the default email account's signature will be used.\nExamples of a correct formulas:\n$__user__.emailSignature$\n$first(__user__.emailAccountList).signature$","Si vous laissez ce champ vide ou le remplissez avec une formule incorrecte, la signature du compte email par défaut sera utilisée.\nExemples de formules correctes :\n$__user__.emailSignature$\n$first(__user__.emailAccountList).signature$",,
"In progress","En cours",,
"Incorrect login or password","Identifiant ou mot de passe incorrect",,
"Information",,,
"Json",,,
"Language","Langue",,
"Login","Identifiant",,
"Mail","Courrier",,
"Mail account","Compte email",,
"Mail accounts","Comptes email",,
"Media Type","Type de média",,
"Message","Message",,
"Message destinated to","Message destiné à",,
"Messages",,,
"Messages not sent","Messages non envoyés",,
"Model","Objet métier",,
"Model empty. Please configure a model.","Modèle vide. Merci de configurer un modèle.",,
"NONE","Aucun",,
"Name","Intitulé",,
"No Mail content entered.","Courrier sans contenu.",,
"Not sent","Non envoyé",,
"POP",,,
"Password","Mot de passe",,
"Please configure a template","Veuillez configurer un modèle",,
"Please select one or more messages.","Veuillez séléctionner un ou plusieurs messages.",,
"Please set the email template to send","Veuillez configurer le modèle d'email à envoyer.",,
"Port","Port",,
"Print","Imprimer",,
"Provided settings are wrong, please modify them and try again","Les paramètres fournis sont incorrects, veuillez les modifier et essayer à nouveau.",,
"Received","Reçu",,
"Recipient","Destinataire",,
"Recipient address","Adresse destinataire",,
"Recipients","Destinataires",,
"Record Id","Id Enregistrement",,
"Record Name","Nom Enregistrement",,
"Regenerate messages","Regénérer les messages",,
"Related to","Associé à ",,
"Related to1 select","Lié à (1) sélection",,
"Related to2 select","Lié à (2) sélection",,
"Reply to","Répondre à",,
"Resend messages","Renvoyer les messages",,
"Routings","Routage",,
"SMTP","SMTP",,
"SSL","SSL",,
"SSL/STARTTLS",,,
"STARTTLS",,,
"Select template","Sélectionner un modèle",,
"Send","Envoyer",,
"Sender (User)","Expéditeur (Utilisateur)",,
"Sender's email address is null or empty","L’adresse email du destinataire est non-renseignée ou vide.",,
"Sent","Envoyé",,
"Sent by email","Envoyé par email",,
"Sent date","Date d'envoi",,
"Server Type","Type serveur",,
"Signature","Signature",,
"Status","Statut",,
"String Template",,,
"Subject","Sujet/Objet",,
"Successful send","Envoyé avec succès",,
"System","Système",,
"TO/CC/BCC recipient's email address is empty","Les adresses email TO/CC/BCC sont vides.",,
"Target receptor","Destinataire cible",,
"Template","Modèle",,
"Template Context","Contexte du modèle",,
"Template Rules","Règles des modèles",,
"Template engine","Moteur de template",,
"Templates","Modèles",,
"Test connection","Tester connexion",,
"The email template model (%s) is different than the entity generating the email (%s)","Le modèle du modèle d'email (%s) est différent du modèle générant l'email (%s)",,
"There is already a default account","Il existe déjà une compte email par défaut.",,
"There is no default email account",,,
"To","À",,
"Type","Type",,
"Unable to reach server. Please check Host,Port and SSL/TLS","Impossible de contacter le serveur. Merci de vérifier l'hôte, le port et le SSL/TLS",,
"User","Utilisateur",,
"Valid","Valide",,
"Validate","Valider",,
"Waiting model: %s","En attente du modèle : %s",,
"Your target receptor is not valid. Please check it.","Votre récepteur cible n’est pas valide. Veuillez le vérifier.",,
"user@mydomain.com",,,
