"key","message","comment","context"
"App Mobile","App Mobiel",,
"Apps permissions","Toestemmingen voor apps",,
"CRM","CRM",,
"Contacts","Contacten",,
"Customers","Klanten",,
"Expense","Uitgaven",,
"Expenses","Uitgaven",,
"Leads","Leads",,
"Leave","Verlof",,
"Leaves","Bladeren",,
"Mobile apps","Mobiele apps",,
"Offline record limit","Offline record limiet",,
"Products","Producten",,
"Projects","Projecten",,
"Sale","Verkoop",,
"Sales","Verkoop",,
"Timesheet","Timesheet",,
"Timesheets","Timesheets",,
"User","Gebruiker",,
