"key","message","comment","context"
"App",,,
"App Mobile","Aplikacja Mobilna",,
"App mobile",,,
"CRM","CRM",,
"Contacts","Kontakty",,
"Customers","Klienci",,
"Expense","Wydatki",,
"Expenses","Wydatki",,
"Inventories statuses to be taken into account",,,
"Leads","Ołowiane",,
"Leave","Urlop",,
"Leaves","Liście",,
"Mobile app permissions",,,
"Mobile apps","Aplikacje mobilne",,
"Offline record limit","Limit rekordu w trybie offline",,
"Production",,,
"Products","Produkty",,
"Projects","Projekty",,
"Quality",,,
"Sale","Sprzedaż",,
"Sales","Sprzedaż",,
"Statuses to take into account",,,
"Stock",,,
"Task",,,
"Timesheet","Arkusz czasu",,
"Timesheets","Arkusze czasu",,
