"key","message","comment","context"
"App Mobile","App Mobile",,
"Apps permissions","Permissões de aplicativos",,
"CRM","CRM",,
"Contacts","Contactos",,
"Customers","Clientes",,
"Expense","Despesas",,
"Expenses","Despesas",,
"Leads","Leads",,
"Leave","Deixar",,
"Leaves","Folhas",,
"Mobile apps","Aplicativos móveis",,
"Offline record limit","Limite de registro off-line",,
"Products","Produtos",,
"Projects","Projetos",,
"Sale","Venda",,
"Sales","Vendas",,
"Timesheet","Folha de horas de trabalho",,
"Timesheets","Folhas de horas de trabalho",,
"User","Usuário",,
