"key","message","comment","context"
"Assign to me",,,
"Assign to partner","Attribuer au partenaire",,
"Assigned partner","Partenaire assigné",,
"Check duplicate",,,
"Comments","commentaires",,
"Current leads","Pistes en cours",,
"Dashboard","Dashboard",,
"Discussion","Discussion",,
"Import leads",,,
"Lead","Piste",,
"Lead unread ids",,,
"Leads","Pistes",,
"Name","Nom",,
"New leads","Nouvelles pistes",,
"Partner","Partenaire",,
"Print",,,
"Reports",,,
"Schedule Event",,,
"Send Email",,,
"Take charge",,,
"Tools",,,
