"importId";"product.importId";"name";"qty";"defineSubBillOfMaterial";"unit.importId";"prodProcess.importId";"costPrice";"company.importId";"hasNoManageStock";"statusSelect"
1;110;"Basic Server";1;"true";1;1;;1;"false";3
2;200;"Hard Disk SATA 1To";2;"false";1;;;1;"false";3
3;210;"Processor 4x3,4 GHz";1;"false";1;;;1;"false";3
4;220;"Rack Casing";1;"false";1;;;1;"false";3
5;230;"Memory 8 Go DDR3";4;"false";1;;;1;"false";3
6;240;"Classic MotherBoard";1;"false";1;;;1;"false";3
7;250;"Power Supply";1;"false";1;;;1;"false";3
8;300;"Cables set";1;"false";1;;;1;"false";3
9;301;"Screws set";1;"false";1;;;1;"false";3
20;110;"Basic Server (option)";1;"true";1;1;;1;"false";3
21;200;"Hard Disk SATA 1To";2;"false";1;;;1;"false";3
22;210;"Processor 4x3,4 GHz";1;"false";1;;;1;"false";3
23;220;"Rack Casing";1;"false";1;;;1;"false";3
24;231;"Memory 16 Go DDR3";2;"false";1;;;1;"false";3
25;240;"Classic MotherBoard";1;"false";1;;;1;"false";3
26;250;"Power Supply";1;"false";1;;;1;"false";3
27;300;"Cables set";1;"false";1;;;1;"false";3
28;301;"Screws set";1;"false";1;;;1;"false";3
40;111;"High Performance Server";1;"true";1;2;;1;"false";3
41;201;"Hard Disk SSD 100 Go";3;"false";1;;;1;"false";3
42;211;"Processor 6x3,2 GHz";1;"false";1;;;1;"false";3
43;220;"Rack Casing";1;"false";1;;;1;"false";3
44;231;"Memory 16 Go DDR3";4;"false";1;;;1;"false";3
45;241;"High Performance MotherBoard";1;"false";1;;;1;"false";3
46;250;"Power Supply";1;"false";1;;;1;"false";3
47;300;"Cables set";1;"false";1;;;1;"false";3
48;301;"Screws set";1;"false";1;;;1;"false";3
60;100;"Basic Pack";1;"true";1;3;;1;"false";3
62;130;"LED Screen HD 22 inch";1;"false";1;;;1;"false";3
63;120;"InkJet Printer";1;"false";1;;;1;"false";3
64;304;"Paper ream 500 Sheets A4 Standard 80 g";2;"false";1;;;1;"false";3
80;101;"Performance Pack";1;"true";1;4;;1;"false";3
81;131;"LED Screen HD 24 inch";1;"false";1;;;1;"false";3
82;121;"Laser Printer";1;"false";1;;;1;"false";3
83;304;"Paper ream 500 Sheets A4 Standard 80 g";3;"false";1;;;1;"false";3
84;111;"High Performance Server (option)";1;"true";1;2;;1;"false";3
85;201;"Hard Disk SSD 100 Go";3;"false";1;;;1;"false";3
86;211;"Processor 6x3,2 GHz";1;"false";1;;;1;"false";3
87;220;"Rack Casing";1;"false";1;;;1;"false";3
88;231;"Memory 16 Go DDR3";4;"false";1;;;1;"false";3
89;241;"High Performance MotherBoard";1;"false";1;;;1;"false";3
90;250;"Power Supply";1;"false";1;;;1;"false";3
91;300;"Cables set";1;"false";1;;;1;"false";3
92;301;"Screws set";1;"false";1;;;1;"false";3
