"key","message","comment","context"
"Add Manu. Order",,,"resources/views/ProductionOrder.xml:22"
"Add Manuf. Order",,,"resources/views/ProductionOrder.xml:20
resources/views/ProductionOrder.xml:26"
"All Current Manufacturing Orders",,,"resources/views/ManufacturingDashboard.xml:27"
"All Manufacturing Order Plannings",,,"resources/views/ManufacturingDashboard.xml:35"
"All Upcoming Manufacturing Orders",,,"resources/views/ManufacturingDashboard.xml:19"
"BOM",,,"resources/views/ProductionOrder.xml:24
resources/views/ProductionOrderWizard.xml:14"
"BOM tree",,,"resources/views/BillOfMaterial.xml:30"
"BOMs",,,"resources/domains/BillOfMaterial.xml:18"
"Bill of material",,,"resources/views/BillOfMaterial.xml:16
resources/views/BillOfMaterial.xml:27
resources/views/BillOfMaterial.xml:54
resources/views/BillOfMaterial.xml:65"
"Bills of material",,,"resources/views/BillOfMaterial.xml:101
resources/views/BillOfMaterial.xml:41
resources/views/BillOfMaterial.xml:6
resources/views/BillOfMaterial.xml:70
resources/views/BillOfMaterial.xml:77"
"Bills of materials",,,"resources/views/Menu.xml:12
resources/views/Menu.xml:15"
"BoM",,,"resources/domains/ManufOrder.xml:39
resources/domains/ProdRemains.xml:12
resources/domains/SaleOrderLine.xml:10"
"Business",,,"resources/views/Business.xml:6"
"Cancel",,,"resources/views/ManufOrder.xml:24
resources/views/ManufOrder.xml:47
resources/views/ManufOrder.xml:59
resources/views/OperationOrder.xml:36
resources/views/OperationOrder.xml:54
resources/views/OperationOrder.xml:64"
"Canceled",,,"resources/views/Selects.xml:11"
"Cancelled MOs",,,"resources/views/ManufOrder.xml:223"
"Cancelled Operations",,,"resources/views/OperationOrder.xml:187"
"Capacity / cycle",,,"resources/domains/ProdResource.xml:16"
"Capacity information",,,"resources/views/ProdResource.xml:22
resources/views/ProdResource.xml:55"
"Charge by machine",,,"resources/views/ChargeByMachineDashboard.xml:6
resources/views/Menu.xml:83
resources/views/Menu.xml:86"
"Charge previsionnelle par machine",,,"resources/views/Charts.xml:457"
"Charge réelle par machine",,,"resources/views/Charts.xml:7"
"Code",,,"resources/domains/ProdProcess.xml:14
resources/domains/ProdResource.xml:13"
"Company",,,"resources/domains/BillOfMaterial.xml:23
resources/domains/ManufOrder.xml:21
resources/domains/ProductionConfig.xml:11"
"Compliance",,,"resources/domains/ManufOrderSheetLine.xml:13"
"Compute cost price",,,"resources/views/BillOfMaterial.xml:33"
"Configurations",,,"resources/views/Menu.xml:92"
"Conforme",,,"resources/views/ManufOrderSheet.xml:44"
"Conformité",,,"resources/views/ManufOrderSheet.xml:18"
"Conformités",,,"resources/domains/OperationOrder.xml:63"
