"key","message","comment","context"
"Actions",,,"resources/views/ManufOrder.xml:113
resources/views/OperationOrder.xml:97"
"Add Manuf. Order","Ordre de fabrication",,"resources/views/ProductionOrder.xml:18
resources/views/ProductionOrder.xml:20
resources/views/ProductionOrder.xml:24"
"All Current Manufacturing Orders","Tous les ordres de fabrication en cours",,"resources/views/ManufacturingDashboard.xml:27"
"All Manufacturing Order Plannings","Tous les ordres de fabrication planifiés",,"resources/views/ManufacturingDashboard.xml:35"
"All Upcoming Manufacturing Orders","Tous les ordres de fabrication à venir",,"resources/views/ManufacturingDashboard.xml:19"
"Aucune nomenclature définie pour le produit %s (%s)",,,"java/com/axelor/apps/production/exceptions/IExceptionMessage.java:41"
"Aucune séquence configurée pour les Ordres de fabrication",,,"java/com/axelor/apps/production/exceptions/IExceptionMessage.java:49"
"Aucune séquence configurée pour les Ordres de production",,,"java/com/axelor/apps/production/exceptions/IExceptionMessage.java:34"
"BOM","Nomenclature",,"resources/views/ProductionOrder.xml:22
resources/views/ProductionOrderWizard.xml:14"
"BOM tree","Nomenclature arborescente",,"resources/views/BillOfMaterial.xml:29"
"BOMs","Lignes de nomenclature",,"resources/domains/BillOfMaterial.xml:19"
"Bill of material","Nomenclatures",,"resources/views/BillOfMaterial.xml:16
resources/views/BillOfMaterial.xml:53
resources/views/BillOfMaterial.xml:66"
"Bills of material","Nomenclatures",,"resources/views/BillOfMaterial.xml:102
resources/views/BillOfMaterial.xml:40
resources/views/BillOfMaterial.xml:6
resources/views/BillOfMaterial.xml:71
resources/views/BillOfMaterial.xml:78"
"Bills of materials","Nomenclatures",,"resources/views/Menu.xml:12
resources/views/Menu.xml:15"
"BoM","Nomenclature",,"resources/domains/ManufOrder.xml:37
resources/domains/ProdRemains.xml:12
resources/domains/SaleOrderLine.xml:10"
"Brand","Fabricant",,"resources/domains/Machine.xml:14"
"Business","Affaire",,"resources/views/Business.xml:6"
"Cancel","Annuler",,"resources/views/ManufOrder.xml:119
resources/views/ManufOrder.xml:24
resources/views/ManufOrder.xml:47
resources/views/OperationOrder.xml:100
resources/views/OperationOrder.xml:36
resources/views/OperationOrder.xml:54"
"Canceled","Annulé",,"resources/views/Selects.xml:11"
"Cancelled MOs","OFs annulés",,"resources/views/ManufOrder.xml:242"
"Cancelled Operations","Opérations annulées",,"resources/views/OperationOrder.xml:185"
"Capacity / cycle","Capacité / cycle",,"resources/domains/ProdResource.xml:16"
"Capacity settings","Paramétrages capacité",,"resources/views/ProdResource.xml:22
resources/views/ProdResource.xml:55"
"Charge by machine","Charge par machine",,"resources/views/ChargeByMachineDashboard.xml:6
resources/views/Menu.xml:83
resources/views/Menu.xml:86"
"Charge previsionnelle par machine","Charge previsionnelle par machine",,"resources/views/Charts.xml:457"
"Charge réelle par machine","Charge réelle par machine",,"resources/views/Charts.xml:7"
"Code","Code",,"resources/domains/ProdProcess.xml:14
resources/domains/ProdResource.xml:13"
"Comments","Commentaires",,"resources/domains/OperationOrder.xml:54"
"Company","Société",,"resources/domains/BillOfMaterial.xml:23
resources/domains/ManufOrder.xml:19
resources/domains/ProductionConfig.xml:11"
"Compliance","Conformité",,"resources/domains/ManufOrderSheetLine.xml:13"
"Components","Composants",,"resources/views/BillOfMaterial.xml:27"
"Compute cost price","Calculer coût de revient",,"resources/views/BillOfMaterial.xml:31"
"Configurations","Configurations",,"resources/views/Menu.xml:92"
"Conforme","Conforme",,"resources/views/ManufOrderSheet.xml:44"
"Conformité","Conformité",,"resources/views/ManufOrderSheet.xml:18"
"Consumed products","Produits consommés",,"resources/domains/ManufOrder.xml:26
resources/domains/OperationOrder.xml:28
resources/views/ManufOrder.xml:219
resources/views/ManufOrder.xml:94
resources/views/ManufOrder.xml:99
resources/views/OperationOrder.xml:91"
"Cost","Coût",,"resources/views/BillOfMaterial.xml:30"
"Cost (W.T.)","Coût (H.T.)",,"resources/domains/ProdResource.xml:26"
"Cost price","Prix de revient",,"resources/domains/BillOfMaterial.xml:22"
"Cost type","Type coût",,"resources/domains/ProdResource.xml:25"
"Costing settings","Paramétrages coûts",,"resources/views/ProdResource.xml:31
resources/views/ProdResource.xml:64"
"Create Manuf. Order","Créer Ordre de Fabr.",,"resources/views/Menu.xml:149"
"Dashboard","Tableau de bord",,"resources/views/ManufacturingDashboard.xml:12
resources/views/ManufacturingDashboard.xml:6"
