"key","message","comment","context"
"105",,,
"5",,,
"A cancel reason must be selected",,,
"Action","Ação",,
"Actions","Ações",,
"Add Manuf. Order","Adicionar Manuf. Encomenda",,
"Add components in bulk",,,
"Add to components",,,
"All Current Manufacturing Orders","Todas as ordens de produção atuais",,
"All Upcoming Manufacturing Orders","Todas as ordens de produção futuras",,
"Alternative Bill of material","Lista técnica alternativa",,
"App production","Produção de aplicativos",,
"Applicable","Aplicável",,
"Approval","Aprovação",,
"Automatically plan the manuf. orders generated from sale order","Planejar automaticamente as ordens de produção geradas pela ordem de venda",,
"Available stock","Estoque disponível",,
"Average Price","Preço Médio",,
"BOM","LISTA TÉCNICA",,
"BOM.billOfMaterialList","Resumo dos componentes",,
"BOM.company","Empresa",,
"BOM.defineSubBillOfMaterial","Definir sublista técnica",,
"BOM.hasNoManageStock","Não administrar estoque",,
"BOM.priority","Prioridade",,
"BOM.qty","Quantidade",,
"BOM.title","Lista técnica",,
"BOM.unit","Unidade",,
"BOM.versionNumber","Número da versão",,
"BOMs","Listas técnicas",,
"Barcode","Código de barras",,
"Barcode Type","Tipo de código de barras",,
"Batchs","Lotes",,
"Bill of Material","Lista técnica",,
"Bill of material","Lista técnica",,
"Bill of material and production process must be applicable",,,
"Bill of materials","Lista técnica",,
"BillOfMaterial","BillOfMaterial",,
"Bills of material","Listas técnicas",,
"Bills of materials","Listas técnicas",,
"BoM","BoM",,
"Bom child tree list","Bom lista de árvores infantis",,
"Bom level","Nível Bom",,
"Bom tree list","Lista de árvores Bom",,
"Brand","Marca",,
"Calculation type","Tipo de cálculo",,
"Cancel","Cancelar",,
"Cancel Reason",,,
"Cancel Reasons",,,
"Cancel reason",,,
"Canceled","Cancelado",,
"Cancellation",,,
"Cancellation confirmation",,,
"Cancelled MOs","OPAs canceladas",,
"Cancelled Operations","Operações canceladas",,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of material has a valid production process.","Não é possível adicionar uma ordem de produção sem um processo de produção. Verificar se a lista técnica escolhida possui um processo de produção válido.",,
"Capacity settings","Opções de capacidade",,
"Charge by machine","Carga por máquina",,
"Code","Código",,
"Comments","Comentários",,
"Company","Empresa",,
"Components","Componentes",,
"Components default stock location","Localização padrão do estoque dos componentes",,
"Components valuation method","Método de avaliação de componentes",,
"Compute cost price","Calcular o preço de custo",,
"Compute work in progress valuation","Calcular a avaliação do trabalho em andamento",,
"Computed work in progress valuation","Avaliação de material em andamento calculado",,
"Condition","Condição",,
"Configuration","Configuração",,
"Configurator","Configurador",,
"Configurator BOM","Lista técnica do configurador",,
"Configurator BOM tree view","Visão em árvore da lista técnica do configurador",,
"Configurator BoM","Configurador BoM",,
"Configurator Phase","Fase do Configurador",,
"Configurator Phases","Fases do Configurador",,
"Configurator Prod Process","Processo do Prod do Configurador",,
"Configurator creators","Criadores do Configurador",,
"Configurator production process","Processo de produção do configurador",,
"Configurators","Configuradores",,
"Configurators BOMs","Listas técnicas de configuradores",,
"Configurators BOMs tree","Árvore de listas técnicas de configuração",,
"Confirm cancellation",,,
"Consume in stock moves",,,
"Consumed product","Produto consumido",,
"Consumed product waste","Resíduos de produtos consumidos",,
"Consumed products","Produtos consumidos",,
"Consumed quantity","Quantidade consumida",,
"Consumption","Consumo",,
"Consumption qty","Quantidade de consumo",,
"Control on receipt","Controle no recebimento",,
"Cost","Custo",,
"Cost (W.T.)","Custo (W.T.)",,
"Cost Price","Preço de custo",,
"Cost price","Preço de custo",,
"Cost sheet","Esquema de custos",,
"Cost sheet - %s","Folha de custos - %s",,
"Cost sheet group","Grupo de planilhas de custos",,
"Cost sheet group for product","Grupo de planilhas de custos do produto",,
"Cost sheet group for work center","Grupo de planilha de custos para centro de trabalho",,
"Cost sheet groups","Grupos de planilhas de custos",,
"Cost sheet line","Linha do esquema de cálculo de custos",,
"Cost sheet line detail","Detalhe da linha do esquema de cálculo de custos",,
"Cost sheet lines","Linhas do esquema de cálculo de custos",,
"Cost sheets","Planilhas de custos",,
"Cost sheets tree","Árvore de esquemas de cálculo de custos",,
"Cost type","Tipo de custo",,
"CostSheet","Planilha de custos",,
"CostSheet.ManufOrderNumber","MO N°",,
"CostSheet.billOfMaterial","Lista técnica",,
"CostSheet.calculationDate",,,
"CostSheet.calculationType",,,
"CostSheet.calculationTypeBillOfMaterial",,,
"CostSheet.calculationTypeEndOfProduction",,,
"CostSheet.calculationTypePartialEndOfProduction",,,
"CostSheet.calculationTypeWorkInProgress",,,
"CostSheet.company","Empresa",,
"CostSheet.costPrice","Preço de custo",,
"CostSheet.costSheetLineBomLevel","Nível da lista técnica",,
"CostSheet.costSheetLineCode","Código",,
"CostSheet.costSheetLineConsumptionQty","Quantidade de consumo",,
"CostSheet.costSheetLineCostSheetGroup","Esquema de cálculo de custos Grupo",,
"CostSheet.costSheetLineName","Nome e Sobrenome",,
"CostSheet.costSheetLineUnit","Unidade",,
"CostSheet.costSheetLines","Detalhe da linha do esquema de cálculo de custos",,
"CostSheet.createdBy","Criado por",,
"CostSheet.createdOn","Criado em",,
"CostSheet.currency","Moeda",,
"CostSheet.dateOfEdition","Data de Edição",,
"CostSheet.legend",,,
"CostSheet.lineType","Tipo de",,
"CostSheet.lineTypeConsumeProduct","Produto consumido",,
"CostSheet.lineTypeConsumeProductWaste","Resíduos de produtos consumidos",,
"CostSheet.lineTypeHuman",,,
"CostSheet.lineTypeIndirectCost","Custo indirecto",,
"CostSheet.lineTypeProduceProduct","Produzir Produto",,
"CostSheet.lineTypeWorkCenter","Centro de trabalho",,
"CostSheet.manufOrder","Ordem de produção",,
"CostSheet.title","CUSTO PATRIMÔNIO",,
"Costing settings","Opções de cálculo de custos",,
"Create production order","Criar ordem de produção",,
"Created by","Criado por",,
"Created on","Criado em",,
"Currency","Moeda",,
"Customer","Cliente",,
"Cycle unit","Unidade de ciclo",,
"Dashboard","Painel de instrumentos",,
"Date of calculation","Data de cálculo",,
"Dates","Datas",,
"Default BOM","Lista técnica default",,
"Default Bill of material","Lista técnica padrão",,
"Default Machine","Máquina Padrão",,
"Default Machine settings","Configurações padrão da máquina",,
"Default sequence","Seqüência default",,
"Default work center product","Produto proposto do centro de trabalho",,
"Define as default bill of material of product","Definir como lista técnica padrão do produto",,
"Define sub bill of material","Definir sublista técnica",,
"Define with a configurator","Definir com um configurador",,
"Define with a script","Definir com um script",,
"Description","Descrição do produto",,
"Descriptions","Descrições",,
"Details",,,
"Diff","Diff",,
"Diff consume manuf order","Diff consumir manuf manuf order",,
"Diff consume operation order","Ordem de operação de consumo dif.",,
"Difference","Diferença",,
"Differences","Diferenças",,
"Direct Manufacturing","Manufatura Direta",,
"Direct Material","Material Direto",,
"Do you really wish to create a new version of this bill of material ?","Você realmente deseja criar uma nova versão desta lista técnica?",,
"Do you really wish to create a new version of this production process ?","Você realmente deseja criar uma nova versão deste processo de produção?",,
"Draft","Rascunho",,
"Draft MOs","Esboços de ordens de serviço",,
"Draft Operations","Operações de Draft",,
"Duration","Duração",,
"Duration (days)","Duração (dias)",,
"Duration (hours)","Duração (horas)",,
"Duration / cycle (hh:mm)","Duração / ciclo (hh:mm)",,
"Duration between two cycles (hh:mm)","Duração entre dois ciclos (hh:mm)",,
