"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.project.Project.r";"com.axelor.apps.project.db.Project";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Project Read"
"perm.project.ProjectTaskCategory.r";"com.axelor.apps.project.db.ProjectTaskCategory";"x";;;;;;;"Project Read"
"perm.project.ResourceType.r";"com.axelor.apps.project.db.ResourceType";"x";;;;;;;"Project Read"
"perm.project.ResourceBooking.r";"com.axelor.apps.project.db.ResourceBooking";"x";;;;;;;"Project Read"
"perm.project.Wiki.r";"com.axelor.apps.project.db.Wiki";"x";;;;;;;"Project Read"
"perm.project.ProjectStatus.r";"com.axelor.apps.project.db.ProjectStatus";"x";;;;;;;"Project Read"
"perm.project.TaskStatus.r";"com.axelor.apps.project.db.TaskStatus";"x";;;;;;;"Project Read"
"perm.project.Resource.r";"com.axelor.apps.project.db.Resource";"x";;;;;;;"Project Read"
"perm.project.ProjectTask.r";"com.axelor.apps.project.db.ProjectTask";"x";;;;;;;"Project Read"
"perm.project.ProjectTaskTag.r";"com.axelor.apps.base.db.Tag";"x";;;;;;;"Project Read"
"perm.project.ProjectTemplate.r";"com.axelor.apps.project.db.ProjectTemplate";"x";;;;;;;"Project Read"
"perm.project.TaskTemplate.r";"com.axelor.apps.project.db.TaskTemplate";"x";;;;;;;"Project Read"
"perm.project.ProjectPlanningTime.r";"com.axelor.apps.project.db.ProjectPlanningTime";"x";;;;;;;"Project Read"
"perm.project.ProjectPriority.r";"com.axelor.apps.project.db.ProjectPriority";"x";;;;;;;"Project Read"
"perm.project.WikiFolder.r";"com.axelor.apps.project.db.WikiFolder";"x";;;;;;;"Project Read"
"perm.project.Topic.r";"com.axelor.apps.project.db.Topic";"x";;;;;;;"Project Read"
"perm.project.Project.rwc";"com.axelor.apps.project.db.Project";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Project User"
"perm.project.ProjectTaskCategory.rwc";"com.axelor.apps.project.db.ProjectTaskCategory";"x";"x";"x";;;;;"Project User"
"perm.project.ResourceType.rwc";"com.axelor.apps.project.db.ResourceType";"x";"x";"x";;;;;"Project User"
"perm.project.ResourceBooking.rwc";"com.axelor.apps.project.db.ResourceBooking";"x";"x";"x";;;;;"Project User"
"perm.project.Wiki.rwc";"com.axelor.apps.project.db.Wiki";"x";"x";"x";;;;;"Project User"
"perm.project.ProjectStatus.rwc";"com.axelor.apps.project.db.ProjectStatus";"x";"x";"x";;;;;"Project User"
"perm.project.TaskStatus.rwc";"com.axelor.apps.project.db.TaskStatus";"x";"x";"x";;;;;"Project User"
"perm.project.Resource.rwc";"com.axelor.apps.project.db.Resource";"x";"x";"x";;;;;"Project User"
"perm.project.ProjectTask.rwc";"com.axelor.apps.project.db.ProjectTask";"x";"x";"x";;;;;"Project User"
"perm.project.ProjectTaskTag.rwc";"com.axelor.apps.base.db.Tag";"x";"x";"x";;;;;"Project User"
"perm.project.ProjectTemplate.rwc";"com.axelor.apps.project.db.ProjectTemplate";"x";"x";"x";;;;;"Project User"
"perm.project.TaskTemplate.rwc";"com.axelor.apps.project.db.TaskTemplate";"x";"x";"x";;;;;"Project User"
"perm.project.ProjectPlanningTime.rwc";"com.axelor.apps.project.db.ProjectPlanningTime";"x";"x";"x";;;;;"Project User"
"perm.project.ProjectPriority.rwc";"com.axelor.apps.project.db.ProjectPriority";"x";"x";"x";;;;;"Project User"
"perm.project.WikiFolder.rwc";"com.axelor.apps.project.db.WikiFolder";"x";"x";"x";;;;;"Project User"
"perm.project.Topic.rwc";"com.axelor.apps.project.db.Topic";"x";"x";"x";;;;;"Project User"
"perm.project.Project.rwcde";"com.axelor.apps.project.db.Project";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Project Manager"
"perm.project.ProjectTaskCategory.rwcde";"com.axelor.apps.project.db.ProjectTaskCategory";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ResourceType.rwcde";"com.axelor.apps.project.db.ResourceType";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ResourceBooking.rwcde";"com.axelor.apps.project.db.ResourceBooking";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.Wiki.rwcde";"com.axelor.apps.project.db.Wiki";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ProjectStatus.rwcde";"com.axelor.apps.project.db.ProjectStatus";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.TaskStatus.rwcde";"com.axelor.apps.project.db.TaskStatus";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.Resource.rwcde";"com.axelor.apps.project.db.Resource";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ProjectTask.rwcde";"com.axelor.apps.project.db.ProjectTask";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ProjectTaskTag.rwcde";"com.axelor.apps.base.db.Tag";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ProjectTemplate.rwcde";"com.axelor.apps.project.db.ProjectTemplate";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.TaskTemplate.rwcde";"com.axelor.apps.project.db.TaskTemplate";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ProjectPlanningTime.rwcde";"com.axelor.apps.project.db.ProjectPlanningTime";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.ProjectPriority.rwcde";"com.axelor.apps.project.db.ProjectPriority";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.WikiFolder.rwcde";"com.axelor.apps.project.db.WikiFolder";"x";"x";"x";"x";"x";;;"Project Manager"
"perm.project.Topic.rwcde";"com.axelor.apps.project.db.Topic";"x";"x";"x";"x";"x";;;"Project Manager"
