"key","message","comment","context"
"%s project","proyecto %s",,
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<span class='label label-info'>Computed automatically if left empty</span>","<class='label label-info'>Calculada automáticamente si se deja vacía </span>",,
"Accept Order",,,
"Actions","Acciones",,
"Add multiple lines","Añadir varias líneas",,
"Add selected lines","Añadir líneas seleccionadas",,
"All phase tasks","Todas las tareas de fase",,
"All phases","Todas las fases",,
"All tasks","Todas las tareas",,
"Analytic",,,
"Announcement",,,
"App project","Proyecto de aplicación",,
"Assigned to","Asignado a",,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Book resource","Recursos de libros",,
"Business","Negocios",,
"Business project","Proyecto empresarial",,
"Cancel","Cancelar",,
"Canceled","Cancelado",,
"Category","Categoría",,
"Characteristics","Características",,
"Child Projects","Proyectos para niños",,
"Code","Código",,
"Company","Empresa",,
"Configuration","Configuración",,
"Configurations","Configuraciones",,
"Content","Contenido",,
"Contracts",,,
"Create business project from this template",,,
"Create invoicing project","Crear proyecto de facturación",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Moneda",,
"Customer","Cliente",,
"Customer Contact","Contacto con el cliente",,
"Customer Invoice lines","Líneas de Factura de Cliente",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Dates","Fechas",,
"Deadline","Fecha límite",,
"Deadline Today","Fecha límite hoy",,
"Deadline Tomorrow","Fecha límite mañana",,
"Deadline Yesterday","Fecha límite: Ayer",,
"Default status","Status por defecto",,
"Delay to start (Hours)","Retraso en el arranque (Horas)",,
"Description","Descripción",,
"Due Date","Fecha de vencimiento",,
"Duration (Hours)","Duración (Horas)",,
"Duration hours","Duración horas",,
"Employee",,,
"Enable task signature",,,
"Enter Time spent",,,
"Estimated time",,,
"Estimated time (in days)",,,
"Estimated time (in hours)",,,
"Exclude planning","Excluir la planificación",,
"Expense lines","Líneas de gastos",,
"Expenses","Gastos",,
"Extends members from parent","Extiende a los miembros de los padres",,
"Financial Data","Datos financieros",,
"Financial Report","Informe financiero",,
"Finish","Acabado",,
"Finish tasks to finish","Finalizar tareas a finalizar",,
"Finish tasks to start","Finalizar tareas para iniciar",,
"Finished","Acabado",,
"Follow-up","Seguimiento",,
"Followers","Seguidores",,
"Frequency",,,
"From Date","Desde la fecha",,
"From date","Desde la fecha",,
"Gantt","Gantt",,
"Gantt with project","Gantt con proyecto",,
"Gantt with user","Gantt con el usuario",,
"Gen proj type per order line","Tipo de proyecto por línea de pedido",,
"Generate quotation","Generar oferta",,
"Generate sequence for project",,,
"Generated project","Proyecto generado",,
"High","Alto",,
"Historical","Histórico",,
"Image","Imagen",,
"Import all members","Importar todos los miembros",,
"Imputable","Imputable",,
"In Progress","En progreso",,
"Internal Description",,,
"Invoiced","Facturado",,
"Invoices",,,
"Invoicing","Facturación",,
"Is close","Está cerca",,
"Is open","Está abierto",,
"Is unique task for multiple quantity","Es una tarea única para cantidades múltiples",,
"Log Times","Tiempos de registro",,
"Low","Baja",,
"Manage lines","Administrar líneas",,
"Members","Miembros",,
"Membres","Membres",,
"My projects","Mis proyectos",,
"My tasks due","Mis tareas",,
"My tasks to do","Mis tareas a realizar",,
"My today planning","Mi planificación de hoy",,
"My upcoming planning","Mi próxima planificación",,
"Name","Nombre",,
"New","Nuevo",,
"New line","Nueva línea",,
"New task",,,
"New ticket",,,
"Normal","Normal",,
"Not invoiced","No facturado",,
"Not specified","No especificado",,
"Notes","Notas",,
"Open gantt","Gantt abierto",,
"Open phase","Fase abierta",,
"Open task","Tarea abierta",,
"Order Accepted",,,
"Order Proposed",,,
"Order by state","Ordenar por estado",,
"Parent project","Proyecto para padres",,
"Parent task","Tarea de los padres",,
"Person In Charge","Persona a Cargo",,
"Phase by line","Fase por línea",,
"Phase tasks","Tareas de la fase",,
"Phases","Fases",,
"Plan project","Planificar el proyecto",,
"Planification and costs","Planificación y costes",,
"Planned Time Planning",,,
"Planned charge",,,
"Planned progress","Progreso previsto",,
"Planning","Planificación",,
"Please select project","Por favor, seleccione el proyecto",,
"Please select user","Por favor, seleccione un usuario",,
"Predecessors tasks","Tareas de los predecesores",,
"Product","Producto",,
"Production","Producción",,
"Progress","Progreso",,
"Progress (%)","Progreso (%)",,
"Project","Proyecto",,
