"key","message","comment","context"
"%s project","%s progetto",,
"0 %",,,
"1 week",,,
"10 %",,,
"100 %",,,
"2 weeks",,,
"20 %",,,
"3 weeks",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
":",,,
"Accept Order",,,
"Actions","Azioni",,
"Activities",,,
"Activity",,,
"Add Section",,,
"Add Subtask",,,
"Add Task",,,
"Add multiple lines","Aggiungere più righe",,
"Add selected lines","Aggiungi linee selezionate",,
"Add tags",,,
"All completed tasks",,,
"All open tasks",,,
"All tasks","Tutti i compiti",,
"Alphabetical",,,
"Analytic",,,
"Announcement",,,
"App project","Progetto App",,
"Apply modifications to next tasks",,,
"Assigned to","Assegnato a",,
"Assignee",,,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Attrs",,,
"Book resource","Prenota risorsa",,
"Business","Affari",,
"Business project","Progetto imprenditoriale",,
"Cancel","Annulla",,
"Cannot delete section with tasks",,,
"Categories?",,,
"Category","Categoria",,
"Characteristics","Caratteristiche",,
"Check availability of resources",,,
"Child Projects","Progetti per bambini",,
"Close topic",,,
"Closed",,,
"Code","Codice",,
"Company","L'azienda",,
"Completed ?",,,
"Completed tasks",,,
"Configuration","Configurazione",,
"Configurations","Configurazioni",,
"Content","Contenuto",,
"Contracts",,,
"Convert Task to Project",,,
"Convert to project",,,
"Copied to clipboard",,,
"Copy task link",,,
"Copy task name",,,
"Create New Task",,,
"Create business project from this template",,,
"Create invoicing project","Crea progetto di fatturazione",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Valuta",,
"Custom field",,,
"Custom fields",,,
"Customer","Cliente",,
"Customer Contact","Contatto con il cliente",,
"Customer Invoice lines","Linee di fatturazione clienti",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Date",,,
"Date or frequency changed",,,
"Dates","Le date",,
"Deadline","Scadenza",,
"Deadline Today","Scadenza Oggi",,
"Deadline Tomorrow","Scadenza Domani",,
"Deadline Yesterday","Scadenza Ieri",,
"Decimal",,,
"Default completed",,,
"Default priorities",,,
"Default task status",,,
"Delay to start (Hours)","Ritardo alla partenza (ore)",,
"Delete Permanently",,,
"Delete Section",,,
"Delete Task",,,
"Delete task btn",,,
"Description","Descrizione",,
"Do you really want to delete the selected record?",,,
"Done on",,,
"Due Date","Data di scadenza",,
"Due next week",,,
"Due this week",,,
"Duplicate task",,,
"Duration (Hours)","Durata (ore)",,
"Duration hours","Durata",,
"Employee",,,
"Enable Gantt view",,,
"Enable Kanban view per section",,,
"Enable Kanban view per status",,,
"Enable calendar view per section",,,
"Enable calendar view per status",,,
"Enable calendar view per user",,,
"Enable task signature",,,
"Enter Time spent",,,
"Estimated time",,,
"Estimated time (in hours)",,,
"Exclude planning","Escludere la pianificazione",,
"Expense lines","Linee di spesa",,
"Expenses","Spese",,
"Extends members from parent","Estende i membri dei genitori",,
"Fields to display",,,
"Financial Data","Dati finanziari",,
"Financial Report","Relazione finanziaria",,
"Find a task",,,
"Finish","Finitura",,
"Finish tasks to finish","Finire i compiti da completare",,
"Finish tasks to start","Terminare i compiti da avviare",,
"First",,,
"Follow-up","Seguito",,
"Followers","Seguaci",,
"Frequency",,,
"Frequency end date cannot be before task date.",,,
"Frequency?",,,
"From Date","Da Data",,
"From date","Dalla data",,
"Full screen",,,
"Gantt","Gantt",,
"Gantt with project","Gantt con progetto",,
"Gantt with user","Gantt con utente",,
"Gen proj type per order line","Gen tipo di progetto per linea d'ordine",,
"Generate quotation","Genera preventivo",,
"Generated project","Progetto generato",,
"High","Alto",,
"Historical","Storico",,
"If this option is disabled this project cannot be selected on a timesheet.",,,
"Image","Immagine",,
"Import all members","Importa tutti i membri",,
"Imputable","Imputabile",,
"Include",,,
"Incomplete tasks",,,
"Integer",,,
"Internal Description",,,
"Invalid model name",,,
"Invalid selection name",,,
"Invoiced","Fatturato",,
"Invoices",,,
"Invoicing","Fatturazione",,
"Is unique task for multiple quantity","È compito unico per quantità multiple",,
"Just my tasks",,,
"Last status",,,
"Last updated on",,,
"Load more",,,
"Log Times","Tempi di registrazione",,
"Low","Basso",,
"Make a subtask of",,,
"Make this task a subtask of another project task",,,
"Manage lines","Gestire le linee",,
"Mark Complete",,,
"Mark Incomplete",,,
"Members","Membri",,
"Membres","Membri",,
"Message",,,
"MultiSelect",,,
"My open tasks",,,
"My projects","I miei progetti",,
"My tasks due","I miei compiti",,
"My tasks to do","I miei compiti da svolgere",,
"My today planning","La mia pianificazione di oggi",,
"My topics",,,
"My upcoming planning","La mia prossima pianificazione",,
"Name","Nome",,
"New line","Nuova linea",,
"New task",,,
"New ticket",,,
"New topics",,,
"Next task",,,
"Normal","Normale",,
"Not invoiced","Non fatturata",,
"Not specified","Non specificato",,
"Notes","Note",,
"Object updated",,,
"Open gantt","Aprire gantt",,
"Open phase","Fase aperta",,
"Open task","Compito aperto",,
"Order Accepted",,,
"Order Proposed",,,
"Order by state","Ordine per stato",,
"Overview",,,
"Parent Task",,,
"Parent project","Progetto del genitore",,
"Parent task","Compito del genitore",,
"Per section calendar",,,
"Per section kanban",,,
"Per status calendar",,,
"Per status kanban",,,
"Per user calendar",,,
"Phase by line","Fase per linea",,
"Phases","Fasi",,
"Plan project","Pianificare il progetto",,
"Planification and costs","Pianificazione e costi",,
"Planned Time Planning",,,
"Planned charge",,,
"Planned progress","Progressi previsti",,
"Planning","Pianificazione",,
"Planning?",,,
"Please fill in task date.",,,
"Please select project","Selezionare il progetto",,
"Please select user","Selezionare l'utente",,
"Predecessors tasks","Compiti precedenti",,
"Printed from Axelor open platform",,,
"Priorities?",,,
"Priority",,,
"Product","Prodotto",,
"Production","Produzione",,
"Progress","Progressi",,
"Progress?",,,
"Project","Il progetto",,
"Project Activities",,,
"Project Activity",,,
"Project Calendar","Calendario del progetto",,
"Project Folder","Cartella del progetto",,
"Project Gantt","Progetto Gantt",,
"Project Label","Etichetta del progetto",,
"Project Phase","Fase del progetto",,
"Project Priority",,,
"Project Task","Compito del progetto",,
"Project Task Category",,,
"Project Task Section",,,
"Project Task Tree","Albero dei compiti del progetto",,
"Project Tasks","Compiti del progetto",,
"Project Wiki","Progetto Wiki",,
"Project alone","Progetto da solo",,
"Project fields",,,
"Project filters",,,
"Project name",,,
"Project planning","Pianificazione del progetto",,
"Project status",,,
"Project task category",,,
"Project task category filters",,,
"Project task filters",,,
"Project task list",,,
"Project template",,,
"Project template filters",,,
"Project.Resource",,,
"Project.toInvoice",,,
"Project/Business (Project)","Progetto/Business (Progetto)",,
"ProjectTask.Package",,,
"Projects","Progetti",,
"Purchase order lines","Linee d'ordine d'acquisto",,
"Purchases","Acquisti",,
"Quantity","Quantità",,
"Record title",,,
"Related Projects","Progetti correlati",,
"Related tasks","Compiti correlati",,
"Related to",,,
"Remove lines","Rimuovere le linee",,
"Remove selected lines","Rimuovi linee selezionate",,
"Reportings","Rapporti",,
"Reports","Rapporti",,
"Reset",,,
"Resource","Risorsa",,
"Resource booking","Prenotazione delle risorse",,
"Resource bookings","Prenotazioni di risorse",,
"Resource management","Gestione delle risorse",,
"Resource type","Tipo di risorsa",,
"Resource types","Tipi di risorse",,
"Resources","Risorse",,
"Roadmap",,,
"Sale order lines","Linee d'ordine di vendita",,
"Sales","Vendite",,
"Section",,,
"Section?",,,
"Select",,,
"Select Projects","Seleziona i progetti",,
"Select Users","Seleziona Utenti",,
"Select lines to remove",,,
"Select new lines","Seleziona nuove linee",,
"Select values",,,
"Seq.",,,
"Sequence","Sequenza",,
"Serial/batch number","Numero di serie/numero di lotto",,
"Show expense lines","Mostra linee di spesa",,
"Show phases elements","Mostra gli elementi delle fasi",,
"Show production orders","Mostra ordini di produzione",,
"Show purchase order lines","Mostra linee d'ordine d'acquisto",,
"Show sale order lines","Mostra linee d'ordine di vendita",,
"Signature",,,
"Start","Inizio",,
"Start Date",,,
"Start tasks to finish","Compiti dall'inizio alla fine",,
"Start tasks to start","Avviare le attività da avviare",,
"Status","Stato",,
"Status?",,,
"Stop","Fermo",,
"String",,,
"Sub Tasks",,,
"Subject","Oggetto",,
"Supplier Invoice lines","Linee di fatturazione dei fornitori",,
"Supplier contracts",,,
"Synchronize","Sincronizzare",,
"Tag",,,
"Tags",,,
"Take charge","Prendere in carico",,
"Task","Compito",,
"Task Calendar",,,
"Task Description",,,
"Task Description as Project Description",,,
"Task Invoicing","Compito Fatturazione",,
"Task Name",,,
"Task Tree","Albero dei compiti",,
"Task User as Project Members",,,
"Task assigned to",,,
"Task assigned to the client",,,
"Task assigned to the provider",,,
"Task by line","Compito per linea",,
"Task date","Data del compito",,
"Task deadline","Scadenza del compito",,
"Task duration",,,
"Task editor",,,
"Task end","Fine compito",,
"Task fields",,,
"Task history","Cronologia delle attività",,
"Task status",,,
"Task template",,,
"Task template filters",,,
"Task template list","Elenco dei modelli di attività",,
"Task templates",,,
"Task updated","Aggiornato il compito",,
"TaskEditor.comment",,,
"TaskEditor.concurrencyError",,,
"TaskEditor.deleteRecord",,,
"TaskEditor.deleteRecordConfirm",,,
"TaskEditor.deleteSuccess",,,
"TaskEditor.error",,,
"TaskEditor.filter",,,
"TaskEditor.none",,,
"TaskEditor.projectCreateSuccess",,,
"TaskEditor.removeSuccess",,,
"TaskEditor.sectionDeleteSuccess",,,
"TaskEditor.sort",,,
"TaskEditor.taskAddError",,,
"TaskEditor.taskAddSuccess",,,
"TaskEditor.taskDate",,,
"TaskEditor.taskDeleteSuccess",,,
"TaskEditor.undo",,,
"TaskEditor.uploadError",,,
"TaskEditor.uploadSuccess",,,
"Tasks","Compiti",,
"Tasks created by me",,,
"Tasks to finish before finish",,,
"Tasks to start before start",,,
"Team","Squadra",,
"Teamtask.Package",,,
"Technical type",,,
"Template",,,
"The parent task creates a loop in the task tree.",,,
"This resource is already booked for this period",,,
"This task is deleted",,,
"Ticket",,,
"Tickets",,,
"Time Spent","Tempo trascorso",,
"Time Spent?",,,
"Timer","Timer",,
"Timer list","Elenco dei timer",,
"TimesheetLine.timeSpent",,,
"Title","Titolo",,
"To Date","Fino ad oggi",,
