"key","message","comment","context"
"%s project","%s project",,
"0 %",,,
"1 week",,,
"10 %",,,
"100 %",,,
"2 weeks",,,
"20 %",,,
"3 weeks",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"Accept Order",,,
"Actions","Acties",,
"Add Section",,,
"Add Subtask",,,
"Add Task",,,
"Add multiple lines","Meerdere regels toevoegen",,
"Add selected lines","Geselecteerde lijnen toevoegen",,
"Add tags",,,
"All completed tasks",,,
"All phase tasks",,,
"All phases",,,
"All tasks","Alle taken",,
"Alphabetical",,,
"Analytic",,,
"Announcement",,,
"App",,,
"App project","App project",,
"Apply modifications to next tasks",,,
"Assigned to","Toegewezen aan",,
"Assignee",,,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Attrs",,,
"Book resource","Boek bron",,
"Business","Bedrijf",,
"Business project","Bedrijfsproject",,
"Cancel","Annuleren",,
"Canceled",,,
"Cannot delete section with tasks",,,
"Category","Categorie",,
"Characteristics","Kenmerken",,
"Check availability of resources",,,
"Child Projects","Kind Projecten",,
"Closed",,,
"Code","Code",,
"Company","Bedrijf",,
"Completed tasks",,,
"Configuration","Configuratie",,
"Configurations","Configuraties",,
"Content","Inhoud",,
"Contracts",,,
"Convert Task to Project",,,
"Convert to project",,,
"Copied to clipboard",,,
"Copy task link",,,
"Copy task name",,,
"Create New Task",,,
"Create business project from this template",,,
"Create invoicing project","Factureringsproject aanmaken",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Valuta",,
"Customer","Klant",,
"Customer Contact","Contact met de klant",,
"Customer Invoice lines","Factuurlijnen voor klanten",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Date or frequency changed",,,
"Dates","Data",,
"Deadline","Uiterste datum",,
"Deadline Today","Uiterste datum Vandaag",,
"Deadline Tomorrow","Deadline Morgen",,
"Deadline Yesterday","Deadline Gisteren",,
"Default status",,,
"Delay to start (Hours)","Vertraging om te beginnen (uren)",,
"Delete Permanently",,,
"Delete Section",,,
"Delete Task",,,
"Delete task btn",,,
"Description","Beschrijving",,
"Due Date","Vervaldatum",,
"Due next week",,,
"Due this week",,,
"Duplicate task",,,
"Duration (Hours)","Duur (uren)",,
"Duration hours","Duur uren",,
"Employee",,,
"Enable task signature",,,
"Enter Time spent",,,
"Estimated time",,,
"Estimated time (in days)",,,
"Estimated time (in hours)",,,
"Exclude planning","Planning uitsluiten",,
"Expense lines","Uitgavenlijnen",,
"Expenses","Uitgaven",,
"Extends members from parent","Breidt de leden van de ouders uit",,
"Financial Data","Financiële gegevens",,
"Financial Report","Financieel verslag",,
"Find a task",,,
"Finish","Afwerking",,
"Finish tasks to finish","Voltooien van taken om af te maken",,
"Finish tasks to start","Voltooien van taken om te beginnen",,
"Finished",,,
"First",,,
"Follow-up","Follow-up",,
"Followers","Volgelingen",,
"Frequency",,,
"Frequency end date cannot be before task date.",,,
"From Date","Vanaf datum",,
"From date","Vanaf datum",,
"Full screen",,,
"Gantt","Gantt",,
"Gantt with project","Gantt met project",,
"Gantt with user","Gantt met gebruiker",,
"Gen proj type per order line","Gen projecttype per orderregel",,
"Generate quotation","Genereer offerte",,
"Generate sequence for project",,,
"Generated project","Gegenereerd project",,
"High","Hoog",,
"Historical","Historisch",,
"If this option is disabled this project cannot be selected on a timesheet.",,,
"Image","Beeld",,
"Import all members","Alle leden importeren",,
"Imputable","Veranderlijk",,
"In Progress",,,
"Include",,,
"Incomplete tasks",,,
"Internal Description",,,
"Invoiced","Gefactureerd",,
"Invoices",,,
"Invoicing","Facturatie",,
"Is close",,,
"Is open",,,
"Is unique task for multiple quantity","Is een unieke taak voor meerdere hoeveelheden",,
"Just my tasks",,,
"Last status",,,
"Load more",,,
"Log Times","Logtijden",,
"Low","Laag",,
"Make a subtask of",,,
"Make this task a subtask of another project task",,,
"Manage lines","Beheer lijnen",,
"Mark Complete",,,
"Mark Incomplete",,,
"Members","Leden",,
"Membres","Membres",,
"My projects","Mijn projecten",,
"My tasks due","Mijn taken",,
"My tasks to do","Mijn taken",,
"My today planning","Mijn planning voor vandaag",,
"My upcoming planning","Mijn aanstaande planning",,
"Name","Naam",,
"New",,,
"New Task",,,
"New line","Nieuwe lijn",,
"New task",,,
"New ticket",,,
"Next task",,,
"Normal","Normaal",,
"Not invoiced","Niet gefactureerd",,
"Not specified","Niet gespecificeerd",,
"Notes","Opmerkingen",,
"Open gantt","Open gangpad",,
"Open phase","Open fase",,
"Open task","Open taak",,
"Order Accepted",,,
"Order Proposed",,,
"Order by state","Volgorde per staat",,
"Parent Task",,,
"Parent project","Ouderproject",,
"Parent task","Ouderlijke taak",,
"Person In Charge",,,
"Phase by line","Fase voor fase per lijn",,
"Phase tasks",,,
"Phases","Fasen",,
"Plan project","Plan project",,
"Planification and costs","Planificatie en kosten",,
"Planned Time Planning",,,
"Planned charge",,,
"Planned progress","Geplande vooruitgang",,
"Planning","Planning",,
"Please fill in task date.",,,
"Please select project","Selecteer een project",,
"Please select user","Selecteer gebruiker",,
"Predecessors tasks","Taken van de voorgangers",,
"Printed from Axelor open platform",,,
"Priority",,,
"Product","Product",,
"Production","Productie",,
"Progress","Vooruitgang",,
"Progress (%)",,,
"Project","Project",,
"Project Calendar","Project Kalender",,
"Project Folder","Projectmap",,
"Project Folders",,,
"Project Gantt","Project Gantt",,
"Project Label","Projectetiket",,
"Project Phase","Projectfase",,
"Project Task","Project Taak",,
"Project Task Category",,,
"Project Task Section",,,
"Project Task Tree","Project Taak Boom",,
"Project Tasks","Project Taken",,
"Project Wiki","Project Wiki",,
"Project alone","Project alleen",,
"Project filters",,,
"Project name",,,
"Project phase",,,
"Project phases",,,
"Project planning","Projectplanning",,
"Project set",,,
"Project task category",,,
"Project task category filters",,,
"Project task filters",,,
"Project task list",,,
"Project template",,,
"Project template filters",,,
"Project type select",,,
"Project.toInvoice",,,
"Project/Business (Project)","Project/bedrijf (Project)",,
"Project/Phase",,,
"ProjectTask.Package",,,
"Projects","Projecten",,
"Projects Financial Report",,,
"Projects Folder",,,
"Projects Planification and costs",,,
"Purchase order lines","Bestellijnen kopen",,
"Purchases","Aankopen",,
"Quantity","Hoeveelheid",,
"Related Projects","Verwante projecten",,
"Related tasks","Gerelateerde taken",,
"Remove lines","Lijnen verwijderen",,
"Remove selected lines","Geselecteerde lijnen verwijderen",,
"Reportings","Meldingen",,
"Reports","Rapporten",,
"Reset to New",,,
"Resource","Hulpbron",,
"Resource booking","Resource boeken",,
"Resource bookings","Resource boekingen",,
"Resource management","Beheer van hulpbronnen",,
"Resource type","Type bron",,
"Resource types","Soorten bronnen",,
"Resources","Hulpmiddelen",,
"Roadmap",,,
"Sale order lines","Verkooporderregels",,
"Sales","Verkoop",,
"Section",,,
"Select Projects","Selecteer projecten",,
"Select Users","Selecteer Gebruikers",,
"Select lines to remove",,,
"Select new lines","Selecteer nieuwe lijnen",,
"Seq.",,,
"Sequence","Volgorde",,
"Serial/batch number","Serienummer/batchnummer",,
"Show expense lines","Uitgavenlijnen tonen",,
"Show phases elements","Fase elementen tonen",,
"Show production orders","Toon productieorders",,
"Show purchase order lines","Toon bestelregels",,
"Show sale order lines","Toon verkooporderregels",,
"Signature",,,
"Start","Begin",,
"Start tasks to finish","Taken beginnen om af te ronden",,
"Start tasks to start","Taken starten om te beginnen",,
"Status","Status",,
"Stop","Stoppen",,
"Sub Tasks",,,
"Subject","Onderwerp",,
"Supplier Invoice lines","Factuurlijnen voor leveranciers",,
"Supplier contracts",,,
"Synchronize","Synchroniseren",,
"Tag",,,
"Tag color",,,
"Tags",,,
"Take charge","Neem de leiding",,
"Task","Taak",,
"Task Description",,,
"Task Description as Project Description",,,
"Task Invoicing","Facturering van taken",,
"Task Name",,,
"Task Tree","Taakboom",,
"Task User as Project Members",,,
"Task assigned to",,,
"Task assigned to the client",,,
"Task assigned to the provider",,,
"Task by line","Taak per lijn",,
"Task date","Taak datum",,
"Task deadline","Termijn van de taak",,
"Task duration",,,
"Task editor",,,
"Task end","Taakeinde",,
"Task history","Taak geschiedenis",,
"Task template",,,
"Task template filters",,,
"Task template list","Taaksjabloonlijst",,
"Task templates",,,
"Task updated","Taak bijgewerkt",,
"TaskEditor.comment",,,
"TaskEditor.concurrencyError",,,
"TaskEditor.deleteRecord",,,
"TaskEditor.deleteRecordConfirm",,,
"TaskEditor.deleteSuccess",,,
"TaskEditor.error",,,
"TaskEditor.filter",,,
"TaskEditor.none",,,
"TaskEditor.projectCreateSuccess",,,
"TaskEditor.removeSuccess",,,
"TaskEditor.sectionDeleteSuccess",,,
"TaskEditor.sort",,,
"TaskEditor.taskAddError",,,
"TaskEditor.taskAddSuccess",,,
"TaskEditor.taskDate",,,
"TaskEditor.taskDeleteSuccess",,,
"TaskEditor.undo",,,
"TaskEditor.uploadError",,,
"TaskEditor.uploadSuccess",,,
"Tasks","Taken",,
"Tasks to finish before finish",,,
"Tasks to start before start",,,
"Team","Team",,
"Template",,,
"The company %s doesn't have any configured sequence for Project",,,
"The parent task creates a loop in the task tree.",,,
"This resource is already booked for this period",,,
"This task is deleted",,,
"Ticket",,,
"Tickets",,,
"Time Spent","Bestede tijd",,
"Timer","Timer",,
"Timer list","Timer lijst",,
"Title","Titel",,
"To Date","Tot op heden",,
"To Invoice","Naar factuur",,
"To date","Tot op heden",,
"Tools","Gereedschap",,
"Total duration (Hours)","Totale duur (uren)",,
"Total planned hours","Totaal aantal geplande uren",,
"Tree view","Boomaanzicht",,
"Type","Type",,
"Type of authorized activities","Soort geautoriseerde activiteiten",,
"Type of authorized categories","Type geautoriseerde categorieën",,
"Undelete",,,
"Unit","Eenheid",,
"Unit price","Eenheidsprijs",,
"Unlink selected lines","Geselecteerde lijnen ontkoppelen",,
"Untitled section",,,
"Update period according to task","Update periode volgens taak",,
"Urgent","Dringend",,
"User","Gebruiker",,
"User Gantt","Gebruiker Gantt",,
"User Task","Gebruikers Taak",,
"Users","Gebruikers",,
"Validated Timesheet lines","Gevalideerde urenregistratielijnen",,
"View details",,,
"Waiting Timesheet lines","Wachten Timesheet lijnen",,
"Wiki","Wiki",,
"Yesterday",,,
"You have no active team, the planning can't be generated","Je hebt geen actief team, de planning kan niet worden gegenereerd.",,
"You have no projects or tasks bound to you, your planning can't be generated.","U heeft geen projecten of taken aan u gebonden, uw planning kan niet worden gegenereerd.",,
"You have selected no team for this project","U heeft geen team geselecteerd voor dit project",,
"Your team has no projects or tasks bound to it, the planning can't be generated.","Uw team heeft er geen projecten of taken aan verbonden, de planning kan niet worden gegenereerd.",,
"hours","uren",,
"project-Resources",,,
