"key","message","comment","context"
"%s project","projekt %s",,
"0 %",,,
"1 week",,,
"10 %",,,
"100 %",,,
"2 weeks",,,
"20 %",,,
"3 weeks",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"Accept Order",,,
"Actions","Działania",,
"Add Section",,,
"Add Subtask",,,
"Add Task",,,
"Add multiple lines","Dodaj wiele wierszy",,
"Add selected lines","Dodaj wybrane linie",,
"Add tags",,,
"All completed tasks",,,
"All phase tasks",,,
"All phases",,,
"All tasks","Wszystkie zadania",,
"Alphabetical",,,
"Analytic",,,
"Announcement",,,
"App",,,
"App project","Projekt aplikacji",,
"Apply modifications to next tasks",,,
"Assigned to","Przypisany do",,
"Assignee",,,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Attrs",,,
"Book resource","Zasoby książki",,
"Business","Działalność gospodarcza",,
"Business project","Projekt biznesowy",,
"Cancel","Anulowanie",,
"Canceled",,,
"Cannot delete section with tasks",,,
"Category","Kategoria",,
"Characteristics","Charakterystyka",,
"Check availability of resources",,,
"Child Projects","Projekty na rzecz dzieci",,
"Closed",,,
"Code","Kod",,
"Company","Firma",,
"Completed tasks",,,
"Configuration","Konfiguracja",,
"Configurations","Konfiguracje",,
"Content","Zawartość",,
"Contracts",,,
"Convert Task to Project",,,
"Convert to project",,,
"Copied to clipboard",,,
"Copy task link",,,
"Copy task name",,,
"Create New Task",,,
"Create business project from this template",,,
"Create invoicing project","Stwórz projekt fakturowania",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Waluta",,
"Customer","Klient",,
"Customer Contact","Kontakt z klientem",,
"Customer Invoice lines","Linie faktur klienta",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Date or frequency changed",,,
"Dates","Daty",,
"Deadline","Ostateczny termin",,
"Deadline Today","Termin dzisiaj",,
"Deadline Tomorrow","Nieprzekraczalny termin Jutro",,
"Deadline Yesterday","Termin wczorajszy",,
"Default status",,,
"Delay to start (Hours)","Opóźnienie rozpoczęcia (godziny)",,
"Delete Permanently",,,
"Delete Section",,,
"Delete Task",,,
"Delete task btn",,,
"Description","Opis",,
"Due Date","Termin płatności",,
"Due next week",,,
"Due this week",,,
"Duplicate task",,,
"Duration (Hours)","Czas trwania (godziny)",,
"Duration hours","Czas trwania pomocy Godziny trwania pomocy",,
"Employee",,,
"Enable task signature",,,
"Enter Time spent",,,
"Estimated time",,,
"Estimated time (in days)",,,
"Estimated time (in hours)",,,
"Exclude planning","Wyłącz planowanie",,
"Expense lines","Linie wydatków",,
"Expenses","Wydatki",,
"Extends members from parent","Rozszerza członkostwo członków z rodzica",,
"Financial Data","Dane finansowe",,
"Financial Report","Sprawozdanie finansowe",,
"Find a task",,,
"Finish","Finisz",,
"Finish tasks to finish","Zakończyć zadania do końca",,
"Finish tasks to start","Zakończyć zadania do rozpoczęcia",,
"Finished",,,
"First",,,
"Follow-up","Działania następcze",,
"Followers","Zwolennicy",,
"Frequency",,,
"Frequency end date cannot be before task date.",,,
"From Date","Od daty",,
"From date","Od daty",,
"Full screen",,,
"Gantt","Gantta",,
"Gantt with project","Gantta z projektem",,
"Gantt with user","Gantta z użytkownikiem",,
"Gen proj type per order line","Gen proj type na linię zamówienia",,
"Generate quotation","Generowanie notowań",,
"Generate sequence for project",,,
"Generated project","Projekt wygenerowany",,
"High","Wysoki",,
"Historical","Historyczny",,
"If this option is disabled this project cannot be selected on a timesheet.",,,
"Image","Obrazek",,
"Import all members","Przywóz wszystkich członków",,
"Imputable","Przypisywalny",,
"In Progress",,,
"Include",,,
"Incomplete tasks",,,
"Internal Description",,,
"Invoiced","Zafakturowany",,
"Invoices",,,
"Invoicing","Fakturowanie",,
"Is close",,,
"Is open",,,
"Is unique task for multiple quantity","Jest to unikalne zadanie dla wielu ilości",,
"Just my tasks",,,
"Last status",,,
"Load more",,,
"Log Times","Czasy rejestru",,
"Low","Niskie",,
"Make a subtask of",,,
"Make this task a subtask of another project task",,,
"Manage lines","Zarządzaj liniami",,
"Mark Complete",,,
"Mark Incomplete",,,
"Members","Członkowie",,
"Membres","Membrany",,
"My projects","Moje projekty",,
"My tasks due","Moje zadania do wykonania",,
"My tasks to do","Moje zadania do wykonania",,
"My today planning","Moje dzisiejsze planowanie",,
"My upcoming planning","Moje najbliższe plany",,
"Name","Nazwa",,
"New",,,
"New Task",,,
"New line","Nowa linia",,
"New task",,,
"New ticket",,,
"Next task",,,
"Normal","Normalny",,
"Not invoiced","Nie zafakturowane",,
"Not specified","Nie określono.",,
"Notes","Uwagi",,
"Open gantt","Otwarty przepustnica",,
"Open phase","Faza otwarta",,
"Open task","Otwarte zadanie",,
"Order Accepted",,,
"Order Proposed",,,
"Order by state","Zarządzenie według państwa",,
"Parent Task",,,
"Parent project","Projekt macierzysty",,
"Parent task","Zadanie rodzicielskie",,
"Person In Charge",,,
"Phase by line","Etapy po kolei",,
"Phase tasks",,,
"Phases","Fazy",,
"Plan project","Planuj projekt",,
"Planification and costs","Planowanie i koszty",,
"Planned Time Planning",,,
"Planned charge",,,
"Planned progress","Planowany postęp",,
"Planning","Planowanie",,
"Please fill in task date.",,,
"Please select project","Proszę wybrać projekt",,
"Please select user","Proszę wybrać użytkownika",,
"Predecessors tasks","Zadania poprzedników",,
