"key","message","comment","context"
"%s project","%s projeto",,
"0 %",,,
"1 week",,,
"10 %",,,
"100 %",,,
"2 weeks",,,
"20 %",,,
"3 weeks",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
":",,,
"Accept Order",,,
"Actions","Ações",,
"Activities",,,
"Activity",,,
"Add Section",,,
"Add Subtask",,,
"Add Task",,,
"Add multiple lines","Adicionar várias linhas",,
"Add selected lines","Adicionar linhas selecionadas",,
"Add tags",,,
"All completed tasks",,,
"All open tasks",,,
"All tasks","Todas as tarefas",,
"Alphabetical",,,
"Analytic",,,
"Announcement",,,
"App project","Projeto do aplicativo",,
"Apply modifications to next tasks",,,
"Assigned to","Atribuído a",,
"Assignee",,,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Attrs",,,
"Book resource","Recurso de livro",,
"Business","Negócios",,
"Business project","Projeto empresarial",,
"Cancel","Cancelar",,
"Cannot delete section with tasks",,,
"Categories?",,,
"Category","Categoria: Categoria",,
"Characteristics","Características",,
"Check availability of resources",,,
"Child Projects","Projetos infantis",,
"Close topic",,,
"Closed",,,
"Code","Código",,
"Company","Empresa",,
"Completed ?",,,
"Completed tasks",,,
"Configuration","Configuração",,
"Configurations","Configurações",,
"Content","Conteúdo",,
"Contracts",,,
"Convert Task to Project",,,
"Convert to project",,,
"Copied to clipboard",,,
"Copy task link",,,
"Copy task name",,,
"Create New Task",,,
"Create business project from this template",,,
"Create invoicing project","Criar projeto de faturamento",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Moeda",,
"Custom field",,,
"Custom fields",,,
"Customer","Cliente",,
"Customer Contact","Contato com o cliente",,
"Customer Invoice lines","Linhas de fatura do cliente",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Date",,,
"Date or frequency changed",,,
"Dates","Datas",,
"Deadline","Prazo de entrega",,
"Deadline Today","Prazo de entrega hoje",,
"Deadline Tomorrow","Prazo Final Amanhã",,
"Deadline Yesterday","Data-limite Ontem",,
"Decimal",,,
"Default completed",,,
"Default priorities",,,
"Default task status",,,
"Delay to start (Hours)","Atraso de partida (horas)",,
"Delete Permanently",,,
"Delete Section",,,
"Delete Task",,,
"Delete task btn",,,
"Description","Descrição do produto",,
"Do you really want to delete the selected record?",,,
"Done on",,,
"Due Date","Data de vencimento",,
"Due next week",,,
"Due this week",,,
"Duplicate task",,,
"Duration (Hours)","Duração (Horas)",,
"Duration hours","Duração horas",,
"Employee",,,
"Enable Gantt view",,,
"Enable Kanban view per section",,,
"Enable Kanban view per status",,,
"Enable calendar view per section",,,
"Enable calendar view per status",,,
"Enable calendar view per user",,,
"Enable task signature",,,
"Enter Time spent",,,
"Estimated time",,,
"Estimated time (in hours)",,,
"Exclude planning","Excluir planejamento",,
"Expense lines","Linhas de despesas",,
"Expenses","Despesas",,
"Extends members from parent","Amplia o número de membros dos pais",,
"Fields to display",,,
"Financial Data","Dados Financeiros",,
"Financial Report","Relatório financeiro",,
"Find a task",,,
"Finish","Acabamento",,
"Finish tasks to finish","Terminar tarefas para terminar",,
