"name";"roles"
"menu-project-root";"Project Manager|Project User|Project Read"
"project-folder";"Project Manager|Project User|Project Read"
"project-all";"Project Manager|Project User|Project Read"
"project-phases";"Project Manager|Project User|Project Read"
"project-tasks";"Project Manager|Project User|Project Read"
"project-open-tasks";"Project Manager|Project User|Project Read"
"project-task-history";"Project Manager|Project User|Project Read"
"project-wiki";"Project Manager|Project User|Project Read"
"project-dasbhoard";"Project Manager|Project User|Project Read"
"project-resource";"Project Manager|Project User|Project Read"
"project-resource-booking";"Project Manager|Project User|Project Read"
"project-configurations";"Project Manager"
"project-category";"Project Manager"
"project-resource-type";"Project Manager"
