"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.purchase.all";"com.axelor.apps.purchase.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.purchase.PurchaseOrderLineTax.r";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"x";;;;;;;"role.purchase.r"
"perm.purchase.PurchaseOrderLine.r";"com.axelor.apps.purchase.db.PurchaseOrderLine";"x";;;;;;;"role.purchase.r"
"perm.purchase.PurchaseOrder.r";"com.axelor.apps.purchase.db.PurchaseOrder";"x";;;;;"self.company in (?)";"__user__.companySet";"role.purchase.r"
"perm.purchase.PurchaseRequestCreator.r";"com.axelor.apps.purchase.db.PurchaseRequestCreator";"x";;;;;;;"role.purchase.r"
"perm.purchase.PurchaseRequest.r";"com.axelor.apps.purchase.db.PurchaseRequest";"x";;;;;"self.company in (?)";"__user__.companySet";"role.purchase.r"
"perm.purchase.SupplierCatalog.r";"com.axelor.apps.purchase.db.SupplierCatalog";"x";;;;;;;"role.purchase.r"
"perm.purchase.PurchaseConfig.r";"com.axelor.apps.purchase.db.PurchaseConfig";"x";;;;;;;"role.purchase.r"
"perm.purchase.PurchaseOrderLineTax.rwc";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"x";"x";"x";;;;;"role.purchase.rwc"
"perm.purchase.PurchaseOrderLine.rwc";"com.axelor.apps.purchase.db.PurchaseOrderLine";"x";"x";"x";;;;;"role.purchase.rwc"
"perm.purchase.PurchaseOrder.rwc";"com.axelor.apps.purchase.db.PurchaseOrder";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.purchase.rwc"
"perm.purchase.PurchaseRequestCreator.rwc";"com.axelor.apps.purchase.db.PurchaseRequestCreator";"x";"x";"x";;;;;"role.purchase.rwc"
"perm.purchase.PurchaseRequest.rwc";"com.axelor.apps.purchase.db.PurchaseRequest";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.purchase.rwc"
"perm.purchase.SupplierCatalog.rwc";"com.axelor.apps.purchase.db.SupplierCatalog";"x";"x";"x";;;;;"role.purchase.rwc"
"perm.purchase.PurchaseConfig.rwc";"com.axelor.apps.purchase.db.PurchaseConfig";"x";"x";"x";;;;;"role.purchase.rwc"
"perm.purchase.PurchaseOrderLineTax.rwcde";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"x";"x";"x";"x";"x";;;"role.purchase.rwcde"
"perm.purchase.PurchaseOrderLine.rwcde";"com.axelor.apps.purchase.db.PurchaseOrderLine";"x";"x";"x";"x";"x";;;"role.purchase.rwcde"
"perm.purchase.PurchaseOrder.rwcde";"com.axelor.apps.purchase.db.PurchaseOrder";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.purchase.rwcde"
"perm.purchase.PurchaseRequestCreator.rwcde";"com.axelor.apps.purchase.db.PurchaseRequestCreator";"x";"x";"x";"x";"x";;;"role.purchase.rwcde"
"perm.purchase.PurchaseRequest.rwcde";"com.axelor.apps.purchase.db.PurchaseRequest";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.purchase.rwcde"
"perm.purchase.SupplierCatalog.rwcde";"com.axelor.apps.purchase.db.SupplierCatalog";"x";"x";"x";"x";"x";;;"role.purchase.rwcde"
"perm.purchase.PurchaseConfig.rwcde";"com.axelor.apps.purchase.db.PurchaseConfig";"x";"x";"x";"x";"x";;;"role.purchase.rwcde"
