"key","message","comment","context"
"%s :\n Veuillez configurer le module Achat pour la société %s",,,"java/com/axelor/apps/purchase/exception/IExceptionMessage.java:20"
"50 Latest Supplier Orders",,,"resources/views/Dashboard.xml:130"
"Account",,,"resources/views/PurchaseOrderLine.xml:82"
"Actions",,,"resources/views/PurchaseOrder.xml:87"
"Amount",,,"resources/views/Charts.xml:152
resources/views/Charts.xml:326
resources/views/Charts.xml:79"
"Amount A.T.I.",,,"resources/domains/PurchaseOrderLineTax.xml:12"
"Base W.T.",,,"resources/domains/PurchaseOrderLineTax.xml:10"
"Buyer",,,"resources/domains/PurchaseOrder.xml:26
resources/views/Charts.xml:113"
"By delivery",,,"resources/views/Selects.xml:21"
"Cancel",,,"resources/views/PurchaseOrder.xml:94"
"Canceled",,,"resources/views/Selects.xml:15"
"Clear purchase order",,,"resources/views/PurchaseOrder.xml:97"
"Closed Purchase orders",,,"resources/views/Dashboard.xml:163"
"Company",,,"resources/domains/PurchaseConfig.xml:11
resources/domains/PurchaseOrder.xml:20"
"Completed",,,"resources/views/PurchaseOrder.xml:93"
"Compute",,,"resources/views/PurchaseOrder.xml:88"
"Contact",,,"resources/domains/PurchaseOrder.xml:23"
"Content",,,"resources/views/PurchaseOrder.xml:65"
"Create RFQ",,,"resources/views/Menu.xml:60"
"Currency",,,"resources/domains/PurchaseOrder.xml:27"
"Current Purchase Orders",,,"resources/views/Dashboard.xml:99"
"Dashboard",,,"resources/views/Dashboard.xml:137
resources/views/Dashboard.xml:8
resources/views/Dashboard.xml:89"
"Delivery",,,"resources/views/PurchaseOrder.xml:59
resources/views/PurchaseOrderLine.xml:67"
"Delivery Date",,,"resources/domains/PurchaseOrder.xml:28"
"Description",,,"resources/domains/PurchaseOrderLine.xml:19"
"Desired delivery date",,,"resources/domains/PurchaseOrderLine.xml:31"
"Details",,,"resources/views/PurchaseOrderLine.xml:63"
"Devis",,,"java/com/axelor/apps/purchase/web/PurchaseOrderController.java:128"
"Discount",,,"resources/views/PurchaseOrderLine.xml:58"
"Discount amount",,,"resources/domains/PurchaseOrderLine.xml:22"
"Draft",,,"resources/views/PurchaseOrder.xml:89
resources/views/Selects.xml:10"
"Estim. delivery date",,,"resources/domains/PurchaseOrderLine.xml:30"
"Financial terms",,,"resources/views/PurchaseOrder.xml:70"
"Finished",,,"resources/views/Selects.xml:14"
"Free",,,"resources/views/Selects.xml:20"
"From Date",,,"resources/views/Charts.xml:120
resources/views/Charts.xml:158
resources/views/Charts.xml:20
resources/views/Charts.xml:209
resources/views/Charts.xml:238
resources/views/Charts.xml:270
resources/views/Charts.xml:299
resources/views/Charts.xml:53
resources/views/Charts.xml:86"
"Full name",,,"resources/domains/PurchaseOrder.xml:11"
