"key","message","comment","context"
"%s :\n Veuillez configurer le module Achat pour la société %s",,,
"50 Latest Supplier Orders","50 dernières commandes clients",,
"Account","Tiers",,
"Actions",,,
"Amount","Montant",,
"Amount A.T.I.","Montant T.T.C.",,
"Base W.T.","Base H.T.",,
"Buyer","Acheteur",,
"By delivery","Par Livraison",,
"Cancel","Annuler",,
"Canceled","Annulé(e)",,
"Clear purchase order","Nettoyer la commande",,
"Closed Purchase orders","Commandes d'achat terminées",,
"Company","Société",,
"Completed","Complété(e)",,
"Compute","Calculer",,
"Contact","Contact",,
"Content","Contenu",,
"Create RFQ","Créer Demande de devis",,
"Currency","Devise",,
"Current Purchase Orders","Commandes d'achat en cours",,
"Dashboard","Tableau de bord",,
"Delivery","Livraison",,
"Delivery Date","Date de livraison",,
"Description","Description",,
"Desired delivery date","Date souhaitée de livraison",,
"Details","Détails",,
"Devis",,,
"Discount","Remise",,
"Discount amount","Montant remise",,
"Draft","Brouillon",,
"Estim. delivery date","Date de livraison estimée",,
"Financial terms","Terms financiers",,
"Finished","Terminé",,
"Free","Libre",,
"From Date","Date de",,
"Full name","Réf.",,
"Generate control invoice","Générer facture de contrôle",,
"Generate suppliers requests","Générer demandes de devis fourn.",,
"Historical Period","Période d'historique",,
"Import","Importer",,
"In % / fixed","En % / Fixe",,
"Info.","Info.",,
"Internal Ref.","Réf. Interne",,
"Invoicing","Facturation",,
"Invoicing Information","Information de facturation",,
"La société %s n'a pas de séquence de configurée pour les commandes fournisseur",,,
"Label","Libellé",,
"Links","Liens",,
"Min sale price","Prix de vente min.",,
"Month","Mois",,
"My Closed Purchase Orders","Mes commandes d'achat clôturées",,
"My Ongoing Purchase Orders","Mes commandes d'achat en cours",,
"My Orders to process","Mes commandes d'achat à traiter",,
"My Purchase Orders","Mes commandes d'achat",,
"My RFQs","Mes demandes de devis ",,
"My RFQs and POs To Validate (Requested & Received)","Mes demandes de devis ",,
"My Sales","Mes ventes",,
"My Validated POs","Mes commandes d'achat validées",,
"My purchased amount by product family","Mon volume d'achats (montant) par famille de produit",,
"My purchased qty by product family","Mon volume d'achats (qté) par famille de produit",,
"Nbr of PO by month","Nbr de commandes par mois",,
"New Purchase order","Nouv. Commande d'achat",,
"Notes",,,
"Ongoing Purchase orders","Commandes d'achat en cours",,
"Order Date","Date de commande",,
"Ordered ?","Commandé ? ",,
"Orders","Commandes",,
"Other information","Autres informations",,
"PO Lines","Lignes de Cmde",,
"PO Management","Gestion commandes achats",,
"PO Tax line","Ligne de taxes achat",,
"PO Tax lines","Lignes de taxes achats",,
"PO line","Ligne de Cmde",,
"PO lines","Lignes de Cmde",,
"POs Volume by buyer by family","Vol. d'achat par acheteur par famille",,
"Per order","Par commande",,
"Percent","Pourcentage",,
"Price list","Liste de prix",,
"Print","Imprimer",,
"Product","Produit",,
"Product Family","Famille de produit",,
"Product variant","Variante de produit",,
"Products list","Liste de produits",,
"Purchase Buyer Dashboard","Tableau de bord Acheteur",,
"Purchase Buyer Db","Tb Acheteur",,
"Purchase Manager Dashboard","Tableau de bord Manager Achat",,
"Purchase Manager Db","Td Manager Achat",,
"Purchase Order Dashboard","Tableau de bord Achats",,
"Purchase Order Db","Tb Achats",,
"Purchase batches","Batchs liés aux Achats",,
"Purchase config","Config. Achats",,
"Purchase configuration","Configuration Achat",,
"Purchase configurations","Configurations Achat",,
"Purchase order","Commande Achat",,
"Purchase orders","Commandes",,
"PurchaseOrder.bankDetails","Banque",,
"PurchaseOrder.bankingInfo","Informations bancaires",,
"PurchaseOrder.base","Base",,
"PurchaseOrder.cheque","Chèque",,
"PurchaseOrder.customer","Fournisseur",,
"PurchaseOrder.customerRef","Ref. fournisseur",,
"PurchaseOrder.deliveryDate","Date de livraison",,
"PurchaseOrder.note","Remarque",,
"PurchaseOrder.paymentCondition","Condition de paiement",,
"PurchaseOrder.paymentMode","Mode de paiement",,
"PurchaseOrder.priceExclTax","Prix H.T.",,
"PurchaseOrder.productDescription","Produit/Description",,
"PurchaseOrder.purchaseInfo","Information d'achat",,
"PurchaseOrder.qtyUnit","Quantité",,
"PurchaseOrder.state","Etat",,
"PurchaseOrder.supplier","Fournisseur",,
"PurchaseOrder.supplyRef","Ref. fournisseur",,
"PurchaseOrder.tax","T.V.A.",,
"PurchaseOrder.taxAmount","Montant T.V.A.",,
"PurchaseOrder.totalExclTax","Total H.T.",,
"PurchaseOrder.totalInclTax","Total T.T.C.",,
"PurchaseOrder.totalTax","Total T.V.A.",,
"PurchaseOrder.unitPrice","Prix unitaire",,
"Purchased amount by family","Montants achats par famille",,
"Purchased amount by product family","Montants achats par famille de produit",,
"Purchased amount distribution by family","Répartition des achats par famille",,
"Purchases","Achats",,
"Purchases Dashboard 1","Tb Achat 1",,
"Purchases Dashboard 2","Tb Achat 2",,
"Purchases Dashboard 3","Tb Achat 3",,
"Purchases Db 1","Tb Achat 1",,
"Purchases Db 2","Tb Achat 2",,
"Purchases Db 3","Tb Achat 3",,
"Purchases Order filters","Filtres Achats",,
"Purchases order invoicing type","Type facturation achats",,
"Qty","Qté",,
"Quantity","Quantité",,
"RFQ","Devis",,
"RFQ And PO To Validate","Devis et Cmde à valider",,
"RFQs & Orders","Devis & Cmdes",,
"Receipt","Reçu",,
"Received","Reçu(e)",,
"Ref.","Réf.",,
"Remaining","Reste à payer",,
"Requested","Demandé",,
"Sale price","Prix de vente",,
"Send Email","Envoyer Email",,
"Send email","Envoyer Email",,
"Seq.","Séq.",,
"Show invoice","Voir facture",,
"Status","Statut",,
"Subtotal W.T.","Sous-total H.T.",,
"Supplier","Fournisseur",,
"Supplier RFQ/PO","Fournisseur Devis/Cmde",,
"Supplier RFQs/POs","Fournisseur Devis/Cmdes",,
"Supplier information","Info. Fournisseur",,
"Supplier invoices","Factures fournisseur",,
"Supplier ref.","Réf. Fournisseur",,
"Suppliers requests","Demandes de cotation",,
"Tax","Taxe",,
"Tax Lines","Lignes de taxe",,
"Tax amount","Montant",,
"The field 'Location' must be filled.","Le champ 'Location' doit être rempli.",,
"To Date","A",,
"Total","Total",,
"Total A.T.I.","Total T.T.C.",,
"Total Purchased Amount by month","Montant total Achats par mois",,
"Total Purchased Qty by month","Qté totale Achats par mois",,
"Total Tax","Total Taxe",,
"Total W.T.","Total H.T.",,
"Total W.T. in company currency","Total H.T. Devise Sté",,
"Turn Over","Chiffre d'affaire Achat",,
"Unit","Unité",,
"Unit price","Prix unitaire",,
"Units","Unités",,
"V.A.T.","T.V.A.",,
"Validate","Valider",,
"Validated","Validé(e)",,
"Validated by","Validé par",,
"Validation date","Date de validation",,
"View Orders","Voir Commandes",,
"View RFQ","Voir Demandes de devis",,
"help:PurchaseOrder.internalReference","Se réfère à un document interne comme un devis, autre commande d'achat, réception…",,
"help:PurchaseOrderLine.estimatedDelivDate","Estimée par le fournisseur",,
