"key","message","comment","context"
"50 Latest Supplier Orders","50 últimos pedidos de fornecedores",,
"A tax line is missing","Falta uma linha de imposto",,
"ABC analysis",,,
"ATI","ATI",,
"AbcAnalysis.endDate",,,
"AbcAnalysis.startDate",,,
"Accept","Aceitar",,
"Accept and generate PO","Aceitar e gerar pedido",,
"Accepted","Aceite",,
"Actions","Ações",,
"Add","Adicionar",,
"All requests accepted","Todos os pedidos aceites",,
"All requests sent","Todos os pedidos enviados",,
"Amount","Montante",,
"Amount A.T.I.","Montante A.T.I.",,
"Amount Tax",,,
"Amount invoiced W.T.","Montante faturado W.T.",,
"Amount to be spread over the timetable","Montante a repartir ao longo do calendário",,
"Analytic distribution",,,
"Analytic distribution required on purchase order line",,,
"Analytics","Análises",,
"App purchase","Compra de aplicativos",,
"Apply to all","Aplicar a todos",,
"Attributes","Atributos",,
"Base W.T.","Base W.T.",,
"Budget","Orçamentos",,
"Budget distribution","Distribuição de orçamento",,
"Business Project","Projeto de Negócios",,
"Business project","Projeto empresarial",,
"Buyer","Comprador",,
"Calculated price/Qty","Preço calculado/Quantidade",,
"Cancel","Cancelar",,
"Cancel receipt","Cancelar recibo",,
"Canceled","Cancelado",,
"Characteristics","Características",,
"Closed Purchase orders","Pedidos fechados",,
"Code",,,
"Company","Empresa",,
"Company bank","Banco da empresa",,
"Configuration","Configuração",,
"Confirm","Confirmar",,
"Confirm my cart","Confirmar o meu carrinho",,
"Confirmation","Confirmação",,
"Contact","Contato",,
"Contact partner","Parceiro de contato",,
"Contacts","Contactos",,
"Content","Conteúdo",,
"Currency","Moeda",,
"Current Purchase orders","Pedidos atuais",,
"Custom field","Campo personalizado",,
"Custom fields","Campos personalizados",,
"Dashboard","Painel de instrumentos",,
"Dates","Datas",,
"Deliver","Entregar",,
"Deliver Partially","Entrega parcial",,
"Delivery","Entrega",,
"Description","Descrição do produto",,
"Description To Display","Descrição Para exibir",,
"Desired receipt date",,,
"Discount Type","Tipo de desconto",,
"Discount amount","Valor do desconto",,
"Discount rate","Taxa de desconto",,
"Display buyer on printing","Exibir comprador na impressão",,
"Display price on requested purchase printing","Exibir preço na impressão da compra solicitada",,
"Display product code on printing","Exibir código de produto na impressão",,
"Display product detail on printing","Exibir detalhes do produto na impressão",,
"Display purchase order line number",,,
"Display supplier code on printing",,,
"Display tax detail on printing","Exibir detalhes de imposto na impressão",,
"Displayed Product name","Nome do produto exibido",,
"Draft","Rascunho",,
"Enable product description copy","Ativar cópia da descrição do produto",,
"End date",,,
"Estim. receipt date",,,
"Estimated delivery Date","Data estimada de entrega",,
"Filter on supplier","Filtro no fornecedor",,
"Finish the order","Concluir a ordem",,
"Finished","Acabado",,
"Fixed Assets","Imobilizado",,
"Follow-up","Acompanhamento",,
"From Date","Data de início",,
"Full name","Nome completo",,
"Generate PO","Gerar pedido",,
"Generate control invoice","Gerar fatura de controle",,
"Generate purchase configurations","Gerar configurações de compra",,
"Generate supplier arrival","Gerar chegada do fornecedor",,
"Generate suppliers requests","Gerar solicitações de fornecedores",,
"Group by product","Agrupar por produto",,
"Group by supplier","Agrupar por fornecedor",,
"Historical","Histórico",,
"Historical Period","Período Histórico",,
"In ATI","Em ATI",,
"In Stock Moves","Em movimentos de estoque",,
"Information","Informação",,
"Internal Note","Nota interna",,
"Internal Ref.","Ref. interna",,
"Internal note","Nota interna",,
"Internal purchase requests",,,
"Invoice Lines","Linhas de faturas",,
"Invoiced","Faturação",,
"Invoices","Facturas",,
"Invoicing","Facturação",,
"Last update","Última atualização",,
"Manage multiple purchase quantity","Administrar várias quantidades de compras",,
"Manage purchase order versions","Administrar versões de pedidos",,
"Manage purchases unit on products","Gerir a unidade de compras nos produtos",,
"Manage supplier catalog","Gerenciar catálogo de fornecedores",,
"Merge into single purchase order","Fusão em um único pedido de compra",,
"Merge purchase orders","Fusão de pedidos de compra",,
"Merge quotations","Fundir cotações",,
"Message for requesting prices","Mensagem de solicitação de preços",,
"Min sale price","Preço de venda mínimo",,
"Month","Mês",,
"My Closed Purchase orders","Meus pedidos de compra fechados",,
"My Ongoing Purchase orders","Meus pedidos de compra em andamento",,
"My Orders to process","Minhas Encomendas a processar",,
"My Purchase orders","Minhas ordens de compra",,
"My Purchase request","Meu pedido de compra",,
"My RFQs","Minhas solicitações de cotação",,
"My RFQs and POs To Validate (Requested & Received)","Minhas solicitações de cotação e pedidos a validar (solicitadas e recebidas)",,
"My Sales","Minhas vendas",,
"My Validated POs","As minhas OP validadas",,
"My purchased amount by product accounting family",,,
"My purchased qty by product accounting family",,,
"Name","Nome e Sobrenome",,
"Nbr of PO by month","Quantidade de PO por mês",,
"New product","Novo produto",,
"New version","Nova versão",,
"Not invoiced","Não faturado",,
"Not received","Não recebido",,
"OR","OU",,
"Ongoing Purchase orders","Pedidos de compra em curso",,
"Order Date","Data do pedido",,
"Ordered","Encomendado",,
"Overview","Visão Geral",,
"PO Management","Gestão de PO",,
"PO Tax line","PO Linha de imposto",,
"PO Tax lines","Linhas de imposto PO",,
"PO line","Linha PO",,
"PO lines","Linhas PO",,
"PO lines detail","Detalhe",,
"POs Volume by buyer by accounting family",,,
"Partial delivery","Fornecimento parcial",,
"Partially invoiced","Parcialmente faturado",,
"Partially received","Parcialmente recebidos",,
"Partner price lists","Listas de preços de parceiros",,
"Percent","Porcentagem",,
"Please enter at least one detail line.",,,
"Please enter supplier for following purchase request : %s",,,
"Please fill printing settings on following purchase orders: %s","Por favor, preencha as configurações de impressão nos seguintes pedidos de compra: %s",,
"Please fill printing settings on purchase order %s","Por favor, preencha as configurações de impressão no pedido de compra %s",,
