"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.purchase.PurchaseOrderLineTax.r";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"x";;;;;;;"Purchase Read"
"perm.purchase.PurchaseOrderLine.r";"com.axelor.apps.purchase.db.PurchaseOrderLine";"x";;;;;;;"Purchase Read"
"perm.purchase.PurchaseOrder.r";"com.axelor.apps.purchase.db.PurchaseOrder";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Purchase Read"
"perm.purchase.SupplierCatalog.r";"com.axelor.apps.purchase.db.SupplierCatalog";"x";;;;;;;"Purchase Read"
"perm.purchase.PurchaseConfig.r";"com.axelor.apps.purchase.db.PurchaseConfig";"x";;;;;;;"Purchase Read"
"perm.purchase.PurchaseOrderLineTax.rwc";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"x";"x";"x";;;;;"Purchase User"
"perm.purchase.PurchaseOrderLine.rwc";"com.axelor.apps.purchase.db.PurchaseOrderLine";"x";"x";"x";;;;;"Purchase User"
"perm.purchase.PurchaseOrder.rwc";"com.axelor.apps.purchase.db.PurchaseOrder";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Purchase User"
"perm.purchase.SupplierCatalog.rwc";"com.axelor.apps.purchase.db.SupplierCatalog";"x";"x";"x";;;;;"Purchase User"
"perm.purchase.PurchaseConfig.rwc";"com.axelor.apps.purchase.db.PurchaseConfig";"x";"x";"x";;;;;"Purchase User"
"perm.purchase.PurchaseOrderLineTax.rwcde";"com.axelor.apps.purchase.db.PurchaseOrderLineTax";"x";"x";"x";"x";"x";;;"Purchase Manager"
"perm.purchase.PurchaseOrderLine.rwcde";"com.axelor.apps.purchase.db.PurchaseOrderLine";"x";"x";"x";"x";"x";;;"Purchase Manager"
"perm.purchase.PurchaseOrder.rwcde";"com.axelor.apps.purchase.db.PurchaseOrder";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Purchase Manager"
"perm.purchase.SupplierCatalog.rwcde";"com.axelor.apps.purchase.db.SupplierCatalog";"x";"x";"x";"x";"x";;;"Purchase Manager"
"perm.purchase.PurchaseConfig.rwcde";"com.axelor.apps.purchase.db.PurchaseConfig";"x";"x";"x";"x";"x";;;"Purchase Manager"
