"key","message","comment","context"
"Status","Statut",,
"Reference","Référence",,
"Company","Société",,
"Origin","Origine",,
"Partner","Tiers",,
"Contacts","Contacts",,
"Title","Titre",,
"Description","Description",,
"Responsibles","Responsables",,
"Analysis deadline","Date butoir analyse",,
"Assigment date","Date affectation",,
"Analysis date","Date analyse",,
"Correction deadline","Date butoir correction",,
"Correction details","Détails de la correction",,
"Effective correction date","Date de correction effective",,
"Post-correction assessment deadline","Date butoir de bilan",,
"Post-correction assessment","Bilan de la correction",,
"Post-correction assessment date","Date du bilan",,
"Closing Comment","Commentaire de clôture",,
"Closing date","Date clôture",,
"Canceled","Annulé",,
"Created","Créé",,
"Confirmed","Confirmé",,
"Assigned","Assigné",,
"Analyzed","Analysé",,
"Corrected","Corrigé",,
"Assessed","Évalué",,
"Closed","Clôturé",,
"QMS","SMQ",,
"Improvement form","Fiche d'amélioration",,
"Improvement forms","Fiches d'amélioration",,
