"code";"name";"importId";"origin";"isProductOrigin";"isSystemOrigin";"isCausalAnalysis"
"A1";"Analyse causale impliquant un achat";"1";"0";"false";"true";"true"
"A2";"Analyse causale impliquant un projet ou OF interne";"2";"0";"false";"true";"true"
"F4";"Chez le fournisseur lors d'un audit";"3";"1";"true";"false";"false"
"F5";"En interne lors de la réception d'une commande";"4";"1";"true";"false";"false"
"I3";"En interne lors du contrôle final";"5";"2";"true";"false";"false"
"I4";"En interne lors d'un audit";"6";"2";"true";"false";"false"
"I2";"En interne lors d'un contrôle intermédiaire";"7";"2";"true";"false";"false"
"I5";"En interne lors d'un contrôle volant";"8";"2";"true";"false";"false"
"C4";"Par le client après livraison";"9";"3";"true";"false";"false"
"C1";"Par le client lors de la réception";"10";"2";"true";"false";"false"
"C2";"Par le client lors de l'utilisation";"11";"2";"true";"false";"false"
"C3";"Par le client lors d'un audit";"12";"2";"true";"false";"false"
"F2";"Par le fournisseur après livraison";"13";"1";"true";"false";"false"
"F1";"Par le fournisseur avant livraison";"14";"1";"true";"false";"false"
"F3";"Par le fournisseur lors d'un contrôle réception";"15";"1";"true";"false";"false"
