"key","message","comment","context"
"0","0 0",,
"1","1",,
"2","2",,
"3","3",,
"4","4 4",,
"5","5 5",,
"Action proposed","Acción propuesta",,
"Actions","Comportamiento",,
"Add optional control points","Agregar puntos de control opcionales",,
"Alert calendar","Calendario de alertas",,
"App quality","Calidad de la aplicación",,
"Applicable","Aplicable",,
"Automatic mail by completing quality control","Correo automático al completar el control de calidad",,
"Calendar","Calendario",,
"Cancel","Cancelar",,
"Canceled","Cancelado",,
"Choose quality process","Elige un proceso de calidad",,
"Close","Cerca",,
"Code","Código",,
"Coefficient","Coeficiente",,
"Compliant","Obediente",,
"Configuration","Configuración",,
"Confirm","Confirmar",,
"Confirmed","Confirmado",,
"Conformity","Conformidad",,
"Control Frequency","Frecuencia de control",,
"Control Points","Puntos de control",,
"Control comment","Comentario de control",,
"Control point","Punto de control",,
"Control point list","Lista de puntos de control",,
"Control point model list","Lista de modelos de puntos de control",,
"Control point name","Nombre del punto de control",,
"Control point type","Tipo de punto de control",,
"Control points","Puntos de control",,
"Corrective actions","Acciones correctivas",,
"Corrective actions list","Lista de acciones correctivas",,
"Customer signature","Firma del cliente",,
"Date","Fecha",,
"Deadline","Fecha límite",,
"Description","Descripción",,
"Details","Detalles",,
"Done","Hecho",,
"Draft","Sequía",,
"Edit control points","Editar puntos de control",,
"End date","Fecha final",,
"File","Expediente",,
"Finish","Terminar",,
"Finished","Terminado",,
"From Date","Partir de la fecha",,
"Full name","Nombre completo",,
"High","Alto",,
"In progress","En progreso",,
"Inspector signature","Firma del inspector",,
"Label","Etiqueta",,
"Low","Bajo",,
"Measuring Type","Tipo de medición",,
"Measuring point list","Lista de puntos de medición",,
"Measuring points","Puntos de medición",,
"Model for quality control","Modelo para control de calidad.",,
"Model for quality control",,,
"My alerts","Mis alertas",,
"My quality controls","Mis controles de calidad",,
"My team alerts","Mi equipo alerta",,
"My team quality controls","Los controles de calidad de mi equipo.",,
"Name","Nombre",,
"New","Nuevo",,
"Normal","Normal",,
"Note","Nota",,
"Notes","Notas",,
"Number of quality alerts","Número de alertas de calidad.",,
"Number of quality controls","Número de controles de calidad.",,
"Number of solved quality alerts","Número de alertas de calidad resueltas",,
"Observations","Observaciones",,
"On hold","En espera",,
"Optional control point list","Lista de puntos de control opcionales",,
"Optional control points","Puntos de control opcionales",,
"Optional quality control","Control de calidad opcional",,
"Optional quality process","Proceso de calidad opcional",,
"Pause","Pausa",,
"Pictures","Imágenes",,
"Plan","Plan",,
"Planned","Planificado",,
"Please complete all control points","Por favor complete todos los puntos de control",,
"Please fill printing settings on quality control","Complete la configuración de impresión en control de calidad",,
"Pre-fill control points","Puntos de control de prellenado",,
"Preventive actions","Acciones preventivas",,
"Print","Impresión",,
"Printing settings","Configuraciones de impresión",,
"Priority","Prioridad",,
"Product","Producto",,
"Project","Proyecto",,
"Propose action","Proponer acción",,
"Quality","Calidad",,
"Quality Dashboard","Panel de calidad",,
"Quality alert","Alerta de calidad",,
"Quality alert filters","Filtros de alerta de calidad",,
"Quality alerts","Alertas de calidad",,
"Quality control","Control de calidad",,
"Quality control calendar","Calendario de control de calidad",,
"Quality control filters","Filtros de control de calidad",,
"Quality controls","Controles de calidad",,
"Quality process","Proceso de calidad",,
"Quality processes","Procesos de calidad",,
"Quality tag","Etiqueta de calidad",,
"Quality teams","Equipos de calidad",,
"QualityControl","Control de calidad",,
"QualityControl.coefficient","Coeficiente",,
"QualityControl.correctiveActions","ACCIONES CORRECTIVAS",,
"QualityControl.customerSignature","CLIENTE",,
"QualityControl.endDate","FECHA",,
"QualityControl.finalNote","Nota final",,
"QualityControl.generalObservation","Observacion general",,
"QualityControl.generalObservation",,,
"QualityControl.inspectorSignature","INSPECTOR",,
"QualityControl.measuringNote","Nota",,
"QualityControl.observation","Observación",,
"QualityControl.project","PROYECTO",,
"QualityControl.projectClient","CLIENTE",,
"QualityControl.qualityControlTitle","CONTROL DE CALIDAD",,
"QualityControl.reference","Referencia",,
"QualityControl.responsible","RESPONSABLE",,
"QualityControl.total","Total",,
"Reference","Referencia",,
"Reportings","Informes",,
"Result","Resultado",,
"Root cause","Causa principal",,
"Root causes","Causas fundamentales",,
"Send email","Enviar correo electrónico",,
"Sequence","Secuencia",,
"Solve","Resolver",,
"Solved","Resuelto",,
"Standby","Colocarse",,
"Start","comienzo",,
"Start date","Fecha de inicio",,
"Status","Estado",,
"Status select","Seleccionar estado",,
"Tag color",,,
"Tags","Etiquetas",,
"Team","Equipo",,
"To Date","Hasta la fecha",,
"Tools","Herramientas",,
"Type","Tipo",,
"Urgent","Urgente",,
"Week(s)","Semana(s)",,
"Work center","Centro de trabajo",,
"counter","mostrador",,
"quality.responsible","Responsable",,
"value:Quality","valor: calidad",,
