"key","message","comment","context"
"% of the operation","% van de operatie",,
"Action proposed","Voorgestelde actie",,
"Actions","Acties",,
"Alert calendar","Waarschuwingskalender",,
"All operations","Alle bewerkingen",,
"Calendar","Kalender",,
"Cancel","Annuleren",,
"Canceled","Geannuleerd",,
"Code","Code",,
"Configuration","Configuratie",,
"Confirm","Bevestigen",,
"Confirmed","Bevestigd",,
"Control Frequency","Controlefrequentie",,
"Control Points","Controlepunten",,
"Control point list","Lijst met controlepunten",,
"Control point model list","Modellijst met controlepunten",,
"Control point name","Naam van het controlepunt",,
"Control points","Controlepunten",,
"Control type","Type besturing",,
"Corrective actions","Corrigerende maatregelen",,
"Create a quality alert","Creëer een kwaliteitswaarschuwing",,
"Date","Datum",,
"Deadline","Uiterste datum",,
"Description","Beschrijving",,
"Draft","Ontwerp",,
"Dummy","Dummy",,
"Edit control points","Controlepunten bewerken",,
"End date","Einddatum",,
"Every","Elke",,
"Fail","Mislukt",,
"Failed","Mislukt",,
"Finish","Afwerking",,
"Finished","Afgewerkt",,
"From Date","Vanaf datum",,
"Full name","Volledige naam",,
"High","Hoog",,
"In progress","In uitvoering",,
"Instructions","Instructies",,
"Label","Etiket",,
"Low","Laag",,
"Measure","Maatregel",,
"Message if failure","Bericht bij storing",,
"My alerts","Mijn waarschuwingen",,
"My quality controls","Mijn kwaliteitscontroles",,
"My team alerts","Mijn teamwaarschuwingen",,
"My team quality controls","Mijn team kwaliteitscontroles",,
"Name","Naam",,
"New","Nieuw",,
"Normal","Normaal",,
"Notes","Opmerkingen",,
"Number of quality alerts","Aantal kwaliteitswaarschuwingen",,
"Number of quality controls","Aantal kwaliteitscontroles",,
"Number of solved quality alerts","Aantal opgeloste kwaliteitswaarschuwingen",,
"Pass","Pas",,
"Pass-fail","Pass-fail",,
"Passed","Overgegaan",,
"Pause","Pauze",,
"Periodically","Periodiek",,
"Plan","Plan",,
"Planned","Gepland",,
"Pre-fill control points","Pre-fill controlepunten",,
"Preventive actions","Preventieve acties",,
"Priority","Prioriteit",,
"Product","Product",,
"Propose action","Actie voorstellen",,
"Quality","Kwaliteit",,
"Quality Dashboard","Kwaliteit Dashboard",,
"Quality alert","Kwaliteitsalarm",,
"Quality alert filters","Kwaliteitswaarschuwingsfilters",,
"Quality alerts","Kwaliteitswaarschuwingen",,
"Quality control","Kwaliteitscontrole",,
"Quality control calendar","Kalender voor kwaliteitscontrole",,
"Quality control filters","Kwaliteitscontrole filters",,
"Quality controls","Kwaliteitscontroles",,
"Quality process","Kwaliteitsproces",,
"Quality processes","Kwaliteitsprocessen",,
"Quality tag","Kwaliteitslabel",,
"Quality teams","Kwaliteitsteams",,
"Randomly","Willekeurig",,
"Reference","Referentie",,
"Reportings","Meldingen",,
"Result","Resultaat",,
"Root cause","Oorzaak",,
"Root causes","Oorzaken",,
"Sequence","Volgorde",,
"Solve","Oplossen",,
"Solved","Opgelost",,
"Standby","Stand-by",,
"Start","Begin",,
"Start date","Startdatum",,
"Status","Status",,
"Status select","Status selecteren",,
"Tags","Tags",,
"Take a picture","Neem een foto",,
"Team","Team",,
"Test type","Type test",,
"To Date","Tot op heden",,
"To do","Doen",,
"Urgent","Dringend",,
"Week(s)","Week(en)",,
"Work center","Werkcentrum",,
"counter","toonbank",,
"quality.responsible","Verantwoordelijk",,
"value:Quality","waarde: Kwaliteit",,
