"key","message","comment","context"
"% of the operation","% da operação",,
"Action proposed","Acção proposta",,
"Actions","Ações",,
"Alert calendar","Calendário de alertas",,
"All operations","Todas as operações",,
"Calendar","Calendário",,
"Cancel","Cancelar",,
"Canceled","Cancelado",,
"Code","Código",,
"Configuration","Configuração",,
"Confirm","Confirmar",,
"Confirmed","Confirmado",,
"Control Frequency","Freqüência de controle",,
"Control Points","Pontos de Controle",,
"Control point list","Lista de pontos de controle",,
"Control point model list","Lista de modelos de pontos de controle",,
"Control point name","Nome do ponto de controle",,
"Control points","Pontos de controle",,
"Control type","Tipo de controle",,
"Corrective actions","Ações corretivas",,
"Create a quality alert","Criar um alerta de qualidade",,
"Date","Data",,
"Deadline","Prazo de entrega",,
"Description","Descrição do produto",,
"Draft","Rascunho",,
"Dummy","Dummy",,
"Edit control points","Processar pontos de controle",,
"End date","Data final",,
"Every","Cada",,
"Fail","Falha",,
"Failed","Falhada",,
"Finish","Acabamento",,
"Finished","Acabado",,
"From Date","Data de início",,
"Full name","Nome completo",,
"High","Alto",,
"In progress","Em curso",,
"Instructions","Instruções de uso",,
"Label","Rótulo",,
"Low","Baixo",,
"Measure","Medida",,
"Message if failure","Mensagem em caso de falha",,
"My alerts","Meus alertas",,
"My quality controls","Meus controles de qualidade",,
"My team alerts","Alertas da minha equipa",,
"My team quality controls","Os controlos de qualidade da minha equipa",,
"Name","Nome e Sobrenome",,
"New","Novo",,
"Normal","Normal",,
"Notes","Notas",,
"Number of quality alerts","Número de alertas de qualidade",,
"Number of quality controls","Número de controlos de qualidade",,
"Number of solved quality alerts","Número de alertas de qualidade resolvidos",,
"Pass","Passe",,
"Pass-fail","Reprovação",,
"Passed","Passado",,
"Pause","Pausa",,
"Periodically","Periodicamente",,
"Plan","Plano",,
"Planned","Planejado",,
"Pre-fill control points","Pontos de controle de pré-carga",,
"Preventive actions","Acções preventivas",,
"Priority","Prioridade",,
"Product","Produto",,
"Propose action","Propor acção",,
"Quality","Qualidade",,
"Quality Dashboard","Painel de Controle de Qualidade",,
"Quality alert","Alerta de qualidade",,
"Quality alert filters","Filtros de alerta de qualidade",,
"Quality alerts","Alertas de qualidade",,
"Quality control","Controle de qualidade",,
"Quality control calendar","Calendário de controle de qualidade",,
"Quality control filters","Filtros de controle de qualidade",,
"Quality controls","Controles de qualidade",,
"Quality process","Processo de qualidade",,
"Quality processes","Processos de qualidade",,
"Quality tag","Etiqueta de qualidade",,
"Quality teams","Equipes de qualidade",,
"Randomly","Aleatoriamente",,
"Reference","Referência",,
"Reportings","Relatórios",,
"Result","Resultado",,
"Root cause","Causa raiz",,
"Root causes","Causas profundas",,
"Sequence","Seqüência",,
"Solve","Resolver",,
"Solved","Resolvido",,
"Standby","Espera",,
"Start","Início",,
"Start date","Data de início",,
"Status","Estado",,
"Status select","Seleção de status",,
"Tags","Etiquetas",,
"Take a picture","Tire uma foto",,
"Team","Equipe",,
"Test type","Tipo de teste",,
"To Date","Até à data",,
"To do","Para fazer",,
"Urgent","Urgente",,
"Week(s)","Semana(s)",,
"Work center","Centro de trabalho",,
"counter","contador",,
"quality.responsible","Responsável",,
"value:Quality","valor:Qualidade",,
