"name";"roles"
"menu-quality-root";"Quality Manager|Quality User|Quality Read"
"quality-controls-root";"Quality Manager|Quality User|Quality Read"
"quality-processes";"Quality Manager|Quality User|Quality Read"
"quality-controls";"Quality Manager|Quality User|Quality Read"
"quality-control-points";"Quality Manager|Quality User|Quality Read"
"quality-alerts";"Quality Manager|Quality User|Quality Read"
"quality-calendar";"Quality Manager|Quality User|Quality Read"
"quality-alert-calendar";"Quality Manager|Quality User|Quality Read"
"quality-control-calendar";"Quality Manager|Quality User|Quality Read"
"quality-reportings";"Quality Manager|Quality User|Quality Read"
"quality-reportings-dashboard";"Quality Manager|Quality User|Quality Read"
"quality-configurations";"Quality Manager"
"quality-teams";"Quality Manager"
"quality-root-causes";"Quality Manager"
"quality-tags";"Quality Manager"
