"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.quality.ControlPoint.r";"com.axelor.apps.quality.db.ControlPoint";"x";;;;;;;"Quality Read"
"perm.quality.QualityAlert.r";"com.axelor.apps.quality.db.QualityAlert";"x";;;;;;;"Quality Read"
"perm.quality.QualityControl.r";"com.axelor.apps.quality.db.QualityControl";"x";;;;;;;"Quality Read"
"perm.quality.QualityTag.r";"com.axelor.apps.quality.db.QualityTag";"x";;;;;;;"Quality Read"
"perm.quality.ControlPointModel.r";"com.axelor.apps.quality.db.ControlPointModel";"x";;;;;;;"Quality Read"
"perm.quality.RootCause.r";"com.axelor.apps.quality.db.RootCause";"x";;;;;;;"Quality Read"
"perm.quality.QualityProcess.r";"com.axelor.apps.quality.db.QualityProcess";"x";;;;;;;"Quality Read"
"perm.quality.ControlPointType.r";"com.axelor.apps.quality.db.ControlPointType";"x";;;;;;;"Quality Read"
"perm.quality.QualityCorrectiveAction.r";"com.axelor.apps.quality.db.QualityCorrectiveAction";"x";;;;;;;"Quality Read"
"perm.quality.QualityMeasuringPoint.r";"com.axelor.apps.quality.db.QualityMeasuringPoint";"x";;;;;;;"Quality Read"
"perm.quality.QualityPictures.r";"com.axelor.apps.quality.db.QualityPictures";"x";;;;;;;"Quality Read"
"perm.quality.ControlPoint.rwc";"com.axelor.apps.quality.db.ControlPoint";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityAlert.rwc";"com.axelor.apps.quality.db.QualityAlert";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityControl.rwc";"com.axelor.apps.quality.db.QualityControl";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityTag.rwc";"com.axelor.apps.quality.db.QualityTag";"x";"x";"x";;;;;"Quality User"
"perm.quality.ControlPointModel.rwc";"com.axelor.apps.quality.db.ControlPointModel";"x";"x";"x";;;;;"Quality User"
"perm.quality.RootCause.rwc";"com.axelor.apps.quality.db.RootCause";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityProcess.rwc";"com.axelor.apps.quality.db.QualityProcess";"x";"x";"x";;;;;"Quality User"
"perm.quality.ControlPointType.rwc";"com.axelor.apps.quality.db.ControlPointType";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityCorrectiveAction.rwc";"com.axelor.apps.quality.db.QualityCorrectiveAction";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityMeasuringPoint.rwc";"com.axelor.apps.quality.db.QualityMeasuringPoint";"x";"x";"x";;;;;"Quality User"
"perm.quality.QualityPictures.rwc";"com.axelor.apps.quality.db.QualityPictures";"x";"x";"x";;;;;"Quality User"
"perm.quality.ControlPoint.rwcde";"com.axelor.apps.quality.db.ControlPoint";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityAlert.rwcde";"com.axelor.apps.quality.db.QualityAlert";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityControl.rwcde";"com.axelor.apps.quality.db.QualityControl";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityTag.rwcde";"com.axelor.apps.quality.db.QualityTag";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.ControlPointModel.rwcde";"com.axelor.apps.quality.db.ControlPointModel";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.RootCause.rwcde";"com.axelor.apps.quality.db.RootCause";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityProcess.rwcde";"com.axelor.apps.quality.db.QualityProcess";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.ControlPointType.rwcde";"com.axelor.apps.quality.db.ControlPointType";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityCorrectiveAction.rwcde";"com.axelor.apps.quality.db.QualityCorrectiveAction";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityMeasuringPoint.rwcde";"com.axelor.apps.quality.db.QualityMeasuringPoint";"x";"x";"x";"x";"x";;;"Quality Manager"
"perm.quality.QualityPictures.rwcde";"com.axelor.apps.quality.db.QualityPictures";"x";"x";"x";"x";"x";;;"Quality Manager"
