"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.sale.all";"com.axelor.apps.sale.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.sale.SaleBatch.r";"com.axelor.apps.sale.db.SaleBatch";"x";;;;;"self.company in (?)";"__user__.companySet";"role.sale.r"
"perm.sale.SaleOrder.r";"com.axelor.apps.sale.db.SaleOrder";"x";;;;;"self.company in (?)";"__user__.companySet";"role.sale.r"
"perm.sale.AdvancePayment.r";"com.axelor.apps.sale.db.AdvancePayment";"x";;;;;;;"role.sale.r"
"perm.sale.PackLine.r";"com.axelor.apps.sale.db.PackLine";"x";;;;;;;"role.sale.r"
"perm.sale.Configurator.r";"com.axelor.apps.sale.db.Configurator";"x";;;;;;;"role.sale.r"
"perm.sale.ConfiguratorFormula.r";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";;;;;;;"role.sale.r"
"perm.sale.SaleOrderLine.r";"com.axelor.apps.sale.db.SaleOrderLine";"x";;;;;;;"role.sale.r"
"perm.sale.SaleOrderLineTax.r";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";;;;;;;"role.sale.r"
"perm.sale.ConfiguratorCreator.r";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";;;;;;;"role.sale.r"
"perm.sale.SaleConfig.r";"com.axelor.apps.sale.db.SaleConfig";"x";;;;;;;"role.sale.r"
"perm.sale.SaleOrderScheduleLine.r";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";;;;;;;"role.sale.r"
"perm.sale.SaleBatch.rwc";"com.axelor.apps.sale.db.SaleBatch";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.sale.rwc"
"perm.sale.SaleOrder.rwc";"com.axelor.apps.sale.db.SaleOrder";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.sale.rwc"
"perm.sale.AdvancePayment.rwc";"com.axelor.apps.sale.db.AdvancePayment";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.PackLine.rwc";"com.axelor.apps.sale.db.PackLine";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.Configurator.rwc";"com.axelor.apps.sale.db.Configurator";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.ConfiguratorFormula.rwc";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.SaleOrderLine.rwc";"com.axelor.apps.sale.db.SaleOrderLine";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.SaleOrderLineTax.rwc";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.ConfiguratorCreator.rwc";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.SaleConfig.rwc";"com.axelor.apps.sale.db.SaleConfig";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.SaleOrderScheduleLine.rwc";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";"x";"x";;;;;"role.sale.rwc"
"perm.sale.SaleBatch.rwcde";"com.axelor.apps.sale.db.SaleBatch";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.sale.rwcde"
"perm.sale.SaleOrder.rwcde";"com.axelor.apps.sale.db.SaleOrder";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.sale.rwcde"
"perm.sale.AdvancePayment.rwcde";"com.axelor.apps.sale.db.AdvancePayment";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.PackLine.rwcde";"com.axelor.apps.sale.db.PackLine";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.Configurator.rwcde";"com.axelor.apps.sale.db.Configurator";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.ConfiguratorFormula.rwcde";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.SaleOrderLine.rwcde";"com.axelor.apps.sale.db.SaleOrderLine";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.SaleOrderLineTax.rwcde";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.ConfiguratorCreator.rwcde";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.SaleConfig.rwcde";"com.axelor.apps.sale.db.SaleConfig";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
"perm.sale.SaleOrderScheduleLine.rwcde";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";"x";"x";"x";"x";;;"role.sale.rwcde"
