"importId";"birtTemplate.importId";"name";"value";"type"
87;26;"Timezone";"${SaleOrder.company?.timezone}";"string"
88;26;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(SaleOrder.clientPartner)}";"string"
89;26;"SaleOrderId";"$SaleOrder.id";"decimal"
90;26;"HeaderHeight";"${SaleOrder.printingSettings?.pdfHeaderHeight}";"decimal"
91;26;"FooterHeight";"${SaleOrder.printingSettings?.pdfFooterHeight}";"decimal"
401;26;"ProformaInvoice";"${hasVariable('ProformaInvoice') && ProformaInvoice }";"boolean"
402;26;"AddressPositionSelect";"${SaleOrder.printingSettings?.addressPositionSelect}";"integer"
674;124;"Timezone";"${SaleOrder.company?.timezone}";"string"
675;124;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(SaleOrder.clientPartner)}";"string"
676;124;"SaleOrderId";"$SaleOrder.id";"decimal"
677;124;"HeaderHeight";"${SaleOrder.printingSettings?.pdfHeaderHeight}";"decimal"
678;124;"FooterHeight";"${SaleOrder.printingSettings?.pdfFooterHeight}";"decimal"
679;124;"ProformaInvoice";"${hasVariable('ProformaInvoice') && ProformaInvoice }";"boolean"
680;124;"AddressPositionSelect";"${SaleOrder.printingSettings?.addressPositionSelect}";"integer"
681;125;"Timezone";"${SaleOrder.company?.timezone}";"string"
682;125;"__locale";"${com.axelor.apps.report.engine.ReportSettings.getPrintingLocale(SaleOrder.clientPartner)}";"string"
683;125;"SaleOrderId";"$SaleOrder.id";"decimal"
684;125;"HeaderHeight";"${SaleOrder.printingSettings?.pdfHeaderHeight}";"decimal"
685;125;"FooterHeight";"${SaleOrder.printingSettings?.pdfFooterHeight}";"decimal"
686;125;"ProformaInvoice";"${hasVariable('ProformaInvoice') && ProformaInvoice }";"boolean"
687;125;"AddressPositionSelect";"${SaleOrder.printingSettings?.addressPositionSelect}";"integer"
