"key","message","comment","context"
"%s :\n Veuillez configurer le module vente pour la société %s",,,"java/com/axelor/apps/sale/exception/IExceptionMessage.java:42"
"Action",,,"resources/domains/SaleBatch.xml:12"
"Actions",,,"resources/views/SaleOrder.xml:117
resources/views/SaleOrder.xml:39
resources/views/SaleOrder.xml:8"
"Amount",,,"resources/views/Charts.xml:260
resources/views/Charts.xml:290
resources/views/Charts.xml:325
resources/views/Charts.xml:358
resources/views/Charts.xml:391
resources/views/Charts.xml:418"
"Amount A.T.I.",,,"resources/domains/SaleOrderLineTax.xml:12"
"Amount Tax",,,"resources/domains/SaleOrderLineTax.xml:11"
"Base W.T.",,,"resources/domains/SaleOrderLineTax.xml:10"
"Batchs",,,"resources/domains/SaleBatch.xml:17
resources/domains/SaleOrder.xml:25"
"Business project",,,"resources/views/SaleOrder.xml:87"
"Call",,,"resources/views/SaleOrder.xml:388"
"Cancel",,,"resources/views/SaleOrder.xml:121"
"Category",,,"resources/views/Charts.xml:680"
"Category sale turnover (Excl. Tax) per month",,,"resources/views/Charts.xml:709
resources/views/Dashboard.xml:228"
"Code",,,"resources/domains/SaleBatch.xml:11"
"Company",,,"resources/domains/SaleBatch.xml:13
resources/domains/SaleConfig.xml:11
resources/domains/SaleOrder.xml:10"
"Compute",,,"resources/views/SaleOrder.xml:118"
"Confirm",,,"resources/views/SaleOrder.xml:119"
"Contact",,,"resources/domains/SaleOrder.xml:29"
"Content",,,"resources/views/SaleOrder.xml:63"
"Country",,,"resources/views/Charts.xml:390"
"Create Quote",,,"resources/views/Menu.xml:73"
"Create SO",,,"resources/views/Menu.xml:62"
"Creation date",,,"resources/domains/SaleOrder.xml:23"
"Currency",,,"resources/domains/SaleOrder.xml:21"
"Customer",,,"resources/domains/SaleOrder.xml:28"
"Customer information",,,"resources/views/SaleOrder.xml:181
resources/views/SaleOrder.xml:53"
"Customer reference",,,"resources/domains/SaleOrder.xml:22"
"Customize BOM",,,"resources/views/SaleOrderLine.xml:43"
"Dashboard",,,"resources/views/Dashboard.xml:56
resources/views/Dashboard.xml:8"
"Default value for sublines",,,"resources/domains/SaleOrder.xml:35"
"Delivery",,,"resources/views/SaleOrderLine.xml:48"
"Delivery address",,,"resources/domains/SaleOrder.xml:32"
"Delivery date",,,"resources/domains/SaleOrderLine.xml:35"
