"key","message","comment","context"
"%s : You must configure Sales module for company %s",,,
"A cancel reason must be selected",,,
"ATI",,,
"Accepted Credit",,,
"Accounted Revenue",,,
"Action",,,
"Actions",,,
"Activate",,,
"Add Line from Configurator",,,
"Adv. payment amount",,,
"Advance Payment",,,
"Advance Payments",,,
"Advance payment amount",,,
"Advance payment needed",,,
"Advance payment total",,,
"Advance payments",,,
"Allocate",,,
"Allocate all",,,
"Allocated stock",,,
"Allow pending order modification",,,
"Amount",,,
"Amount A.T.I.",,,
"Amount Tax",,,
"Amount invoiced W.T.",,,
"Amount to be spread over the timetable",,,
"Analytic distribution",,,
"Analytic distribution required on sale order line",,,
"Analytics",,,
"App sale",,,
"At least one sale order line has a stock move with availability request.",,,
"Attributes",,,
"Authorizations",,,
"Authorized groups",,,
"Authorized users",,,
"Availability Request",,,
"Availability request",,,
"Available stock",,,
"Base W.T.",,,
"Batchs",,,
"Bi-monthly",,,
"Blocked",,,
"Business Project",,,
"Business project",,,
"Calculated fields on configurator",,,
"Cancel",,,
"Cancel Reason",,,
"Cancel Reasons",,,
"Cancel reason",,,
"Cancel reservation",,,
"Canceled",,,
"Canceled orders",,,
"Cancellation",,,
"Cancellation confirmation",,,
"Category",,,
"Category sale turnover (Excl. Tax) per month",,,
"Change allocated qty",,,
"Change requested reserved qty",,,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.",,,
"Characteristics",,,
"Check the script",,,
"Client box in sale order",,,
"Client is sale blocked:",,,
"Close opportunity when one of the linked sale orders is confirmed",,,
"Code",,,
"Comment",,,
"Company",,,
"Company bank",,,
"Company currency",,,
"Complete manually sale order",,,
"Completed orders",,,
"Conditions",,,
"Configuration",,,
"Configurator",,,
"Configurator BoM",,,
"Configurator creator name",,,
"Configurator creators",,,
"Configurator formula list",,,
"Configurator type",,,
"ConfiguratorCreator",,,
"ConfiguratorCreators",,,
"Configurators",,,
"Configure",,,
"Confirm cancellation",,,
"Confirm order",,,
"Confirmation",,,
"Confirmation date",,,
"Confirmed by",,,
"Confirmer",,,
"Contact partner",,,
"Contacts",,,
"Content",,,
"Contract end date",,,
"Contract period in months",,,
"Contract start date",,,
