"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : È necessario configurare il modulo di vendita per l'azienda %s",,
"A cancel reason must be selected","Deve essere selezionato un motivo di annullamento",,
"ABC analysis",,,
"ATI","ATI",,
"AbcAnalysis.endDate",,,
"AbcAnalysis.startDate",,,
"Accepted Credit","Credito accettato",,
"Accounted Revenue","Entrate contabilizzate",,
"Accounting Family sale turnover (Excl. Tax) per month",,,
"Action","Azione",,
"Actions","Azioni",,
"Activate","Attivare",,
"Add Line from Configurator","Aggiungi linea da Configuratore",,
"Adv. payment amount",,,
"Advance Payment","Pagamento anticipato",,
"Advance Payments","Anticipi",,
"Advance payment amount needed",,,
"Advance payment needed",,,
"Advance payment total","Anticipo totale",,
"Advance payments",,,
"Allocate",,,
"Allocate all",,,
"Allocated stock",,,
"Allow pending order modification","Consentire modifiche d'ordine in sospeso",,
"Amount","Importo",,
"Amount A.T.I.","Importo A.T.I.",,
"Amount Tax","Importo Imposta",,
"Amount invoiced W.T.","Importo fatturato W.T.",,
"Amount to be spread over the timetable","Importo da ripartire sull'orario",,
"Analytic distribution",,,
"Analytic distribution required on sale order line",,,
"Analytics","Analisi",,
"App sale","Vendita App",,
"At least one sale order line has a stock move with availability request.",,,
"Attributes","Attributi",,
"Authorizations","Autorizzazioni",,
"Authorized groups","Gruppi autorizzati",,
"Authorized users","Utenti autorizzati",,
"Availability Request",,,
"Availability request",,,
"Available stock","Disponibile a magazzino",,
"Base W.T.","Base W.T.",,
"Batchs","Lotti",,
"Bi-monthly","Bimestrale",,
"Blocked","Bloccato",,
"Business Project","Progetto d'affari",,
"Business project","Progetto imprenditoriale",,
"Calculated fields on configurator","Campi calcolati sul configuratore",,
"Cancel","Annulla",,
"Cancel Reason","Annulla Motivo",,
"Cancel Reasons","Annulla motivi",,
"Cancel reason","Annulla motivo",,
"Cancel reservation",,,
"Canceled","Annullato",,
"Cancellation","Cancellazione",,
"Cancellation confirmation","Conferma di cancellazione",,
"Category","Categoria",,
"Category sale turnover (Excl. Tax) per month","Categoria fatturato di vendita (IVA esclusa) al mese",,
"Change allocated qty","Variazione qtà assegnate qtà",,
"Change requested reserved qty","Variazione richiesta qtà riservata qtà",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Sono state apportate modifiche al creatore del configuratore. Si prega di attivare il creatore del configuratore per utilizzarlo.",,
"Characteristics","Caratteristiche",,
"Check the script","Controllare lo script",,
"Client box in sale order","Scatola cliente in ordine di vendita",,
"Client is sale blocked:","Il cliente è bloccato:",,
"Close opportunity when one of the linked sale orders is confirmed","Opportunità di chiusura quando uno degli ordini di vendita collegati è confermato",,
"Code","Codice",,
"Comment","Commento",,
"Comment to display on delivery",,,
"Comment to display on invoice",,,
"Comment to display on picking order",,,
"Comment to display on proforma",,,
"Company","L'azienda",,
"Company bank","Banca aziendale",,
"Company currency","Valuta dell'azienda",,
"Complete manually sale order","Completare manualmente l'ordine di vendita",,
"Conditions","Condizioni",,
"Configuration","Configurazione",,
"Configurator","Configuratore",,
"Configurator BoM","Configuratore BoM",,
"Configurator creator name","Nome del creatore del configuratore",,
