"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : Musisz skonfigurować moduł sprzedaży dla firmy %s",,
"A cancel reason must be selected","Należy wybrać przyczynę anulowania",,
"ABC analysis",,,
"ATI","ATI",,
"AbcAnalysis.endDate",,,
"AbcAnalysis.startDate",,,
"Accepted Credit","Akceptacja kredytu",,
"Accounted Revenue","Rozliczone przychody",,
"Action","Działanie",,
"Actions","Działania",,
"Activate","Aktywować",,
"Add Line from Configurator","Dodaj linię z Konfiguratora",,
"Advance Payment","Zaliczka",,
"Advance Payments","Zaliczki",,
"Advance payment total","Zaliczka ogółem",,
"Allocate",,,
"Allocate all",,,
"Allocated stock",,,
"Allow pending order modification","Zezwolenie na zmianę zamówienia w toku",,
"Amount","Kwota",,
"Amount A.T.I.","Kwota A.T.I.",,
"Amount Tax","Podatek kwotowy",,
"Amount invoiced W.T.","Kwota zafakturowana W.T.",,
"Amount to be spread over the timetable","Kwota, która ma być rozłożona na cały rozkład jazdy",,
"Analytics","Analityka",,
"App sale","Sprzedaż aplikacji",,
"At least one sale order line has a stock move with availability request.",,,
"Attributes","Atrybuty",,
"Authorizations","Zezwolenia",,
"Authorized groups","Upoważnione grupy",,
"Authorized users","Autoryzowani użytkownicy",,
"Availability Request",,,
"Availability request",,,
"Available stock","Dostępne zapasy",,
"Base W.T.","Podstawa W.T.",,
"Batchs","Partie",,
"Bi-monthly","Dwumiesięcznik",,
"Blocked","Zablokowane",,
"Business Project","Projekt biznesowy",,
"Business project","Projekt biznesowy",,
"Calculated fields on configurator","Pola obliczone w konfiguratorze",,
"Cancel","Anulowanie",,
"Cancel Reason","Przyczyna odwołania",,
"Cancel Reasons","Przyczyny odwołania",,
"Cancel reason","Przyczyna anulowania",,
"Cancel reservation",,,
"Canceled","Anulowany",,
"Cancellation","Anulowanie",,
"Cancellation confirmation","Potwierdzenie anulowania rezerwacji",,
"Category","Kategoria",,
"Category sale turnover (Excl. Tax) per month","Obrót ze sprzedaży kategorii (bez podatku) miesięcznie",,
"Change allocated qty","Zmiana przydzielona ilość",,
"Change requested reserved qty","Zmiana żądanej zastrzeżonej ilości",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Dokonano zmian w konfiguratorze kreatora. Proszę aktywować konfigurator kreatora, aby go używać.",,
"Characteristics","Charakterystyka",,
"Check the script","Sprawdź skrypt",,
"Client box in sale order","Skrzynka kliencka w zamówieniu sprzedaży",,
"Client is sale blocked:","Klient jest zablokowany:",,
"Close opportunity when one of the linked sale orders is confirmed","Bliska możliwość, gdy jedno z powiązanych ze sobą zleceń sprzedaży zostanie potwierdzone",,
"Code","Kod",,
"Comment","Komentarz",,
"Company","Firma",,
"Company bank","Bank przedsiębiorstw",,
"Company currency","Waluta firmy",,
"Complete manually sale order","Kompletne zamówienie sprzedaży ręcznej",,
"Conditions","Warunki",,
"Configuration","Konfiguracja",,
"Configurator","Konfigurator",,
"Configurator BoM","Konfigurator BoM",,
"Configurator creator name","Nazwa kreatora konfiguratora",,
"Configurator creators","Konfigurator kreatorów",,
"Configurator formula list","Lista formuły konfiguratora",,
"Configurator type","Typ konfiguratora",,
"ConfiguratorCreator","KonfiguratorCreator",,
"ConfiguratorCreators","KonfiguratorKreatory",,
"Configurators","Konfiguratory",,
"Configure","Konfiguracja",,
"Confirm cancellation","Potwierdzenie anulowania",,
"Confirm order","Potwierdzenie zamówienia",,
"Confirmation","Potwierdzenie",,
"Confirmation date","Data potwierdzenia",,
"Confirmed by","Potwierdzone przez",,
"Confirmer","Potwierdzający",,
"Contact partner","Kontakt z partnerem",,
"Contacts","Kontakty",,
"Content","Zawartość",,
"Contract end date","Data zakończenia umowy",,
"Contract period in months","Okres obowiązywania umowy w miesiącach",,
"Contract start date","Data rozpoczęcia umowy",,
"Country","Kraj",,
"Create Order from this Template","Utwórz zamówienie z tego szablonu",,
"Create the quotation",,,
"Creation date","Data utworzenia",,
"Currency","Waluta",,
"Current Login user","Aktualny użytkownik Loginu",,
"Custom field","Pole niestandardowe",,
