"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : Você deve configurar o módulo de vendas para a empresa %s",,
"A cancel reason must be selected","Um motivo de cancelamento deve ser selecionado",,
"ABC analysis",,,
"ATI","ATI",,
"AbcAnalysis.endDate",,,
"AbcAnalysis.startDate",,,
"Accepted Credit","Crédito Aceite",,
"Accounted Revenue","Receita Contabilística",,
"Accounting Family sale turnover (Excl. Tax) per month",,,
"Action","Ação",,
"Actions","Ações",,
"Activate","Ativar",,
"Add Line from Configurator","Adicionar linha do Configurador",,
"Adv. payment amount",,,
"Advance Payment","Adiantamento",,
"Advance Payments","Adiantamentos",,
"Advance payment amount needed",,,
"Advance payment needed",,,
"Advance payment total","Total de adiantamentos",,
"Advance payments",,,
"Allocate",,,
"Allocate all",,,
"Allocated stock",,,
"Allow pending order modification","Permitir modificação de ordens pendentes",,
"Amount","Montante",,
"Amount A.T.I.","Montante A.T.I.",,
"Amount Tax","Valor do imposto",,
"Amount invoiced W.T.","Montante faturado W.T.",,
"Amount to be spread over the timetable","Montante a repartir ao longo do calendário",,
"Analytic distribution",,,
"Analytic distribution required on sale order line",,,
"Analytics","Análises",,
"App sale","Venda de aplicativos",,
"At least one sale order line has a stock move with availability request.",,,
"Attributes","Atributos",,
"Authorizations","Autorizações",,
"Authorized groups","Grupos autorizados",,
"Authorized users","Usuários autorizados",,
"Availability Request",,,
"Availability request",,,
"Available stock","Estoque disponível",,
"Base W.T.","Base W.T.",,
"Batchs","Lotes",,
"Bi-monthly","Bimensal",,
"Blocked","Bloqueado",,
"Business Project","Projeto de Negócios",,
"Business project","Projeto empresarial",,
"Calculated fields on configurator","Campos calculados no configurador",,
"Cancel","Cancelar",,
"Cancel Reason","Motivo do cancelamento",,
"Cancel Reasons","Motivos de cancelamento",,
"Cancel reason","Cancelar motivo",,
"Cancel reservation",,,
"Canceled","Cancelado",,
"Cancellation","Cancelamento",,
"Cancellation confirmation","Confirmação de cancelamento",,
"Category","Categoria: Categoria",,
"Category sale turnover (Excl. Tax) per month","Categoria volume de vendas (Excl. Imposto) por mês",,
"Change allocated qty","Modificar quantidade alocada",,
"Change requested reserved qty","Modificação da quantidade reservada solicitada",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Foram feitas alterações no criador do configurador. Por favor, active o criador do configurador para o utilizar.",,
"Characteristics","Características",,
"Check the script","Verifique o script",,
"Client box in sale order","Caixa de cliente em ordem de venda",,
"Client is sale blocked:","Cliente está com a venda bloqueada:",,
"Close opportunity when one of the linked sale orders is confirmed","Fechar a oportunidade quando uma das ordens de venda ligadas é confirmada",,
"Code","Código",,
"Comment","Comentário",,
"Comment to display on delivery",,,
"Comment to display on invoice",,,
"Comment to display on picking order",,,
"Comment to display on proforma",,,
"Company","Empresa",,
"Company bank","Banco da empresa",,
"Company currency","Moeda da empresa",,
"Complete manually sale order","Concluir manualmente a ordem de venda",,
"Conditions","Condições de utilização",,
"Configuration","Configuração",,
"Configurator","Configurador",,
"Configurator BoM","Configurador BoM",,
"Configurator creator name","Nome do criador do configurador",,
"Configurator creators","Criadores do Configurador",,
"Configurator formula list","Lista de fórmulas do configurador",,
"Configurator type","Tipo de configurador",,
"ConfiguratorCreator","ConfiguratorCreator",,
"ConfiguratorCreators","ConfiguratorCreators",,
"Configurators","Configuradores",,
"Configure","Configurar",,
"Confirm cancellation","Confirmar cancelamento",,
"Confirm order","Confirmar ordem",,
"Confirmation","Confirmação",,
"Confirmation date","Data de confirmação",,
"Confirmed by","Confirmado por",,
"Confirmer","Confirmador",,
"Contact partner","Parceiro de contato",,
"Contacts","Contactos",,
"Content","Conteúdo",,
"Contract end date","Data final do contrato",,
"Contract period in months","Período do contrato em meses",,
"Contract start date","Data de início do contrato",,
"Country","País de Origem",,
"Create Order from this Template","Criar ordem a partir deste modelo",,
"Create the quotation",,,
"Creation date","Data de criação",,
"Currency","Moeda",,
"Current Login user","Usuário atual do Login",,
"Custom field","Campo personalizado",,
"Custom fields","Campos personalizados",,
"Customer","Cliente",,
"Customer Catalog","Catálogo de clientes",,
"Customer Catalog Lines","Linhas de catálogo de clientes",,
"Customer Credit","Crédito ao Cliente",,
"Customer catalog lines","Linhas do catálogo de clientes",,
"Customer contact","Contato com o cliente",,
"Customer deliveries","Entregas de clientes",,
"Customer deliveries details","Detalhes das entregas do cliente",,
"Customer information","Informação ao cliente",,
"Customer reference","Referência do cliente",,
"Customer specific note","Nota específica do cliente",,
"Customers","Clientes",,
"Customize BOM","Personalizar lista técnica",,
"Dashboard","Painel de instrumentos",,
"Data file","Arquivo de dados",,
"Date","Data",,
"Dates","Datas",,
"Day","Dia da semana",,
"Deallocate",,,
"Deallocate all",,,
"Default value for sublines","Valor proposto para sublinhas",,
"Define as template","Definir como modelo",,
"Delivered","Entregue",,
"Delivered quantity","Quantidade fornecida",,
"Delivery","Entrega",,
"Delivery address","Endereço de entrega",,
"Delivery conditions","Condições de entrega",,
"Description","Descrição do produto",,
"Description to display","Descrição a exibir",,
"Desired delivery date","Data de entrega desejada",,
"Details Lines","Detalhes Linhas",,
"Discount","Desconto",,
"Discount Type","Tipo de desconto",,
"Discount amount","Valor do desconto",,
"Discount rate","Taxa de desconto",,
"Display customer code on printing",,,
"Display delivery condition on printing","Exibir condição de fornecimento na impressão",,
"Display estimated delivery dates on printing","Exibir datas de remessa estimadas na impressão",,
"Display product code on printing","Exibir código de produto na impressão",,
"Display product picture on printing",,,
"Display sale order line number",,,
"Display saleman on printing","Display saleman na impressão",,
"Display tax detail on printing","Exibir detalhes de imposto na impressão",,
"Displayed Product name","Nome do produto exibido",,
"Draft","Rascunho",,
"Draft quotation","Projecto de orçamento",,
"Durations","Durações",,
"Edit order","Editar ordem",,
"Enable business configurator","Habilitar o configurador de negócios",,
"Enable customer catalog management","Habilitar o gerenciamento do catálogo de clientes",,
"Enable product description copy","Ativar cópia da descrição do produto",,
"End date",,,
"End of current contract period","Fim do período contratual atual",,
"End of validity","Fim da validade",,
"Estimated shipping date",,,
"Excel Export","Exportação do Excel",,
"Export","Exportação",,
"Fill project","Preencher projeto",,
"Finalize","Finalizar",,
"Finalized quotation","Cotação finalizada",,
"Financial terms","Termos financeiros",,
"Formula","Fórmula",,
"From Date","Data de início",,
"Full name","Nome completo",,
"Generate","Gerar",,
