"key","message","comment","context"
"%s ：You must configure Sales module for company %s","%s：您必须为公司%s配置销售模块",,
"%s has been added to your cart.","%s 已添加到您的购物车。",,
"+",,,
"A JavaScript boolean expression against the current form values.","一个针对当前表单值的 JavaScript 布尔表达式。",,
"A cancel reason must be selected","必须选择一个取消原因",,
"ABC analysis","ABC 分析",,
"ATI","含税总价",,
"AbcAnalysis.endDate","结束日期：",,
"AbcAnalysis.startDate","开始日期：",,
"Accepted Credit","接受的信用额度",,
"Access to parent sale order","访问父销售订单",,
"Accounted Revenue","已确认收入",,
"Accounting Family sale turnover (Excl. Tax) per month","每月不含税的会计科目销售总额",,
"Action","操作",,
"Actions","操作",,
"Activate","激活",,
"Activate past versions recovery","激活过去版本的恢复",,
"Actual version overwritten.","当前版本已覆盖",,
"Actual version saved, past version recovered.","当前版本已保存，过去版本已恢复。",,
"Add Line from Configurator","从配置器添加行",,
"Add Pack","添加套装",,
"Add a new element","添加新元素",,
"Add a new sale order line","添加新的销售订单行",,
"Add a pack","添加套装",,
"Add to cart","添加到购物车",,
"Adv. payment amount","预付款金额",,
"Advance Payment","预付款",,
"Advance Payments","预付款",,
"Advance payment A.T.I. total","预付款含税总价",,
"Advance payment amount needed","需要预付款金额",,
"Advance payment needed","需要预付款",,
"Advance payment total","预付款含税总价",,
"Advance payments","预付款",,
"All customer credit will be updated.","所有客户的信用额度将被更新。",,
"Allocate","分配",,
"Allocate all","全部分配",,
"Allocated stock","已分配库存",,
"Allow pending order modification","允许修改待处理订单",,
"Allow the user to put products aside to generate an order at a later date.","允许用户将产品暂存以便以后生成订单。",,
"Amount","金额",,
"Amount A.T.I.","含税总价",,
"Amount Tax","税额",,
"Amount Tax (via percentages)","税额（通过百分比）",,
"Amount invoiced W.T.","不含税已开票金额",,
"Amount to be spread over the timetable","需要在时间表上分配的金额",,
"An attribute with the same name already exists.","已存在同名属性。",,
"Analytic distribution","分析分摊",,
"Analytic distribution required on sale order line","销售订单行需要分析分摊",,
"App","应用",,
"App sale","销售应用",,
"At least one sale order line has a stock move with availability request.","至少有一条销售订单行包含库存可用性请求。",,
"Attributes","属性",,
"Authorizations","授权",,
"Authorized groups","授权组",,
"Authorized users","授权用户",,
"Availability Request","可用性请求",,
"Availability request","可用性请求",,
"Available stock","可用库存",,
"Average margin rate","平均利润率",,
"Average margin rate per customer","每个客户的平均利润率",,
"Average markup","平均加价率",,
"Average markup per customer","每个客户的平均加价率",,
"Average price","平均售价",,
"Back to confirmed order","返回到确认状态",,
"Base W.T.","不含税基础",,
"Batchs","批次",,
"Bi-monthly","双月",,
"Block order creation","阻止订单创建",,
"Blocked","已阻止",,
"Business Project","业务项目",,
"Business project","业务/项目",,
"Calculated fields on configurator","配置器上的计算字段",,
"Can only cancel a drafted or finalized sale order.","只能取消草稿或最终的销售订单。",,
"Can only complete a confirmed sale order.","只能完成已确认的销售订单。",,
"Can only confirm a finalized quotation.","只能确认最终的报价。",,
"Can only finalize a drafted quotation.","只能最终确定草稿报价。",,
"Cancel","取消",,
"Cancel Reason","取消原因",,
"Cancel Reasons","取消原因",,
"Cancel reason","取消原因",,
"Cancel reservation","取消预留",,
"Canceled","已取消",,
"Cancellation","取消",,
"Cancellation confirmation","取消确认",,
"Cart","购物车",,
"Cart line","购物车行",,
"Cart line list","购物车行列表",,
"Cart lines","购物车行",,
"Carts","购物车",,
"Catalog","目录",,
"Category","类别",,
"Category sale turnover (Excl. Tax) per month","每月不含税的类别销售额",,
"Change allocated qty","更改分配数量",,
"Change requested reserved qty","更改请求的预留数量",,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","已对配置器创建者进行了更改。请激活配置器创建者以使用它。",,
"Characteristics","特性",,
"Check Duplicate","检查重复",,
"Check the script","检查脚本",,
"Children","子项",,
"Client box in sale order","销售订单中的客户端框",,
"Client is sale blocked:","客户端已阻止销售：",,
"Close opportunity when one of the linked sale orders is confirmed","当其中一个关联的销售订单被确认时关闭机会",,
"Code","代码",,
"Coefficient on invoice line must be enabled for progress billing.","进度开票时必须启用发票行上的系数。",,
"Comment","评论",,
"Comment to display","要显示的评论",,
"Comment to display on delivery","要在交货单上显示的评论",,
"Comment to display on invoice","要在发票上显示的评论",,
"Comment to display on picking order","要在拣货单上显示的评论",,
"Comment to display on proforma","要在报价单上显示的评论",,
"Company","公司",,
"Company bank","公司银行信息",,
"Company currency","公司货币",,
"Complementary lines","补充行",,
"Complementary product","补充产品",,
"Complementary product list","补充产品列表",,
"Complementary product(s)","补充产品",,
"Complementary products","补充产品",,
"Complete manually sale order","手动完成销售订单",,
"Components","组件",,
"Compute prices","计算价格",,
"Conditions","条件",,
"Configuration","配置",,
"Configurator","配置器",,
"Configurator BoM","配置器物料清单",,
"Configurator creator filters","配置器创建者过滤器",,
"Configurator creator name","配置器创建者名称",,
"Configurator creators","配置器创建者",,
"Configurator formula list","配置器公式列表",,
"Configurator model","配置器模型",,
"ConfiguratorCreator","配置器创建者",,
"ConfiguratorCreators","配置器创建者",,
"Configurators","配置器",,
"Configure","配置",,
"Confirm cancellation","确认取消",,
"Confirm merge sale order","确认合并销售订单",,
"Confirm order","确认订单",,
"Confirmation","确认",,
"Confirmation date","确认日期",,
"Confirmed by","确认人",,
"Confirmer","确认",,
"Consider zero cost and zero price lines in the margin","在利润率中考虑成本和价格为零的行",,
"Contact partner","联系人",,
"Contacts","联系人",,
"Content","内容",,
"Contract end date","合同结束日期",,
"Contract period in months","合同期限（月）",,
"Contract start date","合同开始日期",,
"Copy needing update","复制需要更新",,
"Country","国家",,
"Create Order from this Template","从此模板创建订单",,
"Create order with missing products","创建包含缺失产品的订单",,
"Create the quotation","创建报价",,
"Create the sale order","创建销售订单",,
"Created by","创建人",,
"Created on","创建日期",,
"Creation date","创建日期",,
"Creation for every sale order lines","为每个销售订单行创建",,
"Creation for the sale order","为销售订单创建",,
"Currency","货币",,
"Current Login user","当前登录用户",,
"Current User","当前用户",,
"Custom css class to apply.","要应用的自定义 CSS 类。",,
"Custom field","自定义字段",,
"Custom fields","自定义字段",,
"Customer","客户",,
"Customer Catalog","客户目录",,
"Customer Catalog Lines","客户目录行",,
"Customer Credit","客户信用额度",,
"Customer catalog lines","客户目录行",,
"Customer contact","客户联系人",,
"Customer deliveries","客户交货",,
"Customer deliveries details","客户交货详情",,
"Customer information","客户信息",,
"Customer partner price list","客户价格表",,
"Customer partner price lists","客户价格表",,
"Customer reference","客户参考",,
"Customers","客户",,
"Customers / prospects","客户/潜在客户",,
"Customised","自定义",,
"Dashboard","仪表板",,
"Data file","数据文件",,
"Date","日期",,
"Dates","日期",,
"Day","天",,
"Deallocate","取消分配",,
"Deallocate all","全部取消分配",,
"Decimal","小数",,
"Default holdback percentage","默认保留百分比",,
"Default unit","默认单位",,
"Define as template","定义为模板",,
"Delivered","已交付",,
"Delivered quantity","交付数量",,
"Delivery","交付",,
"Delivery address","交付地址",,
"Delivery conditions","交付条件",,
"Description","描述",,
"Desired delivery date","期望交付日期",,
"Details Lines","详细行",,
"Direct children","直接子项",,
"Discount","折扣",,
"Discount amount","折扣金额",,
"Discount derogation (%)","折扣豁免 (%)",,
"Discount rate","折扣率",,
"Discount type","折扣类型",,
"Discounts need review","折扣需要审核",,
"Display customer code on printing","在打印时显示客户代码",,
"Display delivery condition on printing","在打印时显示交货条件",,
"Display estimated shipping dates on printing","在打印时显示预计交货日期",,
"Display product code on printing","在打印时显示产品代码",,
"Display product picture on printing","在打印时显示产品图片",,
"Display sale order line number","显示销售订单行号",,
"Display saleman on printing","在打印时显示销售人员",,
"Display tax detail on printing","在打印时显示税额详情",,
"Displayed Product name","显示的产品名称",,
"Do not display the header and end of pack","不显示包头和包尾",,
"Draft","草稿",,
"Draft quotation","草稿报价",,
"Durations","持续时间",,
"Edit order","编辑订单",,
"Editable","可编辑",,
"Editable tree","可编辑树",,
"Editor","编辑器",,
"Either the sale order or the product is null.","销售订单或产品为空。",,
"Empty cart","清空购物车",,
"Enable business configurator","启用业务配置器",,
"Enable calculation of the entire quotation's prices","启用整个报价的计算",,
"Enable cart management","启用购物车管理",,
"Enable customer catalog management","启用客户目录管理",,
"Enable discount on editable lines","在可编辑行上启用折扣",,
