"name";"roles"
"sc-root-sale";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-customers";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-contacts";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-products";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-quotations";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-orders";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-historical";"Sale Manager|Sale User|Sale Read"
"sc-historical-completed-sale-orders";"Sale Manager|Sale User|Sale Read"
"sc-historical-canceled-sale-orders";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-templates";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-report";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-maps";"Sale Manager|Sale User|Sale Read"
"sale-maps-partner-customers";"Sale Manager|Sale User|Sale Read"
"sale-maps-partner-prospects";"Sale Manager|Sale User|Sale Read"
"sc-root-sale-conf";"Sale Manager"
"sale-conf-cancelreason";"Sale Manager"
"sale-conf-duration";"Sale Manager"
"sale-conf-shipping-costs";"Sale Manager"
"sc-root-sale-conf-partner-price-list";"Sale Manager"
"sc-root-sale-conf-price-list";"Sale Manager"
"sale.conf.tax";"Sale Manager"
"sale-conf-configurators";"Sale Manager"
"sale-conf-configurators-creator";"Sale Manager"
"sale-conf-configurators-configurators";"Sale Manager"
"admin-root-batch-sale";"Sale Manager"
"top-menu-sales";"Sale Manager|Sale User|Sale Read"
"top-menu-sales-quotations";"Sale Manager|Sale User|Sale Read"
"top-menu-sales-sale-orders";"Sale Manager|Sale User|Sale Read"
"menu-saleman-dashboard-sample";"Sale Manager|Sale User|Sale Read"
"menu-sale-manager-dashboard-sample";"Sale Manager|Sale User|Sale Read"
"menu-sale-dashboard-1";"Sale Manager|Sale User|Sale Read"
"menu-sale-dashboard-2";"Sale Manager|Sale User|Sale Read"
"menu-dashboards-customers";"Sale Manager|Sale User|Sale Read"
